GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
2010199659454375665700000000,4129010100100030000,4129010100,경기도 과천시 관문동,1,일반,3,100178594,1,일반건축물,2,일반건축물대방,관문 실내체육관 헬스장,관문체육공원,0,주건축물,176471.3,2008.92,3405.3,.49,1.14,21,철근콘크리트구조,13000,운동시설,13001,체육관,6,문교사회용,11,1,1,2008-11-18,2010-02-26,2023-01-11
2001199667644377943400000000,4129010100100030000,4129010100,경기도 과천시 관문동,1,일반,3,133,1,일반건축물,2,일반건축물대방,관문 실내체육관,관문체육공원,0,주건축물,0,448.05,690.05,0,0,21,철근콘크리트구조,13000,운동시설,13002,운동장시설,6,문교사회용,11.8,3,0,1998-11-23,2001-12-04,2023-01-11
2001199602254376984900000000,4129010100100030000,4129010100,경기도 과천시 관문동,1,일반,3,100178593,1,일반건축물,2,일반건축물대방,관문 실내체육관,관문체육공원,0,주건축물,0,89.76,78.03,0,0,11,벽돌구조,13000,운동시설,13000,운동시설,2,상업용,0,1,0,1998-11-23,2001-12-04,2023-01-11
2001199661464378162900000000,4129010100100030000,4129010100,경기도 과천시 관문동,1,일반,3,100178592,1,일반건축물,2,일반건축물대방,관문 실내체육관,관문체육공원,0,주건축물,0,51.21,51.21,0,0,11,벽돌구조,13000,운동시설,13000,운동시설,2,상업용,0,1,0,1998-11-23,2001-12-04,2023-01-11
1960199523654377536500000000,4129010100100470000,4129010100,경기도 과천시 관문동,1,일반,47,134,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,0,97.32,0,0,12,블록구조,Z8000,교육연구및복지시설,Z8000,교육연구및복지시설,6,문교사회용,0,1,0,,1960-01-01,2023-01-11
2018199341064376176100000000,4129010100100700005,4129010100,경기도 과천시 관문동,1,일반,70-5,100189715,1,일반건축물,2,일반건축물대방,,,0,주건축물,330,107.11,231.02,70.01,32.46,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,10.5,3,0,2017-10-20,2018-12-31,2023-01-11
2020199354744376174300000000,4129010100100700014,4129010100,경기도 과천시 관문동,1,일반,70-14,100194034,1,일반건축물,2,일반건축물대방,,,0,주건축물,330,180.25,275.89,83.6,54.62,31,일반철골구조,04000,제2종근린생활시설,04001,일반음식점,2,상업용,13.7,3,0,2019-02-26,2020-12-31,2023-01-11
2005199319324376037300000000,4129010100100710000,4129010100,경기도 과천시 관문동,1,일반,71,135,1,일반건축물,2,일반건축물대방,,,0,주건축물,330,161.33,198.24,60.07,48.89,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,8.85,2,0,2003-01-04,2005-03-14,2023-01-11
1983199222044376753100000000,4129010100100710001,4129010100,경기도 과천시 관문동,1,일반,71-1,136,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,99.1,198.2,13.06,13.06,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,0,1,1,1980-07-02,1983-08-31,2023-01-11
1982199242174376714500000000,4129010100100710002,4129010100,경기도 과천시 관문동,1,일반,71-2,137,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,131.73,147.59,19.52,19.52,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,1,1980-09-19,1982-04-17,2023-01-11
