"Latitude","Longitude","Address","건물용도명","지상층수_max","지하층수_min","주용도코드명","건물용도명_2"
37.50371268,127.0448501,"서울특별시 강남구 역삼동 702-10","업무시설",20,6,NA,"업무시설"
37.49146347,127.0092148,"서울특별시 서초구 서초동 1552-13","교육시설",6,3,NA,"교육시설"
37.4872342,126.9898701,"서울특별시 서초구 방배동 869-18","공동주택",3,1,NA,"공동주택"
37.49904748,127.0163243,"서울특별시 서초구 서초동 1685","아파트",15,1,"공동주택","아파트"
37.48710293,127.0131868,"서울특별시 서초구 서초동 1595-1",NA,NA,NA,NA,NA
37.48840898,127.0487668,"서울특별시 강남구 도곡동 168","업무시설",25,4,NA,"업무시설"
37.49332375,126.9753012,"서울특별시 동작구 사당동 1155","아파트",9,0,"공동주택","아파트"
37.48721391,127.0065763,"서울특별시 서초구 서초동 1508-30","공동주택",5,0,NA,"공동주택"
37.47474385,127.0464897,"서울특별시 서초구 양재동 281-6","공동주택",5,0,NA,"공동주택"
37.47632617,126.9999105,"서울특별시 서초구 방배동 3283",NA,NA,NA,"공동주택","공동주택"
37.49998,127.0328739,"서울특별시 강남구 역삼동 647-9","업무시설",20,8,NA,"업무시설"
37.47893661,126.9792457,"서울특별시 동작구 사당동 1033-5",NA,NA,NA,NA,NA
37.49374303,126.9958147,"서울특별시 서초구 방배동 798-1","아파트",10,2,NA,"아파트"
37.49682425,126.9566692,"서울특별시 동작구 상도동 511","교육시설",15,0,"교육연구시설","교육시설"
37.4924908,126.991022,"서울특별시 서초구 방배동 810-22",NA,NA,NA,NA,NA
37.49501858,127.0078537,"서울특별시 서초구 서초동 1724","업무시설",15,2,"","업무시설"
37.49040838,127.0283797,"서울특별시 서초구 서초동 1755",NA,NA,NA,"공동주택","공동주택"
37.48764626,127.0076942,"서울특별시 서초구 서초동 1511-1","일반상점",4,1,NA,"일반상점"
37.4908556,127.027654,"서울특별시 서초구 서초동 1755",NA,NA,NA,"공동주택","공동주택"
37.48715848,127.0133534,"서울특별시 서초구 서초동 1595-2","업무시설",15,5,NA,"업무시설"
37.48515976,127.0714315,"서울특별시 강남구 개포동 190",NA,NA,NA,NA,NA
37.5029742,127.0008083,"서울특별시 서초구 반포동 18-1","아파트",32,0,"공동주택","아파트"
37.47420539,127.0249343,"서울특별시 서초구 우면동 산 5-2",NA,NA,NA,NA,NA
37.50740633,127.0242963,"서울특별시 강남구 논현동 167-2","공동주택",3,1,NA,"공동주택"
37.50662858,127.0207689,"서울특별시 서초구 반포동 726-26","공동주택",3,1,NA,"공동주택"
37.48715853,127.0156032,"서울특별시 서초구 서초동 1623-3","업무시설",15,5,NA,"업무시설"
37.50732287,127.0032869,"서울특별시 서초구 잠원동 163",NA,NA,NA,NA,NA
37.508329,127.040569,"서울특별시 강남구 역삼동 687-5","공동주택",4,1,NA,"공동주택"
37.49621354,127.0441004,"서울특별시 강남구 역삼동 778-29",NA,NA,NA,NA,NA
37.49743539,127.031046,"서울특별시 강남구 역삼동 824-25","업무시설",17,4,NA,"업무시설"
37.51804425,127.039128,"서울특별시 강남구 논현동 110-12","공동주택",5,2,NA,"공동주택"
37.47599369,127.0454897,"서울특별시 서초구 양재동 278-2","업무시설",5,1,NA,"업무시설"
37.49446323,127.0153253,"서울특별시 서초구 서초동 1692-7","업무시설",7,2,NA,"업무시설"
37.51496096,127.0213797,"서울특별시 강남구 논현동 16-43","공동주택",4,1,NA,"공동주택"
37.481888,127.011475,"서울특별시 서초구 서초동 1474-5","업무시설",6,0,NA,"업무시설"
37.4972695,127.0145789,"서울특별시 서초구 서초동 1685","아파트",15,1,"공동주택","아파트"
37.4894582,126.9724302,"서울특별시 동작구 사당동 1159",NA,NA,NA,"공동주택","공동주택"
37.4720419,127.0394675,"서울특별시 서초구 양재동 242-8","근린생활시설",5,1,NA,"근린생활시설"
