건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
15403.97,64.26,3,0,10300,"대치,대청 아파트",,0012,0,20220110,0,,0,주거시설 근린생활시설,0,0,,4199,0,0,0,0,0,0,,0000,,27,02000,공동주택,11680-103,10301,5.0,116804166040,0.0,0,0,구대장,서울특별시 강남구 개포로109길 5,0,0,0,0,0,0,서울특별시 강남구 개포동 12번지,,,,,,,2,집합,1,총괄표제부,1,11680,,,224217.01,0,,0,21833.55
2927.93,21619.49,4,18.91,10300,개포자이,,0012,0,20220112,0,,0,공동주택 (아파트),0,0,,212,0,20945.12,483,0,0,0,,0002,,5,02000,공동주택,11680-376,10301,69.0,116804166040,0.0,0,1,신대장,서울특별시 강남구 개포로109길 69,278.5,19,0,0,15487.3,0,서울특별시 강남구 개포동 12-2번지,20011101,2101,주택건설사업계획승인,3220086,주택과,2004,2,집합,1,총괄표제부,2,11680,,20011120,60400.03,502,20040617,250.64,38816.92
1852.39,77.79,1,14.25,10300,대진초등학교,,0013,0,20230403,0,,0,교육연구및복지시설,0,0,,0,0,0,0,0,0,0,,0000,,3,10000,교육연구시설,11680-398,10301,74.0,116804166040,0.0,0,1,신대장,서울특별시 강남구 개포로109길 74,0,0,0,0,13000.5,0,서울특별시 강남구 개포동 13번지,,,,,,,1,일반,1,총괄표제부,3,11680,,,5530.39,0,19971217,42.26,5494.39
9879.5,195.63,2,23.26,10300,경기여자고등학교,,0152,0,20200804,0,,0,교육연구및복지시설,0,0,,0,0,1035,90,0,0,0,,0000,,5,10000,교육연구시설,11680-68,10301,29.0,116803122005,0.0,0,1,신대장,서울특별시 강남구 삼성로 29,310.5,27,0,0,42474.5,0,서울특별시 강남구 개포동 152번지,19880628,,,,,,1,일반,1,총괄표제부,4,11680,,,28097.93,117,19880628,55.2,23445.64
2332.1,2748.58,4,14.51,10300,개포디지털혁신파크,,0153,1,20201022,0,,0,,0,0,,0,0,0,0,0,0,0,,0000,,3,10000,교육연구시설,11680-100294483,,0.0,,0.0,0,1,신대장,,912,78,0,0,16077.9,0,서울특별시 강남구 개포동 153번지,20181026,5100,협의건축물,3220175,건축과,2018,1,일반,1,총괄표제부,5,11680,,20181214,6878.75,78,20201013,38.57,6200.59
4275.87,80.1,2,21.22,10300,개포고등학교,,0173,0,20171118,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0000,,4,10000,교육연구시설,11680-100199908,10301,402.0,116803122001,0.0,0,1,신대장,서울특별시 강남구 개포로 402,713,62,0,0,20145.8,0,서울특별시 강남구 개포동 173번지,,,,,,,1,일반,1,총괄표제부,6,11680,,,12240.62,56,,58.15,11715.52
3406.96,0,0,0,10300,현대아파트,,0177,0,20220822,0,,0,주거시설 근린생활시설,0,0,,198,0,0,0,0,0,0,,0000,,6,02000,공동주택,11680-421,10301,409.0,116803122001,0.0,0,0,구대장,서울특별시 강남구 개포로 409,0,0,0,0,0,0,서울특별시 강남구 개포동 177번지,,,,,,,2,집합,1,총괄표제부,7,11680,,,32857.3,0,,0,29461.44
2866.01,0,0,0,10300,개포8차 우성아파트,,0179,0,20200205,0,,0,주거시설 근린생활시설,0,0,,261,0,0,0,0,0,0,,0000,,4,02000,공동주택,11680-104,10301,411.0,116803122001,0.0,0,0,구대장,서울특별시 강남구 개포로 411,0,0,0,0,0,0,서울특별시 강남구 개포동 179번지,,,,,,,2,집합,1,총괄표제부,8,11680,,,26710.28,0,,0,24024.99
2884.63,0,0,16.4,10300,개원중학교,,0184,0,20210702,0,,0,,0,0,,0,0,0,0,0,0,0,,0000,,4,10000,교육연구시설,11680-100199848,10301,101.0,116802122002,0.0,0,1,신대장,서울특별시 강남구 영동대로 101,0,0,0,0,17583.9,0,서울특별시 강남구 개포동 184번지,,,,,,,1,일반,1,총괄표제부,9,11680,,,11819.08,0,,65.8,11569.33
12975.06,0,0,0,10300,개포주공아파트,,0185,0,20220915,0,,0,주거시설 근린생활시설,0,0,,1960,0,0,0,0,0,0,,0000,,20,02000,공동주택,11680-389,10301,516.0,116803122001,0.0,0,0,구대장,서울특별시 강남구 개포로 516,0,0,0,0,0,0,서울특별시 강남구 개포동 185번지,,,,,,,2,집합,1,총괄표제부,10,11680,,,184280.09,0,,0,166471.99
