건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
227.6,0,0,59.97,10800,,,0010,0,20111021,0,,0,제2종근린생활시설,0,0,,0,0,46,4,0,0,0,,0024,,2,04000,제2종근린생활시설,11680-338,10801,34.0,116804166139,3.0,0,1,신대장,서울특별시 강남구 논현로145길 34-3,0,0,0,0,379.5,0,서울특별시 강남구 논현동 10-24번지,,,,,,,1,일반,1,총괄표제부,1,11680,,,801.72,4,,166.8,632.99
260.28,0,0,59.958534,10800,,,0012,0,20210224,0,,0,다가구주택,19,0,,0,0,0,0,0,0,0,,0013,,2,01000,단독주택,11680-100297023,10801,16.0,116804166258,0.0,0,1,신대장,서울특별시 강남구 도산대로12길 16,0,0,0,0,434.1,0,서울특별시 강남구 논현동 12-13번지,,,,,,,1,일반,1,총괄표제부,2,11680,,,1081.47,7,,178.34139,774.18
586.08,0,0,0,10800,,,0013,1,20111021,0,,0,연립주택,0,0,,16,0,0,0,0,0,0,,0014,,2,02000,공동주택,11680-116,10801,17.0,116804166306,7.0,0,1,신대장,서울특별시 강남구 도산대로8길 17-7,0,0,0,0,0,0,서울특별시 강남구 논현동 13-14번지,,,,,,,2,집합,1,총괄표제부,3,11680,,,3369.18,0,,0,2344.32
6284.87,0,0,26.99,10800,논현아파트,,0022,0,20210204,0,,0,주거시설,0,0,,646,0,0,458,0,0,0,,0000,,8,02000,공동주택,11680-117,10801,28.0,116804166019,0.0,0,0,구대장,서울특별시 강남구 강남대로146길 28,0,226,0,0,23288.3,0,서울특별시 강남구 논현동 22번지,,,,,,,2,집합,1,총괄표제부,4,11680,,,81854.88,0,,245.73,79322.18
365.75,0,0,55.84,10800,더 클래식 논현,,0023,0,20171206,0,,0,"도시형생활주택단지형다세대, 제2종근린생활시설",0,0,,14,0,614.61,20,0,0,0,,0008,,2,02000,공동주택,11680-100261810,,0.0,,0.0,0,1,신대장,,0,0,0,0,655,0,서울특별시 강남구 논현동 23-8번지,20160224,1101,신축허가,3220175,건축과,2016,2,집합,1,총괄표제부,5,11680,,20160422,2028.49,20,20170126,149.85,981.53
1115.264,1779.89,1,46.99,10800,알파임하우스Ⅱ,,0024,5,20171118,0,,0,주거시설,0,0,,16,0,1646.66,50,0,0,0,,0011,,2,02000,공동주택,11680-308,10801,29.0,116804166774,0.0,0,0,구대장,서울특별시 강남구 학동로11길 29,0,0,0,0,2373.6,0,서울특별시 강남구 논현동 24-11번지,,,,,,,2,집합,1,총괄표제부,6,11680,,,5906.53,50,,173.86,4126.64
413.04,0,0,0,10800,,,0025,0,20171118,0,,0,공동주택 (연립주택),0,0,,6,0,0,0,0,0,0,,0010,,2,02000,공동주택,11680-38,10801,55.0,116804166017,0.0,0,1,신대장,서울특별시 강남구 강남대로136길 55,0,0,0,0,0,0,서울특별시 강남구 논현동 25-10번지,19900906,,,,,,2,집합,1,총괄표제부,7,11680,,,1768.32,0,19920611,0,824.64
363.8,0,0,35.56,10800,논현동29번지주택,,0029,1,20200714,0,,0,단독주택,1,0,,0,0,324.76,9,0,0,0,,0000,,2,01000,단독주택,11680-100218349,,0.0,,0.0,0,1,신대장,,0,0,0,0,1023,0,서울특별시 강남구 논현동 29번지,,,,,,,1,일반,1,총괄표제부,8,11680,,,1299.16,9,,62.24,636.7
246.97,0,0,0,10800,,,0032,0,20220408,0,,0,근린생활시설,0,0,,0,0,0,0,0,0,0,,0006,,2,04000,제2종근린생활시설,11680-118,10801,15.0,116804166139,1.0,0,1,신대장,서울특별시 강남구 논현로145길 15-1,0,0,0,0,0,0,서울특별시 강남구 논현동 32-6번지,,,,,,,2,집합,1,총괄표제부,9,11680,,,633.9,0,,0,484.52
447.83,0,0,42.14,10800,베르사이유 II,,0032,1,20171118,0,,0,공동주택 (연립주택),0,0,,16,0,734.4,22,0,0,0,,0009,,2,02000,공동주택,11680-350,10801,31.0,116804166266,0.0,0,1,신대장,서울특별시 강남구 도산대로24길 31,0,0,0,0,1062.6,0,서울특별시 강남구 논현동 32-9번지,20021104,1101,신축허가,3220088,건축과,2002,2,집합,1,총괄표제부,10,11680,,20030103,2552,22,20031129,149.96,1593.45
