건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
6688.73,1365.19,2,14.5,10600,,,0027,0,20171206,0,,0,"업무시설,위험물저장및처리시설",0,0,,0,0,0,0,0,0,0,,0001,,4,14000,업무시설,11680-71,10601,3165.0,116802000003,0.0,0,1,신대장,서울특별시 강남구 남부순환로 3165,0,0,0,0,46117,0,서울특별시 강남구 대치동 27-1번지,,,,,,,1,일반,1,총괄표제부,1,11680,,,9017.01,0,,18.56,8558.03
4362.08,0,0,0,10600,대치우성아파트,,0063,0,20171118,0,,0,주거시설 근린생활시설,0,0,,476,0,0,0,0,0,0,,0000,,7,02000,공동주택,11680-29,10604,230.0,116802122002,0.0,0,1,신대장,서울특별시 강남구 영동대로 230,0,0,0,0,0,0,서울특별시 강남구 대치동 63번지,,,,,,,2,집합,1,총괄표제부,2,11680,,,57986.2,0,,0,53749.44
3136.76,0,0,0,10600,쌍용대치아파트,,0065,0,20220822,0,,0,주거시설,0,0,,364,0,0,0,0,0,0,,0000,,4,02000,공동주택,11680-417,10604,220.0,116802122002,0.0,0,0,구대장,서울특별시 강남구 영동대로 220,0,0,0,0,0,0,서울특별시 강남구 대치동 65번지,,,,,,,2,집합,1,총괄표제부,3,11680,,,46163.04,0,,0,43015.56
6443.89,1901.92,8,0,10600,쌍용대치아파트,,0066,0,20171206,0,,0,주거시설 근린생활시설,0,0,,630,0,0,0,0,0,0,,0000,,6,02000,공동주택,11680-100187712,10604,210.0,116802122002,0.0,0,0,구대장,서울특별시 강남구 영동대로 210,0,0,0,0,0,0,서울특별시 강남구 대치동 66번지,,,,,,,2,집합,1,총괄표제부,4,11680,,,92303.75,0,,0,80273.35
1290.67,0,0,1.54,10600,대치빗물펌프장,,0078,0,20180915,0,,0,"펌프장,배전반실,관사및사무실,방재홍보관,전망대,관리사무실,휴게실",0,0,,0,0,0,0,0,0,0,,0024,,2,03000,제1종근린생활시설,11680-100204508,10601,20.0,116804166865,30.0,0,1,신대장,서울특별시 강남구 역삼로107길 20-30,0,15,0,0,84053,0,서울특별시 강남구 대치동 78-24번지,,,,,,,1,일반,1,총괄표제부,5,11680,,,2055.59,15,,2.42,2033.84
48104.55,0,0,0,10600,은마아파트,,0316,0,20220708,0,,0,주거시설 근린생활시설,0,0,,4424,0,0,0,0,0,0,,0000,,31,02000,공동주택,11680-211,10604,212.0,116803122005,0.0,0,0,구대장,서울특별시 강남구 삼성로 212,0,0,0,0,0,0,서울특별시 강남구 대치동 316번지,,,,,,,2,집합,1,총괄표제부,6,11680,,,528772,0,,0,488472.85
0,0,0,0,10600,우성아파트,,0500,0,20220315,0,,0,,0,0,,450,61,0,0,0,0,0,,0000,,6,,,11680-100198307,10601,2912.0,116802000003,0.0,0,1,신대장,서울특별시 강남구 남부순환로 2912,0,0,0,0,0,0,서울특별시 강남구 대치동 500번지,19830607,,,,,,2,집합,1,총괄표제부,7,11680,,,72027.55,0,19840607,0,0
3407.77,129.22,2,24.82,10600,대청중학교,,0502,0,20171118,0,,0,,0,0,,0,0,0,0,0,0,0,,0000,,2,,,11680-100215147,,0.0,,0.0,0,1,신대장,,632.5,55,0,0,13732.5,0,서울특별시 강남구 대치동 502번지,,,,,,,1,일반,1,총괄표제부,8,11680,,,10027.79,55,,72.29,9926.54
6786.37,2171.61,1,13.11,10600,개포1차우성아파트,,0503,0,20211020,0,,0,공동주택,0,0,,690,0,0,0,0,0,0,,0000,,10,02000,공동주택,11680-213,10605,120.0,116803122006,0.0,0,1,신대장,서울특별시 강남구 선릉로 120,0,0,0,0,51768.3,0,서울특별시 강남구 대치동 503번지,,,,,,,2,집합,1,총괄표제부,9,11680,,,101213.76,0,,179.87,93114.47
10877.08,0,0,0,10600,선경아파트,,0506,0,20211012,0,,0,주거시설 근린생활시설,0,0,,1033,0,0,0,0,0,0,,0000,,14,02000,공동주택,11680-214,10604,151.0,116803122005,0.0,0,0,구대장,서울특별시 강남구 삼성로 151,0,0,0,0,0,0,서울특별시 강남구 대치동 506번지,,,,,,,2,집합,1,총괄표제부,10,11680,,,152146.6,0,,0,141025
