건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
5739.58,35656.12,7,18.85,11800,도곡동삼성래미안아파트,,0091,0,20171206,0,,0,주거시설,0,0,,732,0,30136.42,1064,0,0,0,,0005,,12,02000,공동주택,11680-305,11803,2803.0,116802000003,0.0,0,0,구대장,서울특별시 강남구 남부순환로 2803,0,58,0,0,30443.6,0,서울특별시 강남구 도곡동 91-5번지,,,,,,,2,집합,1,총괄표제부,1,11680,,,92857.2,1122,,290.46,88427.32
3279.76,13,1,23.81,11800,서울대도초등학교,,0106,0,20180807,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0001,,3,10000,교육연구시설,11680-100212287,11808,209.0,116803122006,0.0,0,1,신대장,서울특별시 강남구 선릉로 209,0,0,0,0,13774,0,서울특별시 강남구 도곡동 106-1번지,,,,,,,1,일반,1,총괄표제부,2,11680,,,11377.01,0,,77.79,10714.3
10754.26,22.9,1,48.62,11800,강남세브란스병원,,0146,0,20220128,0,,0,의료시설,0,0,,0,0,0,508,1633,142,0,,0092,,2,09000,의료시설,11680-410,11805,211.0,116803005086,0.0,0,1,신대장,서울특별시 강남구 언주로 211,0,83,0,0,22121,0,서울특별시 강남구 도곡동 146-92번지,,,,,,,1,일반,1,총괄표제부,3,11680,,,86782.96,735,,297.79,65875.2
2370.66,0,0,16.85,11800,삼성아파트,,0161,0,20171118,0,,0,주거시설 근린생활시설,0,0,,231,0,0,0,0,0,0,,0000,,5,02000,공동주택,11680-160,11801,14.0,116804166100,0.0,0,0,구대장,서울특별시 강남구 남부순환로379길 14,0,0,0,0,14073.3,0,서울특별시 강남구 도곡동 161번지,,,,,,,2,집합,1,총괄표제부,4,11680,,,21460.3,0,,139.32,19607.31
508.84,0,0,0,11800,,,0193,0,20171118,0,,0,연립주택,0,0,,16,0,0,20,0,0,0,,0023,,2,02000,공동주택,11680-77,11801,54.0,116804166101,0.0,0,1,신대장,서울특별시 강남구 남부순환로381길 54,0,0,0,0,0,0,서울특별시 강남구 도곡동 193-23번지,19940827,,,,,,2,집합,1,총괄표제부,5,11680,,19940907,2773.22,20,19950705,0,2027.19
3055.12,602.2,4,20.28,11800,대치중학교,,0460,0,20190312,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0000,,2,10000,교육연구시설,11680-100222249,11801,39.0,116804166099,0.0,0,1,신대장,서울특별시 강남구 남부순환로378길 39,0,0,0,0,15061.9,0,서울특별시 강남구 도곡동 460번지,,,,,,,1,일반,1,총괄표제부,6,11680,,,9321.12,0,19960424,61.56,9271.62
1490.24,0,0,0,11800,개포럭키아파트,,0462,0,20171118,0,,0,주거시설,0,0,,128,0,0,0,0,0,0,,0000,,2,02000,공동주택,11680-161,11803,2740.0,116802000003,0.0,0,0,구대장,서울특별시 강남구 남부순환로 2740,0,0,0,0,0,0,서울특별시 강남구 도곡동 462번지,,,,,,,2,집합,1,총괄표제부,7,11680,,,13109.12,0,,0,11624
1716.3,0,0,0,11800,개포5차우성아파트,,0463,0,20171118,0,,0,주거시설 근린생활시설,0,0,,180,0,0,0,0,0,0,,0001,,5,02000,공동주택,11680-413,11801,34.0,116804166603,0.0,0,0,구대장,서울특별시 강남구 언주로29길 34,0,0,0,0,0,0,서울특별시 강남구 도곡동 463-1번지,,,,,,,2,집합,1,총괄표제부,8,11680,,,17228.05,0,,0,15312.3
6375.35,0,0,0,11800,개포한신아파트,,0464,0,20171206,0,,0,주거시설 근린생활시설 노유자시설,0,0,,620,0,0,0,0,0,0,,0000,,10,02000,공동주택,11680-164,11805,123.0,116803005086,0.0,0,0,구대장,서울특별시 강남구 언주로 123,0,0,0,0,0,0,서울특별시 강남구 도곡동 464번지,,,,,,,2,집합,1,총괄표제부,9,11680,,,60977.22,0,,0,53117.22
7859.5,0,0,0,11800,개포4차우성아파트,,0465,3,20210915,0,,0,주거시설 근린생활시설,0,0,,459,0,0,0,0,0,0,,0000,,9,02000,공동주택,11680-166,11805,117.0,116803005086,0.0,0,0,구대장,서울특별시 강남구 언주로 117,0,0,0,0,0,0,서울특별시 강남구 도곡동 465번지,,,,,,,2,집합,1,총괄표제부,10,11680,,,74714.39,0,,0,66924.34
