건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
1749.18,0,0,0,10500,서광아파트,,0002,5,20220509,0,,0,주거시설,0,0,,304,0,0,0,0,0,0,,0000,,2,02000,공동주택,11680-232,10501,19.0,116804166458,0.0,0,0,구대장,서울특별시 강남구 선릉로130길 19,0,0,0,0,0,0,서울특별시 강남구 삼성동 2번지,,,,,,,2,집합,1,총괄표제부,1,11680,,,27850.806,0,,0,26575.5
699.93,25.2,1,35.65,10500,우정에쉐르,,0003,0,20220811,0,,0,"공동주택,아파트",0,0,,40,0,3903.03,84,0,0,0,,0008,,1,02000,공동주택,11680-334,10501,33.0,116804166458,0.0,0,1,신대장,서울특별시 강남구 선릉로130길 33,0,0,0,0,1963.1,0,서울특별시 강남구 삼성동 3-8번지,20010806,2101,주택건설사업계획승인,3220086,주택과,2001,2,집합,1,총괄표제부,2,11680,,20011101,10070.12,84,20030613,299.14,5872.46
1789.16,27.36,3,0,10500,한솔아파트,,0004,13,20171118,0,,0,공동주택,0,0,,263,0,0,0,0,0,0,,0006,,2,02000,공동주택,11680-233,10501,7.0,116804166814,0.0,0,0,구대장,서울특별시 강남구 학동로64길 7,0,0,0,0,0,0,서울특별시 강남구 삼성동 4-6번지,,,,,,,2,집합,1,총괄표제부,3,11680,,,38063.5,0,,0,25931.07
4329.2,706.5,7,26.94,10500,래미안 삼성2차,,0007,0,20210819,0,,0,공동주택(아파트),0,0,,275,0,21881.59,484,285,45,0,,0003,,9,02000,공동주택,11680-83,10501,20.0,116804166458,0.0,0,1,신대장,서울특별시 강남구 선릉로130길 20,0,4,0,0,16067.2,0,서울특별시 강남구 삼성동 7-3번지,20030311,2101,주택건설사업계획승인,3220086,주택과,2003,2,집합,1,총괄표제부,4,11680,,20040319,67405.77,533,20070525,273.55,43952.38
1339.55,0,0,35.3,10500,강남구 보건소,,0008,1,20190525,0,,0,공공업무시설,0,0,,0,0,0,0,0,0,0,,0000,,2,14000,업무시설,11680-100198368,10504,668.0,116803122006,0.0,0,1,신대장,서울특별시 강남구 선릉로 668,0,41,0,0,3795.2,0,서울특별시 강남구 삼성동 8번지,,,,,,,1,일반,1,총괄표제부,5,11680,,,7533.33,41,,165.26,6271.89
6200.048,45442.102,7,16.16,10500,롯데캐슬 프레미어,,0011,2,20210722,0,,0,공동주택(아파트),0,0,,713,0,43591.977,1335,0,0,0,,0000,,11,02000,공동주택,11680-78,10501,22.0,116804166454,0.0,0,1,신대장,서울특별시 강남구 선릉로126길 22,0,0,0,0,38359.7,0,서울특별시 강남구 삼성동 11번지,20030311,2101,주택건설사업계획승인,3220086,주택과,2003,2,집합,1,총괄표제부,6,11680,,20031217,148987.875,1335,20070326,269.63,103430.765
2752.177,20391.955,4,17.09,10500,삼성동중앙하이츠빌리지,,0014,1,20190718,0,,0,공동주택(아파트),0,0,,298,0,19236.738,520,0,0,0,,0001,,5,02000,공동주택,11680-397,10501,30.0,116804166816,0.0,0,1,신대장,서울특별시 강남구 학동로68길 30,0,0,0,0,16107.4,0,서울특별시 강남구 삼성동 14-1번지,20020206,2101,주택건설사업계획승인,3220086,주택과,2002,2,집합,1,총괄표제부,7,11680,,20020311,63733.925,520,20041229,269.46,43403.566
8546.604,61824.848,7,19.93963,10500,삼성동 힐스테이트,,0016,2,20171206,0,,0,아파트,0,0,,1144,0,59857.695,1514,0,0,0,,0000,,18,02000,공동주택,11680-100189207,10501,29.0,116804166816,0.0,0,1,신대장,서울특별시 강남구 학동로68길 29,0,15,0,0,42862.4,0,서울특별시 강남구 삼성동 16번지,20030311,2101,주택건설사업계획승인,3220086,주택과,2003,2,집합,1,총괄표제부,8,11680,,20040312,180448.969,1529,20081210,276.75224,118622.655
5707.94,0,0,36.7,10500,강남구청,,0016,0,20211104,0,,0,공공업무시설,0,0,,0,0,69,6,0,0,0,,0001,,6,14000,업무시설,11680-100209688,10502,426.0,116803122011,0.0,0,1,신대장,서울특별시 강남구 학동로 426,2081.5,181,0,0,15550.9,0,서울특별시 강남구 삼성동 16-1번지,,,,,,,1,일반,1,총괄표제부,9,11680,,,18881.92,187,,104.17,16198.69
2342.74,17207.58,3,0,10500,삼성동롯데아파트,,0017,0,20220509,0,,0,공동주택,0,0,,339,0,0,0,0,0,0,,0000,,3,02000,공동주택,11680-241,10502,432.0,116803122011,0.0,0,1,신대장,서울특별시 강남구 학동로 432,0,0,0,0,0,0,서울특별시 강남구 삼성동 17번지,,,,,,,2,집합,1,총괄표제부,10,11680,,,52550.67,0,,0,34318.38
4054.57,154.8,7,21.58,10500,언주중학교,,0028,0,20171118,0,,0,교육연구및복지시설,0,0,,0,0,0,0,0,0,0,,0000,,5,Z8000,교육연구및복지시설,11680-401,10501,57.0,116804166447,0.0,0,1,신대장,서울특별시 강남구 선릉로116길 57,0,20,0,0,18791.2,0,서울특별시 강남구 삼성동 28번지,,,,,,,1,일반,1,총괄표제부,11,11680,,,13487.6,20,19960424,70.01,13155.84
