건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
25167.52,0,0,12.11,11500,수서차량기지,,0173,36,20210929,0,,0,공공용시설,0,0,,0,0,0,0,0,0,0,,0000,,19,14000,업무시설,11680-12,11501,46.0,116804166323,13.0,0,1,신대장,서울특별시 강남구 밤고개로5길 46-13,0,127,0,0,207904,0,서울특별시 강남구 수서동 173번지,,,,,,,1,일반,1,총괄표제부,1,11680,,,34855.66,127,,15.74,32736.32
183.3,0,0,57.46,11500,,,0461,0,20230511,0,,0,근린생활시설,0,0,,0,0,25,2,0,0,0,,0027,,2,03000,제1종근린생활시설,11680-100309303,11501,4.0,116804166078,0.0,0,1,신대장,서울특별시 강남구 광평로42길 4,0,0,0,0,319,0,서울특별시 강남구 수서동 461-27번지,,,,,,,1,일반,1,총괄표제부,2,11680,,,282.6,2,,57.46,183.3
8886.19,0,0,0,11500,수서주공영구임대아파트,,0707,0,20220511,0,,0,주거시설 근린생활시설,0,0,,2560,0,0,0,0,0,0,,0000,,16,02000,공동주택,11680-141,11501,49.0,116804166081,0.0,0,0,구대장,서울특별시 강남구 광평로51길 49,0,0,0,0,0,0,서울특별시 강남구 수서동 707번지,,,,,,,2,집합,1,총괄표제부,3,11680,,,114619.57,0,,0,104597.1
3895.8,0,0,16.43,11500,삼익아파트,,0708,0,20181023,0,,0,주거시설 근린생활시설,0,0,,645,0,0,0,0,0,0,,0000,,6,02000,공동주택,11680-182,11501,27.0,116804166081,0.0,0,0,구대장,서울특별시 강남구 광평로51길 27,0,0,0,0,23706.91,0,서울특별시 강남구 수서동 708번지,,,,,,,2,집합,1,총괄표제부,4,11680,,,57127.18,0,,224.94,53326.35
2476.96,78,2,26.15,11500,수서초등학교,,0709,1,20230511,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0000,,2,10000,교육연구시설,11680-1000000000000001735506,11501,46.0,116804166081,0.0,0,1,신대장,서울특별시 강남구 광평로51길 46,0,0,0,0,9471.4,0,서울특별시 강남구 수서동 709번지,,,,,,,1,일반,1,총괄표제부,5,11680,,,7641.69,0,,80.3,7605.69
3187.93,0,0,29.39,11500,수서중학교,,0710,0,20171118,0,,0,교육연구및복지시설,0,0,,0,0,0,0,0,0,0,,0000,,5,Z8000,교육연구및복지시설,11680-46,11501,57.0,116804166083,0.0,0,1,신대장,서울특별시 강남구 광평로59길 57,0,0,0,0,10848.1,0,서울특별시 강남구 수서동 710번지,,,,,,,1,일반,1,총괄표제부,6,11680,,,10307.11,0,,94.64,10266.61
3591.32,13.61,1,18.98,11500,,,0711,0,20171118,0,,0,교육연구시설,0,0,,0,0,0,55,0,0,0,,0000,,2,10000,교육연구시설,11680-100202728,11501,36.0,116804166081,0.0,0,1,신대장,서울특별시 강남구 광평로51길 36,0,0,0,0,18923.6,0,서울특별시 강남구 수서동 711번지,,,,,,,1,일반,1,총괄표제부,7,11680,,,12748.78,55,,57.3,10842.55
6080.68,0,0,22.46,11500,수서한아름아파트,,0712,0,20220822,0,,0,주거시설 근린생활시설,0,0,,498,0,0,0,0,0,0,,0000,,8,02000,공동주택,11680-183,11501,22.0,116804166081,0.0,0,0,구대장,서울특별시 강남구 광평로51길 22,0,0,0,0,27072,0,서울특별시 강남구 수서동 712번지,,,,,,,2,집합,1,총괄표제부,8,11680,,,72593.61,0,,247.71,67060.04
2214.18,0,0,59.44,11500,사이룩스,,0716,0,20200916,0,,0,업무시설,0,0,,0,0,12731.02,384,0,0,0,,0000,,2,14000,업무시설,11680-326,11502,295.0,116803122002,0.0,0,1,신대장,서울특별시 강남구 광평로 295,0,0,0,0,3724.9,0,서울특별시 강남구 수서동 716번지,20000607,1101,신축허가,3220088,건축과,2000,2,집합,1,총괄표제부,9,11680,,20010118,50230.88,384,20030425,990.72,36903.24
4958.82,42.84,2,18.42,11500,수서6단지아파트,,0723,0,20190817,0,,0,주거시설 근린생활시설,0,0,,1512,0,0,0,0,0,0,,0000,,8,02000,공동주택,11680-185,11501,11.0,116804166082,0.0,0,0,구대장,서울특별시 강남구 광평로56길 11,0,0,0,0,0,0,서울특별시 강남구 수서동 723번지,,,,,,,2,집합,1,총괄표제부,10,11680,,,6005.481,0,,197.6,57880.05
5111.57,0,0,16.04,11500,신동아아파트,,0736,0,20210811,0,,0,주거시설 근린생활시설,0,0,,1163,0,0,0,0,0,0,,0000,,10,02000,공동주택,11680-187,11501,17.0,116804166080,0.0,0,0,구대장,서울특별시 강남구 광평로47길 17,0,0,0,0,31862.7,0,서울특별시 강남구 수서동 736번지,,,,,,,2,집합,1,총괄표제부,11,11680,,,65535.25,0,,202.29,64453.92
2904.31,0,0,19.21,11500,동익아파트,,0738,0,20171206,0,,0,주거시설 근린생활시설,0,0,,330,0,0,0,0,0,0,,0000,,5,02000,공동주택,11680-188,11501,3.0,116804166076,0.0,0,0,구대장,서울특별시 강남구 광평로39길 3,0,0,0,0,15122.59,0,서울특별시 강남구 수서동 738번지,,,,,,,2,집합,1,총괄표제부,12,11680,,,33090.63,0,,201.98,30545.005
2494.92,0,1,23.3,11500,왕북초등학교,,0745,0,20200318,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0000,,2,10000,교육연구시설,11680-100291304,11501,74.0,116804166074,0.0,0,1,신대장,서울특별시 강남구 광평로31길 74,0,0,0,0,10708,0,서울특별시 강남구 수서동 745번지,,,,,,,1,일반,1,총괄표제부,13,11680,,,8200.27,0,,75.82,8119.27
7945.02,7465.71,1,21.65,11500,까치마을아파트,,0746,0,20220822,0,,0,주거시설 근린생활시설,0,0,,1403,0,0,0,0,0,0,,0000,,8,02000,공동주택,11680-189,11502,10.0,116804166071,0.0,0,0,구대장,서울특별시 강남구 광평로19길 10,0,0,0,0,36700,0,서울특별시 강남구 수서동 746번지,,,,,,,2,집합,1,총괄표제부,14,11680,,,83490.86,0,,208.4,76481.99
6720.06,18972.12,4,21.91,11500,삼성아파트,,0747,0,20220511,0,,0,공동주택 근린생활시설,0,0,,680,0,0,0,0,0,0,,0000,,13,02000,공동주택,11680-190,11501,27.0,116804166074,0.0,0,0,구대장,서울특별시 강남구 광평로31길 27,0,0,0,0,31614.9,0,서울특별시 강남구 수서동 747번지,,,,,,,2,집합,1,총괄표제부,15,11680,,,91841.77,0,,211.35,66719.35
2311.7,0,0,0,11500,,,0749,0,20171118,0,,0,교육연구및복지시설,0,0,,0,0,0,0,0,0,0,,0000,,2,13000,운동시설,11680-73,11502,188.0,116803122002,0.0,0,1,신대장,서울특별시 강남구 광평로 188,0,0,0,0,0,0,서울특별시 강남구 수서동 749번지,,,,,,,1,일반,1,총괄표제부,16,11680,,,6795.07,0,,0,4469.39
968.61,0,0,16.64,11500,수서 변전소,,0751,0,20171118,0,,0,,0,0,,0,0,0,0,0,0,0,,0000,,2,,,11680-100260111,,0.0,,0.0,0,1,신대장,,0,13,0,0,5819.9,0,서울특별시 강남구 수서동 751번지,,,,,,,1,일반,1,총괄표제부,17,11680,,,2482.3,13,,26.98,1570.3
4149.83,0,0,20.8,11500,,,0752,0,20171118,0,,0,발전시설(집단에너지공급시설),0,0,,0,0,0,0,0,0,0,,0000,,9,25000,발전시설,11680-91,11502,781.0,116802000006,0.0,0,1,신대장,서울특별시 강남구 양재대로 781,0,44,0,0,19954.5,0,서울특별시 강남구 수서동 752번지,,,,,,,1,일반,1,총괄표제부,18,11680,,,8031.48,44,,31.5,6285.99
10335.3,38705.9,9,19.75,11500,강남데시앙포레,,0795,0,20220822,86,,0,공동주택(아파트),0,0,,787,12,35911.69,945,0,0,0,,0000,,15,02000,공동주택,11680-100235109,,0.0,,0.0,0,1,신대장,,62.5,5,0,0,52327.7,0,서울특별시 강남구 수서동 795번지,20101230,,,,,,2,집합,1,총괄표제부,19,11680,,20120227,125458.82,950,20140805,165.96,86843.54
8331.88,32723.68,14,24.35,11500,강남 더샵 포레스트,,0799,0,20210914,86,1,0,공동주택(아파트),0,0,2,400,9,29517.5,857,0,0,0,,0000,,11,02000,공동주택,11680-100257030,,0.0,,0.0,0,1,신대장,,0,0,0,0,34213.8,0,서울특별시 강남구 수서동 799번지,20140408,2101,주택건설사업계획승인,3220173,주택과,2014,2,집합,1,총괄표제부,20,11680,,20140530,102231.9854,857,20160727,199.68,68318.8754
