건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
285.62,0,0,49.253319,10700,,,0530,0,20171118,0,,0,"제1,2종 근린생활시설",0,0,,0,0,0,0,0,0,0,,0004,,2,03000,제1종근린생활시설,11680-100212167,,0.0,,0.0,0,1,신대장,,23,2,0,0,579.9,0,서울특별시 강남구 신사동 530-4번지,,,,,,,1,일반,1,총괄표제부,1,11680,,,1233.16,2,,162.55388,942.65
499.85,0,0,59.98,10700,,,0552,0,20171118,0,,0,"업무시설,근린생활시설",0,0,,0,0,124.45,8,0,0,0,,0019,,3,14000,업무시설,11680-381,10701,34.0,116804166151,0.0,0,1,신대장,서울특별시 강남구 논현로159길 34,0,3,0,0,833.4,0,서울특별시 강남구 신사동 552-19번지,,,,,,,1,일반,1,총괄표제부,2,11680,,,1499.17,11,,158.16,1318.13
355.3,0,0,52.9,10700,삼흥맨션,,0555,0,20171118,0,,0,공동주택 (다세대주택),0,0,,16,0,303.93,16,0,0,0,,0002,,2,02000,공동주택,11680-358,10701,51.0,116804166149,0.0,0,1,신대장,서울특별시 강남구 논현로157길 51,0,0,0,0,671.7,0,서울특별시 강남구 신사동 555-2번지,20030306,1101,신축허가,3220088,건축과,2003,2,집합,1,총괄표제부,3,11680,,20030430,1319.28,16,20040205,196.41,1319.28
274.71,0,0,58.75,10700,신사리스빌,,0555,1,20171118,0,,0,도시형생활주택/소매점,0,0,,26,0,0,0,0,0,0,,0028,,2,02000,공동주택,11680-100219029,,0.0,,0.0,0,1,신대장,,115.7,10,0,0,467.6,0,서울특별시 강남구 신사동 555-28번지,20120910,1101,신축허가,3220175,건축과,2012,2,집합,1,총괄표제부,4,11680,,20120926,876,10,20130401,187.34,876
289.93,0,0,42.08,10700,,,0558,0,20200522,66,,0,근린생활시설,0,0,,0,0,0,6,0,0,0,,0015,,2,04000,제2종근린생활시설,11680-100291964,10701,15.0,116804166267,8.0,0,1,신대장,서울특별시 강남구 도산대로25길 15-8,0,0,0,0,0,0,서울특별시 강남구 신사동 558-15번지,,,,,,,1,일반,1,총괄표제부,5,11680,,,1078.58,6,,115.84,798.04
1158.24,0,0,0,10700,현대맨션,,0601,1,20171118,0,,0,주거시설,0,0,,18,0,0,0,0,0,0,,0001,,3,02000,공동주택,11680-111,10701,51.0,116804166517,0.0,0,0,구대장,서울특별시 강남구 압구정로32길 51,0,0,0,0,0,0,서울특별시 강남구 신사동 601-1번지,,,,,,,2,집합,1,총괄표제부,6,11680,,,3836.61,0,,0,3474.72
1694.19,0,0,0,10700,현대맨숀,,0604,0,20171206,0,,0,주거시설,0,0,,31,0,0,0,0,0,0,,0000,,5,02000,공동주택,11680-109,10701,38.0,116804166517,0.0,0,0,구대장,서울특별시 강남구 압구정로32길 38,0,0,0,0,0,0,서울특별시 강남구 신사동 604번지,,,,,,,2,집합,1,총괄표제부,7,11680,,,5773.21,0,,0,5082.57
1694.19,0,0,0,10700,현대맨션,,0605,0,20171118,0,,0,연립주택,0,0,,30,0,0,0,0,0,0,,0000,,5,02000,공동주택,11680-110,10701,37.0,116804166517,0.0,0,0,구대장,서울특별시 강남구 압구정로32길 37,0,0,0,0,0,0,서울특별시 강남구 신사동 605번지,,,,,,,2,집합,1,총괄표제부,8,11680,,,5620.9,0,,0,5082.57
665.95,0,0,0,10700,,,0606,0,20171118,0,,0,공동주택 (연립주택),0,0,,12,0,0,0,0,0,0,,0007,,2,02000,공동주택,11680-47,10701,50.0,116804166520,0.0,0,1,신대장,서울특별시 강남구 압구정로36길 50,0,0,0,0,0,0,서울특별시 강남구 신사동 606-7번지,,,,,,,2,집합,1,총괄표제부,9,11680,,,2320.27,0,19820816,0,1997.85
565.14,0,0,0,10700,,,0607,2,20171118,0,,0,공동주택,0,0,,12,0,0,0,0,0,0,,0009,,2,02000,공동주택,11680-40,10701,33.0,116804166519,0.0,0,1,신대장,서울특별시 강남구 압구정로34길 33,0,0,0,0,0,0,서울특별시 강남구 신사동 607-9번지,19830712,,,,,,2,집합,1,총괄표제부,10,11680,,,1944.33,0,19830502,0,1695.42
396.96,0,0,0,10700,,,0607,0,20171118,0,,0,공동주택,0,0,,16,0,0,0,0,0,0,,0017,,2,02000,공동주택,11680-39,10701,25.0,116804166160,0.0,0,1,신대장,서울특별시 강남구 논현로172길 25,0,0,0,0,0,0,서울특별시 강남구 신사동 607-17번지,,,,,,,2,집합,1,총괄표제부,11,11680,,,999.48,0,19810116,0,793.92
557.48,0,0,59.62,10700,호산병원,,0617,1,20171206,0,,0,의료시설,0,0,,0,0,0,0,0,0,0,,0005,,2,09000,의료시설,11680-113,10703,871.0,116803005086,0.0,0,0,구대장,서울특별시 강남구 언주로 871,0,0,0,0,935.1,0,서울특별시 강남구 신사동 617-5번지,,,,,,,2,집합,1,총괄표제부,12,11680,,,4725.86,0,,397.5,3717.05
1158.88,0,0,0,10700,현대맨션,,0620,0,20171118,0,,0,공동주택,0,0,,24,0,0,0,0,0,0,,0008,,2,02000,공동주택,11680-112,10701,26.0,116804166520,0.0,0,0,구대장,서울특별시 강남구 압구정로36길 26,0,0,0,0,0,0,서울특별시 강남구 신사동 620-8번지,,,,,,,2,집합,1,총괄표제부,13,11680,,,3827.98,0,,0,3476.64
2698.075,0,0,19.5,10700,신구중학교,,0621,0,20230427,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0000,,2,10000,교육연구시설,11680-1000000000000000083151,10701,17.0,116804166520,0.0,,1,신대장,서울특별시 강남구 압구정로36길 17,0,0,0,0,13881.1,0,서울특별시 강남구 신사동 621번지,,,,,,,1,일반,1,총괄표제부,14,11680,,,8682.615,0,,62.48,8643.015
550.61,0,0,24.56,10700,삼원가든,,0623,0,20220809,0,,0,근린생활시설,0,0,,0,0,4086.57,90,0,0,0,,0008,,2,04000,제2종근린생활시설,11680-100313943,10703,833.0,116803005086,0.0,0,1,신대장,서울특별시 강남구 언주로 833,0,0,0,0,2241.7,0,서울특별시 강남구 신사동 623-8번지,19871106,,,,,,1,일반,1,총괄표제부,15,11680,,,5860.72,90,19880512,60.02,1345.36
210.66,0,0,0,10700,,,0625,0,20171118,0,,0,다세대주택,0,0,,12,0,0,0,0,0,0,,0009,,2,02000,공동주택,11680-114,10701,22.0,116804166591,0.0,0,0,구대장,서울특별시 강남구 언주로157길 22,0,0,0,0,0,0,서울특별시 강남구 신사동 625-9번지,,,,,,,2,집합,1,총괄표제부,16,11680,,,631.98,0,,0,421.32
