건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
14227.78,0,0,0,11000,현대아파트,,0369,0,20210405,0,,0,주거시설 근린생활시설,0,0,,960,0,0,0,0,0,0,,0001,,18,02000,공동주택,11680-163,11001,71.0,116804166514,0.0,0,0,구대장,서울특별시 강남구 압구정로29길 71,0,0,0,0,0,0,서울특별시 강남구 압구정동 369-1번지,,,,,,,2,집합,1,총괄표제부,1,11680,,,177290.37,0,,0,163345.72
7461.87,0,0,0,11000,미성아파트,,0397,17,20180529,0,,0,주거시설,0,0,,910,0,0,0,0,0,0,,0000,,10,02000,공동주택,11680-191,11003,113.0,116803122007,0.0,0,0,구대장,서울특별시 강남구 압구정로 113,0,0,0,0,0,0,서울특별시 강남구 압구정동 397번지,,,,,,,2,집합,1,총괄표제부,2,11680,,,118617.25,0,,0,110967.39
2808.2,135,3,18.87,11000,신사중학교,,0410,0,20221103,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0000,,2,10000,교육연구시설,11680-100285184,11003,123.0,116803122007,0.0,0,1,신대장,서울특별시 강남구 압구정로 123,310.5,27,0,0,14878.9,0,서울특별시 강남구 압구정동 410번지,,,,,,,1,일반,1,총괄표제부,3,11680,,,8981.01,27,,57.17,8506.26
3332.38,0,0,0,11000,미성아파트,,0414,2,20171206,0,,0,주거시설,0,0,,322,0,0,0,0,0,0,,0000,,3,02000,공동주택,11680-193,11001,17.0,116804166507,0.0,0,0,구대장,서울특별시 강남구 압구정로11길 17,0,0,0,0,0,0,서울특별시 강남구 압구정동 414번지,,,,,,,2,집합,1,총괄표제부,4,11680,,,48677.9,0,,0,45723.3
4154.24,5.76,1,22.4535,11000,현대고등학교,,0425,0,20171118,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0000,,2,10000,교육연구시설,11680-320,11003,127.0,116803122007,0.0,0,1,신대장,서울특별시 강남구 압구정로 127,1104,96,0,0,18501.5,0,서울특별시 강남구 압구정동 425번지,,,,,,,1,일반,1,총괄표제부,5,11680,,,19120.87,96,,89.27,16516.15
7354.48,0,0,0,11000,현대아파트,,0426,1,20171206,0,,0,주거시설 근린생활시설,0,0,,600,0,0,0,0,0,0,,0000,,11,02000,공동주택,11680-194,11003,151.0,116803122007,0.0,0,0,구대장,서울특별시 강남구 압구정로 151,0,0,0,0,0,0,서울특별시 강남구 압구정동 426번지,,,,,,,2,집합,1,총괄표제부,6,11680,,,81881.62,0,,0,75221.31
7123.36,0,0,0,11000,현대아파트,,0433,2,20171118,0,,0,주거시설,0,0,,559,0,0,0,0,0,0,,0000,,8,02000,공동주택,11680-195,11003,151.0,116803122007,0.0,0,0,구대장,서울특별시 강남구 압구정로 151,0,0,0,0,0,0,서울특별시 강남구 압구정동 433번지,,,,,,,2,집합,1,총괄표제부,7,11680,,,102031.99,0,,0,92603.68
8459.55,0,0,0,11000,현대아파트,,0434,0,20171206,0,,0,주거시설,0,0,,765,0,0,0,0,0,0,,0000,,12,02000,공동주택,11680-196,11003,151.0,116803122007,0.0,0,0,구대장,서울특별시 강남구 압구정로 151,0,0,0,0,0,0,서울특별시 강남구 압구정동 434번지,,,,,,,2,집합,1,총괄표제부,8,11680,,,117068.12,0,,0,109097.68
1832.88,0,0,0,11000,현대아파트,,0436,7,20171118,0,,0,주거시설 근린생활시설,0,0,,144,0,0,0,0,0,0,,0000,,3,02000,공동주택,11680-414,11001,69.0,116804166514,0.0,0,0,구대장,서울특별시 강남구 압구정로29길 69,0,0,0,0,0,0,서울특별시 강남구 압구정동 436번지,,,,,,,2,집합,1,총괄표제부,9,11680,,,19765.47,0,,0,18034.56
3329.89,0,0,0,11000,현대아파트,,0443,9,20171206,0,,0,주거시설,0,0,,432,0,0,0,0,0,0,,0000,,4,02000,공동주택,11680-197,11001,58.0,116804166522,0.0,0,0,구대장,서울특별시 강남구 압구정로39길 58,0,0,0,0,0,0,서울특별시 강남구 압구정동 443번지,,,,,,,2,집합,1,총괄표제부,10,11680,,,43280.27,0,,0,40188.93
2740.14,0,0,0,11000,현대아파트,,0447,0,20171206,0,,0,주거시설,0,0,,388,0,0,0,0,0,0,,0000,,4,02000,공동주택,11680-198,11001,57.0,116804166514,0.0,0,0,구대장,서울특별시 강남구 압구정로29길 57,0,0,0,0,0,0,서울특별시 강남구 압구정동 447번지,,,,,,,2,집합,1,총괄표제부,11,11680,,,39056.71,0,,0,37653.96
1927.74,0,0,0,11000,,,0448,0,20171206,0,,0,아파트,0,0,,234,0,0,0,0,0,0,,0000,,4,02000,공동주택,11680-162,11001,23.0,116804166514,0.0,0,1,신대장,서울특별시 강남구 압구정로29길 23,0,0,0,0,0,0,서울특별시 강남구 압구정동 448번지,,,,,,,2,집합,1,총괄표제부,12,11680,,,27606.8,0,,0,25060.62
2867.72,0,0,0,11000,현대아파트,,0455,0,20220324,0,,0,주거시설 근린생활시설,0,0,,224,0,0,0,0,0,0,,0000,,4,02000,공동주택,11680-199,11001,68.0,116804166514,0.0,0,0,구대장,서울특별시 강남구 압구정로29길 68,0,0,0,0,0,0,서울특별시 강남구 압구정동 455번지,,,,,,,2,집합,1,총괄표제부,13,11680,,,31133.99,0,,0,27371.97
18508.29,0,0,0,11000,현대아파트,,0456,8,20210201,0,,0,아파트,0,0,,1340,0,0,0,0,0,0,,0000,,17,02000,공동주택,11680-200,11003,201.0,116803122007,0.0,0,0,구대장,서울특별시 강남구 압구정로 201,0,0,0,0,0,0,서울특별시 강남구 압구정동 456번지,,,,,,,2,집합,1,총괄표제부,14,11680,,,252503.42,0,,0,233793.25
1813.16,144,3,12.83,11000,서울압구정초등학교,,0461,0,20200403,0,,0,교육연구및복지시설,0,0,,0,0,0,0,0,0,0,,0000,,3,10000,교육연구시설,11680-357,11001,29.0,116804166522,0.0,0,1,신대장,서울특별시 강남구 압구정로39길 29,0,0,0,0,14135.6,0,서울특별시 강남구 압구정동 461번지,,,,,,,1,일반,1,총괄표제부,15,11680,,,6591.27,0,,45.07,6370.77
4265.92,0,0,0,11000,현대아파트,,0462,5,20171206,0,,0,주거시설,0,0,,170,0,0,0,0,0,0,,0000,,6,02000,공동주택,11680-201,11001,70.0,116804166518,0.0,0,0,구대장,서울특별시 강남구 압구정로33길 70,0,0,0,0,0,0,서울특별시 강남구 압구정동 462번지,,,,,,,2,집합,1,총괄표제부,16,11680,,,23886.39,0,,0,23118.39
4313.7,700.42,8,24.69,11000,구정고등학교,,0470,0,20171118,0,,0,교육연구및복지시설,0,0,,0,0,0,0,0,0,0,,0000,,3,10000,교육연구시설,11680-402,11001,20.0,116804166522,0.0,0,1,신대장,서울특별시 강남구 압구정로39길 20,0,63,0,0,17468.9,0,서울특별시 강남구 압구정동 470번지,,,,,,,1,일반,1,총괄표제부,17,11680,,,13364.26,63,19960302,74.85,13075.36
6316.08,0,0,0,11000,현대아파트,,0481,2,20171206,0,,0,주거시설 근린생활시설,0,0,,516,0,0,0,0,0,0,,0000,,7,02000,공동주택,11680-202,11003,309.0,116803122007,0.0,0,0,구대장,서울특별시 강남구 압구정로 309,0,0,0,0,0,0,서울특별시 강남구 압구정동 481번지,,,,,,,2,집합,1,총괄표제부,18,11680,,,72351.1,0,,0,65963.48
2375.42,0,0,0,11000,한양아파트,,0484,1,20171206,0,,0,주거시설,0,0,,228,0,0,0,0,0,0,,0000,,2,02000,공동주택,11680-415,11003,313.0,116803122007,0.0,0,0,구대장,서울특별시 강남구 압구정로 313,0,0,0,0,0,0,서울특별시 강남구 압구정동 484번지,,,,,,,2,집합,1,총괄표제부,19,11680,,,29975.27,0,,0,27748.55
3112.07,0,0,0,11000,한양아파트,,0486,0,20171206,0,,0,주거시설,0,0,,286,0,0,0,0,0,0,,0000,,4,02000,공동주택,11680-204,11003,313.0,116803122007,0.0,0,0,구대장,서울특별시 강남구 압구정로 313,0,0,0,0,0,0,서울특별시 강남구 압구정동 486번지,,,,,,,2,집합,1,총괄표제부,20,11680,,,43329.54,0,,0,40451.97
3202.54,0,0,0,11000,한양아파트,,0489,0,20171118,0,,0,주거시설,0,0,,312,0,0,0,0,0,0,,0000,,5,02000,공동주택,11680-385,11003,321.0,116803122007,0.0,0,0,구대장,서울특별시 강남구 압구정로 321,0,0,0,0,0,0,서울특별시 강남구 압구정동 489번지,,,,,,,2,집합,1,총괄표제부,21,11680,,,44827.95,0,,0,41735.98
6761,0,0,0,11000,영동한양아파트,,0490,0,20171206,0,,0,주거시설,0,0,,936,0,0,0,0,0,0,,0000,,10,02000,공동주택,11680-205,11003,321.0,116803122007,0.0,0,0,구대장,서울특별시 강남구 압구정로 321,0,0,0,0,0,0,서울특별시 강남구 압구정동 490번지,,,,,,,2,집합,1,총괄표제부,22,11680,,,88234.75,0,,0,80949.21
3879.87,0,0,0,11000,영동한양아파트,,0493,0,20171118,0,,0,주거시설,0,0,,296,0,0,0,0,0,0,,0000,,5,02000,공동주택,11680-206,11003,347.0,116803122007,0.0,0,0,구대장,서울특별시 강남구 압구정로 347,0,0,0,0,0,0,서울특별시 강남구 압구정동 493번지,,,,,,,2,집합,1,총괄표제부,23,11680,,,52388.79,0,,0,38501.57
3217.54,0,0,0,11000,한양아파트,,0513,0,20171118,0,,0,주거시설,0,0,,343,0,0,0,0,0,0,,0000,,4,02000,공동주택,11680-207,11003,401.0,116803122007,0.0,0,0,구대장,서울특별시 강남구 압구정로 401,0,0,0,0,0,0,서울특별시 강남구 압구정동 513번지,,,,,,,2,집합,1,총괄표제부,24,11680,,,43799.3,0,,0,40661.67
2373.82,0,0,0,11000,한양아파트,,0528,0,20171206,0,,0,주거시설,0,0,,239,0,0,0,0,0,0,,0000,,2,02000,공동주택,11680-208,11002,37.0,116804166531,0.0,0,0,구대장,서울특별시 강남구 압구정로61길 37,0,0,0,0,0,0,서울특별시 강남구 압구정동 528번지,,,,,,,2,집합,1,총괄표제부,25,11680,,,29985.87,0,,0,27756.11
