건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
382.55,0,0,43.19,10100,대한예수교 장로회 서울중앙교회,,0622,1,20171206,0,,0,"종교시설, 근린생활시설",0,0,,0,0,56.28,2,0,0,0,,0008,,2,06000,종교시설,11680-100202629,,0.0,,0.0,0,1,신대장,,0,0,0,0,885.8,0,서울특별시 강남구 역삼동 622-8번지,,,,,,,1,일반,1,총괄표제부,1,11680,,,840.18,2,,82.16979,727.86
390.06,0,0,0,10100,동양팰리스빌라,,0623,2,20171118,0,,0,주거시설,0,0,,6,0,0,0,0,0,0,,0003,,2,02000,공동주택,11680-274,10101,37.0,116804166337,0.0,0,0,구대장,서울특별시 강남구 봉은사로18길 37,0,0,0,0,0,0,서울특별시 강남구 역삼동 623-3번지,,,,,,,2,집합,1,총괄표제부,2,11680,,,1781.64,0,,0,780.12
234.61,0,0,43.09,10100,,,0624,0,20180915,0,,0,근린생활시설,0,0,,0,0,0,0,0,0,0,,0038,,2,03000,제1종근린생활시설,11680-100266674,10101,45.0,116804166341,6.0,0,1,신대장,서울특별시 강남구 봉은사로22길 45-6,34.5,3,0,0,544.5,0,서울특별시 강남구 역삼동 624-38번지,,,,,,,1,일반,1,총괄표제부,3,11680,,,451.42,3,,68.9,375.17
118.94,0,0,48.64,10100,,,0626,0,20170912,0,,0,"다가구주택, 제1종근린생활시설",3,0,,0,0,0,0,0,0,0,,0028,,2,01000,단독주택,11680-100266025,10101,48.0,116804166339,0.0,0,1,신대장,서울특별시 강남구 봉은사로20길 48,0,3,0,0,244.5,0,서울특별시 강남구 역삼동 626-28번지,20161206,1202,증축신고,3220175,건축과,2016,1,일반,1,총괄표제부,4,11680,,20170417,311.38,3,20170907,90.2,220.54
591.26,0,0,59.75,10100,베스젠빌,,0633,1,20171118,0,,0,"공동주택,아파트",0,0,,19,0,0,29,0,0,0,,0000,,1,02000,공동주택,11680-322,10101,74.0,116804166208,0.0,0,1,신대장,서울특별시 강남구 논현로97길 74,0,2,0,0,989.5,0,서울특별시 강남구 역삼동 633번지,20020114,1101,신축허가,3220088,건축과,2002,2,집합,1,총괄표제부,5,11680,633블럭,20020308,3422.83,31,20030213,270.1,2672.66
2540.01,0,0,19.5,10100,,,0635,0,20171118,0,,0,근린생활시설,0,0,,0,0,0,0,0,0,0,,0000,,3,03000,제1종근린생활시설,11680-100195907,10101,32.0,116804166759,0.0,0,1,신대장,서울특별시 강남구 테헤란로7길 32,0,0,0,0,13025.1,0,서울특별시 강남구 역삼동 635번지,,,,,,,1,일반,1,총괄표제부,6,11680,,,4390.86,0,,30.11,3922.3
2564.52,0,0,12.76,10100,,,0635,0,20230116,0,,0,"교육연구시설,자동차관련시설",0,0,,0,0,0,247,0,0,0,,0001,,3,10000,교육연구시설,11680-1000000000000001048684,10101,21.0,116804166759,0.0,0,1,신대장,서울특별시 강남구 테헤란로7길 21,0,49,0,0,20091,0,서울특별시 강남구 역삼동 635-1번지,,,,,,,1,일반,1,총괄표제부,7,11680,,,19006.23,296,,38.16,7666.99
4730.16,0,0,59.333182,10100,한국과학기술회관,,0635,2,20230227,0,,0,,0,0,,0,0,10684.54,312,0,0,0,,0002,,2,14000,업무시설,11680-1000000000000001065309,10101,22.0,116804166759,0.0,0,1,신대장,서울특별시 강남구 테헤란로7길 22,0,0,0,0,7972.2,0,서울특별시 강남구 역삼동 635-2번지,,,,,,,1,일반,1,총괄표제부,8,11680,,,53285.02,312,,399.32967,31835.36
0,0,0,0,10100,,,0640,0,20210112,0,,0,,0,0,,0,0,0,0,0,0,0,,0019,,0,,,11680-100295983,,0.0,,0.0,0,,,,0,0,0,0,0,0,서울특별시 강남구 역삼동 640-19번지,,,,,,,1,일반,1,총괄표제부,9,11680,,,0,0,,0,0
185.58,0,0,52.25,10100,,,0643,0,20201117,0,,0,제2종근린생활시설,0,0,,0,0,0,0,0,0,0,,0015,,2,04000,제2종근린생활시설,11680-100294503,10101,24.0,116804166724,0.0,0,1,신대장,서울특별시 강남구 테헤란로21길 24,0,0,0,0,355.2,0,서울특별시 강남구 역삼동 643-15번지,,,,,,,1,일반,1,총괄표제부,10,11680,,,644.03,3,,140.37,498.58
