건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
365.66,0,0,39.32,11200,,,0056,0,20171219,0,,0,,0,0,,0,0,0,0,0,0,0,,0103,,2,19000,위험물저장및처리시설,11680-100267525,,0.0,,0.0,0,1,신대장,,23,2,0,0,930,0,서울특별시 강남구 자곡동 56-103번지,,,,,,,1,일반,1,총괄표제부,1,11680,,,477.91,2,,39.32,365.66
439.42,0,0,17.74,11200,수서충전소,,0204,2,20171118,0,,0,위험물저장및처리시설(LPG충전소),0,0,,0,0,0,0,0,0,0,,0001,,2,19000,위험물저장및처리시설,11680-100252990,,0.0,,0.0,0,1,신대장,,99,6,0,0,2477,0,서울특별시 강남구 자곡동 204-1번지,20150521,1101,신축허가,3220175,건축과,2015,1,일반,1,총괄표제부,2,11680,,20150728,662.52,6,20160407,26.75,662.52
126.05,0,0,40.79,11200,임성복씨 주택,,0237,0,20100417,0,,0,단독주택,1,0,,0,0,0,0,0,0,0,,0007,,1,01000,단독주택,11680-314,11201,43.0,116804166313,0.0,0,1,신대장,서울특별시 강남구 밤고개로12길 43,11.5,1,0,0,309,0,서울특별시 강남구 자곡동 237-7번지,20020520,5310,개발제한구역내 건축허가,3220061,세곡동,2002,1,일반,1,총괄표제부,3,11680,,20020601,196.77,1,20021018,63.68,196.77
477.41,164.02,1,17.22,11200,강남 LPG 충전소,,0373,0,20201024,0,,0,"위험물저장및처리시설,충전소",0,0,,0,0,0,0,0,0,0,,0001,,3,19000,위험물저장및처리시설,11680-315,11201,200.0,116803122003,0.0,0,1,신대장,서울특별시 강남구 밤고개로 200,166,14,0,0,2772,0,서울특별시 강남구 자곡동 373-1번지,20020522,5310,개발제한구역내 건축허가,3220061,세곡동,2002,1,일반,1,총괄표제부,4,11680,,20020529,762.72,15,20021024,27.52,762.72
8186.85,28969.78,15,17.17,11200,강남자곡아이파크,,0602,0,20221019,93,,0,공동주택(아파트),0,0,,716,4,26852.98,831,0,0,0,,0000,,11,02000,공동주택,11680-100237430,,0.0,,0.0,0,1,신대장,,563.5,49,0,0,47679.1,0,서울특별시 강남구 자곡동 602번지,20100930,,,,,,2,집합,1,총괄표제부,5,11680,,20111230,102988.17,880,20141002,150.64,71821.87
372.49,0,0,1.73,11200,강남구립 못골한옥어린이도서관,,0607,0,20200221,0,,0,공공도서관,0,0,,0,0,0,0,0,0,0,,0000,,5,03000,제1종근린생활시설,11680-100263224,,0.0,,0.0,0,1,신대장,,90.39,3,0,0,21560.9,0,서울특별시 강남구 자곡동 607번지,20120413,1101,신축허가,3220175,건축과,2012,1,일반,1,총괄표제부,6,11680,,20120507,372.49,3,20170417,1.73,372.49
14050.14,60469.2,13,17.5,11200,래미안 강남힐즈,,0611,0,20220822,0,1,45.93,공동주택(아파트),0,0,2,1020,14,56220.68,1554,0,0,0,,0000,,21,02000,공동주택,11680-100233589,,0.0,,0.0,0,1,신대장,,0,0,0,0,80305.2,0,서울특별시 강남구 자곡동 611번지,20120327,2101,주택건설사업계획승인,3220173,주택과,2012,2,집합,1,총괄표제부,7,11680,,20120502,192070.36,1554,20140630,159.95,128450.25
6323.7,20135.56,7,26.15,11200,강남브리즈힐,,0618,0,20220901,70,,0,공동주택(아파트),0,0,,402,0,18395.86,520,0,0,0,,0000,,13,02000,공동주택,11680-100240009,,0.0,,0.0,0,1,신대장,,0,0,0,0,24181.6,0,서울특별시 강남구 자곡동 618번지,20111226,,,,,,2,집합,1,총괄표제부,8,11680,,20121119,65634.14,520,20141030,182.41,44109.43
20386.13,52057.82,11,29.08,11200,강남자곡 힐스테이트,,0619,0,20230721,72,,0,공동주택(아파트),0,0,,1339,12,47871.01,1590,0,0,0,,0000,,8,02000,공동주택,11680-100244849,,0.0,,0.0,0,1,신대장,,0,0,0,0,70095.4,0,서울특별시 강남구 자곡동 619번지,20101230,,,,,,2,집합,1,총괄표제부,9,11680,,20120918,179903.97,1590,20150602,177.05,124103.98
11097.438,22723.28,12,32.26,11200,엘에이치강남3단지,,0621,0,20171118,63,,0,공동주택(아파트),0,0,,1065,7,20691.34,672,0,0,0,,0000,,16,02000,공동주택,11680-100223109,,0.0,,0.0,0,1,신대장,,2425.5,207,0,0,34396.9,0,서울특별시 강남구 자곡동 621번지,20101230,,,,,,2,집합,1,총괄표제부,10,11680,,20111230,85878.184,879,20131113,181.42,62402.742
2694.53,152.17,4,34.1,11200,강남엘에이치8단지,,0646,0,20220419,76,,0,도시형생활주택,0,0,,96,0,0,0,0,0,0,,0000,,12,02000,공동주택,11680-100224210,,0.0,,0.0,0,1,신대장,,1239,106,0,0,7901.6,0,서울특별시 강남구 자곡동 646번지,20091230,,,,,,2,집합,1,총괄표제부,11,11680,,20111230,7984.89,106,20131113,99.21,7839.32
2632.755,14971.328,3,59.98,11200,강남 지웰홈스,,0662,0,20171206,0,,0,"업무시설(오피스텔),제2종근린생활시설(일반음식점)",0,0,,0,666,13244.068,380,0,0,0,,0000,,3,14000,업무시설,11680-100238210,,0.0,,0.0,0,1,신대장,,0,0,0,0,4389.1,0,서울특별시 강남구 자곡동 662번지,20121017,1101,신축허가,3220175,건축과,2012,2,집합,1,총괄표제부,12,11680,,20121022,40936.522,380,20141015,564.438,24773.745
22236.2,64903.6,11,24.34,11200,강남한양수자인,,0686,0,20220524,86,,0,공동주택(아파트),0,0,,1304,11,61656.13,1630,0,0,0,,0000,,27,02000,공동주택,11680-100228197,,0.0,,0.0,0,1,신대장,,85.5,7,0,0,91359.3,0,서울특별시 강남구 자곡동 686번지,20101230,,,,,,2,집합,1,총괄표제부,13,11680,,20120330,201793.05,1637,20140314,150.36,137363.51
16844.86,43827.74,12,26.33,11200,래미안포레,,0687,0,20210623,86,,0,공동주택(아파트),0,0,,1070,8,40816.01,1151,0,0,0,,0000,,16,02000,공동주택,11680-100227089,,0.0,,0.0,0,1,신대장,,69,6,0,0,63968.6,0,서울특별시 강남구 자곡동 687번지,20101230,,,,,,2,집합,1,총괄표제부,14,11680,,20120515,145322.63,1157,20140313,159.26,101875.74
4908.49,13997.59,19,25.44,11200,LH 수서 1단지 아파트,A1BL,0000,0,20230313,0,,0,공동주택(아파트),0,0,,830,7,10942.8,363,0,0,0,,0000,,7,02000,공동주택,11680-1000000000000001422246,11201,165.0,116803122003,0.0,0,1,신대장,서울특별시 강남구 밤고개로 165,690.5,58,0,0,19297,2,서울특별시 강남구 자곡동 블록 수서역세권 택지개발사업 내지구 A1BL블록,20171231,,,,,,2,집합,1,총괄표제부,15,11680,수서역세권 택지개발사업 내,20210305,46138.05,421,20230217,176.51,34060.43
7758.84,33184.07,17,34.3,11200,디아크리온 강남,A3블록,0000,0,20230626,0,,0,공동주택(아파트),0,0,,597,10,29397.52,719,0,0,0,,0000,,10,02000,공동주택,11680-1000000000000001952944,11201,11.0,116804862412,0.0,0,1,신대장,서울특별시 강남구 자곡로11길 11,54,4,0,0,22621,2,서울특별시 강남구 자곡동 블록 수서역세권 공공주택지구내지구 A3블록블록,20191122,,,,,,2,집합,1,총괄표제부,16,11680,수서역세권 공공주택지구내,20201211,81386.59,723,20230613,218.37,49396.46
