건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
140.95,0,0,0,10400,,,0005,0,20171118,0,,0,다세대주택,0,0,,7,0,0,0,0,0,0,,0014,,2,02000,공동주택,11680-303,10401,7.0,116804166298,0.0,0,0,구대장,서울특별시 강남구 도산대로72길 7,0,0,0,0,0,0,서울특별시 강남구 청담동 5-14번지,,,,,,,2,집합,1,총괄표제부,1,11680,,,471.35,0,,0,330.4
391.33,0,0,58.48,10400,INFINI 청담빌딩,,0006,0,20171118,0,,0,"업무시설,근린생활시설",0,0,,0,0,0,0,215.55,20,0,,0015,,2,14000,업무시설,11680-35,10402,777.0,116803122005,0.0,0,1,신대장,서울특별시 강남구 삼성로 777,0,0,0,0,669.2,0,서울특별시 강남구 청담동 6-15번지,,,,,,,1,일반,1,총괄표제부,2,11680,,,2164.11,20,,264.81,1772.11
1837.91,0,0,0,10400,삼환아파트,,0010,0,20171118,0,,0,"아파트, 근린생활시설",0,0,,184,0,0,0,0,0,0,,0000,,2,02000,공동주택,11680-234,10401,49.0,116804166819,0.0,0,1,신대장,서울특별시 강남구 학동로77길 49,0,0,0,0,0,0,서울특별시 강남구 청담동 10번지,,,,,,,2,집합,1,총괄표제부,3,11680,,,24625.97,0,,0,18564.03
1963.13,197.76,3,25.35,10400,청담2차 e-편한세상,,0014,0,20171206,0,,0,공동주택(아파트),0,0,,142,0,5083.18,145,0,0,0,,0000,,3,02000,공동주택,11680-17,10401,25.0,116804166297,0.0,0,1,신대장,서울특별시 강남구 도산대로70길 25,1642.12,72,0,0,7745.4,0,서울특별시 강남구 청담동 14번지,20030318,2101,주택건설사업계획승인,3220086,주택과,2003,2,집합,1,총괄표제부,4,11680,,20040223,23219.77,217,20060427,229.47,17774.04
2119.35,0,0,0,10400,현대아파트,,0023,0,20171206,0,,0,주거시설 근린생활시설,0,0,,214,0,0,0,0,0,0,,0000,,3,02000,공동주택,11680-235,10403,748.0,116803122006,0.0,0,0,구대장,서울특별시 강남구 선릉로 748,0,0,0,0,0,0,서울특별시 강남구 청담동 23번지,,,,,,,2,집합,1,총괄표제부,5,11680,,,21602.42,0,,0,21494.42
5681.22,227.77,4,8.74,10400,영동고등학교,,0023,0,20190522,0,,0,교육연구및복지시설,0,0,,0,0,0,0,0,0,0,,0004,,5,10000,교육연구시설,11680-359,10403,742.0,116803122006,0.0,0,1,신대장,서울특별시 강남구 선릉로 742,1725,150,0,0,65029.6,0,서울특별시 강남구 청담동 23-4번지,,,,,,,1,일반,1,총괄표제부,6,11680,,,18005.02,150,,26.36,17142.81
759.12,1592.2,1,53.6,10400,하우스에딘브로우,,0026,4,20171118,0,,0,공동주택,0,0,,16,0,1029.1,40,0,0,0,,0000,,2,02000,공동주택,11680-390,10401,65.0,116804166408,0.0,0,1,신대장,서울특별시 강남구 삼성로147길 65,0,0,0,0,1416.4,0,서울특별시 강남구 청담동 26번지,20010329,1101,신축허가,3220088,건축과,2001,2,집합,1,총괄표제부,7,11680,,20020629,4409.96,40,20041025,198.94,2817.76
4406.64,219.97,1,25.29,10400,서울언북초등학교,,0027,0,20190313,0,,0,교육연구시설,0,0,,0,0,6680.67,226,0,0,0,,0000,,2,10000,교육연구시설,11680-94,10401,42.0,116804166402,0.0,0,1,신대장,서울특별시 강남구 삼성로135길 42,49.5,3,0,0,17423.9,0,서울특별시 강남구 청담동 27번지,,,,,,,1,일반,1,총괄표제부,8,11680,,,25100.81,229,19960424,92.19,16063.09
1326.95,4609.17,3,25.45,10400,청담4차 e편한세상,,0028,0,20220822,0,,0,아파트,0,0,,94,0,4266.35,154,0,0,0,,0020,,2,02000,공동주택,11680-100202987,10401,33.0,116804166818,0.0,0,1,신대장,서울특별시 강남구 학동로73길 33,0,4,0,0,5213.7,0,서울특별시 강남구 청담동 28-20번지,20040219,5809,재건축협의(주택건설사업계획승인),3220000,강남구,2010,2,집합,1,총괄표제부,9,11680,,20080819,17411.32,158,20110210,247.07,12881.24
2853.47,10123.03,3,24.84,10400,대림아파트,,0030,0,20171118,0,,0,공동주택(아파트),0,0,,271,0,9756.12,285,0,0,0,,0033,,5,02000,공동주택,11680-321,10401,27.0,116804166819,0.0,0,1,신대장,서울특별시 강남구 학동로77길 27,0,115,0,0,11489.4,0,서울특별시 강남구 청담동 30-33번지,20000303,2101,주택건설사업계획승인,3220086,주택과,2000,2,집합,1,총괄표제부,10,11680,,20001026,44037.57,400,20021230,296.25,34037.05
