"건축면적","부속건축물면적","부속건축물수","건폐율","법정동코드","건물명","블록","번","외필지수","생성일자","EPI점수","에너지효율등급","에너지절감율","기타용도","가구수","친환경건축물인증점수","친환경건축물등급","세대수","호수","옥내자주식면적","옥내자주식대수","옥내기계식면적","옥내기계식대수","지능형건축물인증점수","지능형건축물등급","지","로트","주건축물수","주용도코드","주용도코드명","관리건축물대장PK","새주소법정동코드","새주소본번","새주소도로코드","새주소부번","새주소지상지하코드","신구대장구분코드","신구대장구분코드명","도로명대지위치","옥외자주식면적","옥외자주식대수","옥외기계식면적","옥외기계식대수","대지면적","대지구분코드","대지위치","허가일","허가번호구분코드","허가번호구분코드명","허가번호기관코드","허가번호기관코드명","허가번호년","대장구분코드","대장구분코드명","대장종류코드","대장종류코드명","순번","시군구코드","특수지명","착공일","연면적","총주차수","사용승인일","용적률","용적률산정연면적"
15403.97,64.26,3,0,10300,"대치,대청 아파트",NA,12,0,20220110,0,"",0,"주거시설 근린생활시설",0,0,NA,4199,0,0,0,0,0,0,NA,0,NA,27,"2000","공동주택","11680-103",10301,5,116804166040,0,0,0,"구대장","서울특별시 강남구 개포로109길 5",0,0,0,0,0,0,"서울특별시 강남구 개포동 12번지",NA,NA,"",NA,"",NA,2,"집합",1,"총괄표제부",1,11680,NA,NA,224217.01,0,NA,0,21833.55
2927.93,21619.49,4,18.91,10300,"개포자이",NA,12,0,20220112,0,"",0,"공동주택 (아파트)",0,0,NA,212,0,20945.12,483,0,0,0,NA,2,NA,5,"2000","공동주택","11680-376",10301,69,116804166040,0,0,1,"신대장","서울특별시 강남구 개포로109길 69",278.5,19,0,0,15487.3,0,"서울특별시 강남구 개포동 12-2번지",20011101,2101,"주택건설사업계획승인",3220086,"주택과",2004,2,"집합",1,"총괄표제부",2,11680,NA,20011120,60400.03,502,20040617,250.64,38816.92
1852.39,77.79,1,14.25,10300,"대진초등학교",NA,13,0,20230403,0,"",0,"교육연구및복지시설",0,0,NA,0,0,0,0,0,0,0,NA,0,NA,3,"10000","교육연구시설","11680-398",10301,74,116804166040,0,0,1,"신대장","서울특별시 강남구 개포로109길 74",0,0,0,0,13000.5,0,"서울특별시 강남구 개포동 13번지",NA,NA,"",NA,"",NA,1,"일반",1,"총괄표제부",3,11680,NA,NA,5530.39,0,19971217,42.26,5494.39
9879.5,195.63,2,23.26,10300,"경기여자고등학교",NA,152,0,20200804,0,"",0,"교육연구및복지시설",0,0,NA,0,0,1035,90,0,0,0,NA,0,NA,5,"10000","교육연구시설","11680-68",10301,29,116803122005,0,0,1,"신대장","서울특별시 강남구 삼성로 29",310.5,27,0,0,42474.5,0,"서울특별시 강남구 개포동 152번지",19880628,NA,"",NA,"",NA,1,"일반",1,"총괄표제부",4,11680,NA,NA,28097.93,117,19880628,55.2,23445.64
2332.1,2748.58,4,14.51,10300,"개포디지털혁신파크",NA,153,1,20201022,0,"",0,"",0,0,NA,0,0,0,0,0,0,0,NA,0,NA,3,"10000","교육연구시설","11680-100294483",NA,0,NA,0,0,1,"신대장","",912,78,0,0,16077.9,0,"서울특별시 강남구 개포동 153번지",20181026,5100,"협의건축물",3220175,"건축과",2018,1,"일반",1,"총괄표제부",5,11680,NA,20181214,6878.75,78,20201013,38.57,6200.59
4275.87,80.1,2,21.22,10300,"개포고등학교",NA,173,0,20171118,0,"",0,"교육연구시설",0,0,NA,0,0,0,0,0,0,0,NA,0,NA,4,"10000","교육연구시설","11680-100199908",10301,402,116803122001,0,0,1,"신대장","서울특별시 강남구 개포로 402",713,62,0,0,20145.8,0,"서울특별시 강남구 개포동 173번지",NA,NA,"",NA,"",NA,1,"일반",1,"총괄표제부",6,11680,NA,NA,12240.62,56,NA,58.15,11715.52
3406.96,0,0,0,10300,"현대아파트",NA,177,0,20220822,0,"",0,"주거시설 근린생활시설",0,0,NA,198,0,0,0,0,0,0,NA,0,NA,6,"2000","공동주택","11680-421",10301,409,116803122001,0,0,0,"구대장","서울특별시 강남구 개포로 409",0,0,0,0,0,0,"서울특별시 강남구 개포동 177번지",NA,NA,"",NA,"",NA,2,"집합",1,"총괄표제부",7,11680,NA,NA,32857.3,0,NA,0,29461.44
2866.01,0,0,0,10300,"개포8차 우성아파트",NA,179,0,20200205,0,"",0,"주거시설 근린생활시설",0,0,NA,261,0,0,0,0,0,0,NA,0,NA,4,"2000","공동주택","11680-104",10301,411,116803122001,0,0,0,"구대장","서울특별시 강남구 개포로 411",0,0,0,0,0,0,"서울특별시 강남구 개포동 179번지",NA,NA,"",NA,"",NA,2,"집합",1,"총괄표제부",8,11680,NA,NA,26710.28,0,NA,0,24024.99
2884.63,0,0,16.4,10300,"개원중학교",NA,184,0,20210702,0,"",0,"",0,0,NA,0,0,0,0,0,0,0,NA,0,NA,4,"10000","교육연구시설","11680-100199848",10301,101,116802122002,0,0,1,"신대장","서울특별시 강남구 영동대로 101",0,0,0,0,17583.9,0,"서울특별시 강남구 개포동 184번지",NA,NA,"",NA,"",NA,1,"일반",1,"총괄표제부",9,11680,NA,NA,11819.08,0,NA,65.8,11569.33
12975.06,0,0,0,10300,"개포주공아파트",NA,185,0,20220915,0,"",0,"주거시설 근린생활시설",0,0,NA,1960,0,0,0,0,0,0,NA,0,NA,20,"2000","공동주택","11680-389",10301,516,116803122001,0,0,0,"구대장","서울특별시 강남구 개포로 516",0,0,0,0,0,0,"서울특별시 강남구 개포동 185번지",NA,NA,"",NA,"",NA,2,"집합",1,"총괄표제부",10,11680,NA,NA,184280.09,0,NA,0,166471.99
6977.6,0,0,0,10300,"개포주공아파트",NA,187,0,20171206,0,"",0,"공동주택",0,0,NA,940,0,0,0,0,0,0,NA,0,NA,8,"2000","공동주택","11680-217",10301,17,116804166412,0,0,0,"구대장","서울특별시 강남구 삼성로4길 17",0,0,0,0,0,0,"서울특별시 강남구 개포동 187번지",NA,NA,"",NA,"",NA,2,"집합",1,"총괄표제부",11,11680,NA,NA,93810.76,0,NA,0,84368.32
8071.61,0,0,0,10300,"경남아파트",NA,649,0,20200715,0,"",0,"",0,0,NA,675,0,0,0,0,0,0,NA,0,NA,11,"2000","공동주택","11680-105",10302,110,116803005086,0,0,0,"구대장","서울특별시 강남구 언주로 110",0,438,0,0,0,0,"서울특별시 강남구 개포동 649번지",NA,NA,"",NA,"",NA,2,"집합",1,"총괄표제부",12,11680,NA,NA,104962.27,0,NA,0,96706.63
2928.88,0,0,20.19,10300,"구륭중학교",NA,650,0,20200408,0,"",0,"교육연구시설",0,0,NA,0,0,0,0,0,0,0,NA,0,NA,2,"10000","교육연구시설","11680-100291524",10302,103,116803122006,0,0,1,"신대장","서울특별시 강남구 선릉로 103",0,0,0,0,14503.7,0,"서울특별시 강남구 개포동 650번지",NA,NA,"",NA,"",NA,1,"일반",1,"총괄표제부",13,11680,NA,NA,9097.91,0,NA,62.48,9061.91
2708.8792,13110.0585,9,30.85,10300,"개포 더샵 트리에",NA,651,0,20211215,0,"",0,"공동주택(아파트)",0,0,NA,232,0,12358.22,297,0,0,0,NA,1,NA,2,"2000","공동주택","11680-106",10301,311,116803122001,0,0,1,"신대장","서울특별시 강남구 개포로 311",92,8,0,0,8779.5,0,"서울특별시 강남구 개포동 651-1번지",20180328,2225,"행위허가(대수선)",3220208,"주택사업과",2018,2,"집합",1,"총괄표제부",14,11680,NA,20190415,44051.5674,305,20211201,355.8,31237.7752
