건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
427.02,0,0,52.72,10300,NOTTING HILL,,0002,0,20210824,0,,0,공동주택(다세대주택-8세대),0,0,,8,0,529.46,14,0,0,0,,0000,,2,02000,공동주택,41290-100198474,10301,6.0,412903195047,6.0,0,1,신대장,경기도 과천시 찬우물로 6-6,0,0,0,0,810,0,경기도 과천시 갈현동 2번지,20190430,1101,신축허가,3970079,건축과,2019,2,집합,1,총괄표제부,1,41290,,20201019,1579.88,14,20210809,129.68,1050.42
1425.91,0,0,12,10300,과천시 상수도사업소,,0004,0,20220531,0,,0,정수처리시설 및 슬러지처리시설,0,0,,0,0,0,0,0,0,0,,0001,,6,14000,업무시설,41290-1,10302,59.0,412903206129,92.0,0,0,구대장,경기도 과천시 중앙로 59-92,0,0,0,0,11634,0,경기도 과천시 갈현동 4-1번지,,,,,,,1,일반,1,총괄표제부,2,41290,,,2594.59,0,,22,2594.59
586.93,0,0,58.75,10300,,,0009,5,20220905,0,,0,도시형생활주택 단지형다세대주택,0,0,,15,0,324.55,15,0,0,0,,0003,,3,02000,공동주택,41290-100187192,,0.0,,0.0,0,1,신대장,,0,0,0,0,999,0,경기도 과천시 갈현동 9-3번지,20161031,1101,신축허가,3970044,건축과,2016,2,집합,1,총괄표제부,3,41290,,20161221,1791.25,15,20170929,139.13,1389.95
548.24,0,0,54.88,10300,,,0009,7,20180928,0,,0,공동주택(도시형 생활주택 단지형 다세대주택),0,0,,13,0,0,0,0,0,0,,0006,,4,02000,공동주택,41290-100187673,10301,26.0,412903195047,2.0,0,1,신대장,경기도 과천시 찬우물로 26-2,0,0,0,0,999,0,경기도 과천시 갈현동 9-6번지,,,,,,,2,집합,1,총괄표제부,4,41290,,,1667.64,14,,134.3,1341.68
247.25,0,0,27.2,10300,"이쁜오리(A,B동)",,0013,0,20171205,0,,0,제2종근린생활시설(일반음식점),0,0,,0,0,0,0,0,0,0,,0007,,2,04000,제2종근린생활시설,41290-85,10302,163.0,412902000004,0.0,0,1,신대장,경기도 과천시 과천대로 163,80.5,7,0,0,909,0,경기도 과천시 갈현동 13-7번지,20070528,1102,증축허가,3970000,과천시,2007,1,일반,1,총괄표제부,5,41290,,,247.25,7,20071024,27.2,247.25
437.31,0,0,54.46,10300,갈현동,,0013,0,20220324,0,,0,사무소,5,0,,0,0,176.31,7,0,0,0,,0009,,2,04000,제2종근린생활시설,41290-100200674,,0.0,,0.0,0,1,신대장,,49.5,4,0,0,803,0,경기도 과천시 갈현동 13-9번지,20210518,1101,신축허가,3970106,건축과,2021,1,일반,1,총괄표제부,6,41290,,20210621,1288.25,11,20220318,136.59,1096.81
123.14,0,0,28.05,10300,,,0014,0,20100325,0,,0,단독주택,0,0,,0,0,0,0,0,0,0,,0001,,3,01000,단독주택,41290-112,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,경기도 과천시 갈현동 14-1번지,,,,,,,1,일반,1,총괄표제부,7,41290,,,123.14,0,,28.05,123.14
8059.43,7098.2,7,23.84,10300,과천시 자원정화센터,,0205,0,20171115,0,,0,쓰레기 처리시설,0,0,,0,0,0,0,0,0,0,,0001,,1,22000,분뇨.쓰레기처리시설,41290-2,10302,177.0,412903195010,0.0,0,0,구대장,경기도 과천시 구리안로 177,1282,92,0,0,33808,0,경기도 과천시 갈현동 205-1번지,,,,,,,1,일반,1,총괄표제부,8,41290,,,11641.65,92,,32.97,11146.12
570.4,0,0,50.123,10300,갈현동 291 동.식물관련시설 (이영미),,0291,0,20171115,0,,0,종묘배양장,0,0,,0,0,0,0,0,0,0,,0000,,2,21000,동물및식물관련시설,41290-100184051,,0.0,,0.0,0,1,신대장,,34.5,3,0,0,1138,0,경기도 과천시 갈현동 291번지,20150121,5310,개발제한구역내 건축허가,3970044,건축과,2015,1,일반,1,총괄표제부,9,41290,,20150330,570.4,3,20150907,50.123,570.4
539.94,0,0,53.83,10300,갈현동 291-5 동.식물관련시설,,0291,0,20171115,0,,0,종묘배양장,0,0,,0,0,0,0,0,0,0,,0005,,2,21000,동물및식물관련시설,41290-100185152,,0.0,,0.0,0,1,신대장,,34.5,3,0,0,1003,0,경기도 과천시 갈현동 291-5번지,20150120,5310,개발제한구역내 건축허가,3970044,건축과,2015,1,일반,1,총괄표제부,10,41290,,20150401,539.94,3,20160729,53.83,539.94
781.03,0,0,26.32,10300,,,0302,1,20190110,0,,0,"위험물저장및처리시설,액화석유가스충전소",0,0,,0,0,0,0,0,0,0,,0001,,5,19000,위험물저장및처리시설,41290-79,10302,20.0,412902000004,0.0,0,1,신대장,경기도 과천시 과천대로 20,126.5,11,0,0,2967,0,경기도 과천시 갈현동 302-1번지,20061222,5310,개발제한구역내 건축허가,3970000,과천시,2006,1,일반,1,총괄표제부,11,41290,,20061227,949.01,11,20070430,31.99,949.01
531,0,0,50.14,10300,,,0311,0,20171115,0,,0,"동.식물관련시설,온실",0,0,,0,0,0,0,0,0,0,,0002,,3,21000,동물및식물관련시설,41290-74,10301,84.0,412903012036,0.0,0,1,신대장,경기도 과천시 삼현로 84,0,0,0,0,1059,0,경기도 과천시 갈현동 311-2번지,20060117,5310,개발제한구역내 건축허가,3970000,과천시,2006,1,일반,1,총괄표제부,12,41290,,20060421,531,0,20060613,50.14,531
549.31,0,0,55.04,10300,봄빌리지,,0354,2,20220702,0,,0,제2종근린생활시설(휴게음식점) 및 공동주택(다세대주택),0,0,,5,10,1168.33,30,0,0,0,,0003,,2,04000,제2종근린생활시설,41290-100188593,,0.0,,0.0,0,1,신대장,,0,0,0,0,998,0,경기도 과천시 갈현동 354-3번지,20170412,1101,신축허가,3970044,건축과,2017,2,집합,1,총괄표제부,13,41290,,20170515,2922.48,30,20180831,147.24,1469.41
241.2,0,0,33.64,10300,,,0354,0,20230427,0,,0,단독주택 및 제2종근린생활시설(사무소),1,0,,0,1,0,0,0,0,0,,0005,,2,01000,단독주택,41290-100191394,10301,15.0,412903195002,17.0,0,1,신대장,경기도 과천시 가일로 15-17,25,2,0,0,717,0,경기도 과천시 갈현동 354-5번지,,,,,,,1,일반,1,총괄표제부,14,41290,,,241.2,2,,33.64,241.2
245.31,0,0,59.98,10300,솔하임,,0382,0,20180928,0,,0,단독주택(다가구주택),8,0,,0,0,92,8,0,0,0,,0000,,2,01000,단독주택,41290-100187474,,0.0,,0.0,0,1,신대장,,0,0,0,0,409,0,경기도 과천시 갈현동 382번지,20170616,1101,신축허가,3970044,건축과,2017,1,일반,1,총괄표제부,15,41290,,20170630,611.34,8,20171214,149.47,611.34
129.67,0,0,39.29,10300,갈현동 395-1 제2종근린생활시설 (이효철),,0395,0,20171115,0,,0,"사무실, 단독주택",1,0,,0,0,0,0,0,0,0,,0001,,2,04000,제2종근린생활시설,41290-100181559,,0.0,,0.0,0,1,신대장,,34.5,3,0,0,330,0,경기도 과천시 갈현동 395-1번지,20110729,5310,개발제한구역내 건축허가,3970044,건축과,2011,1,일반,1,총괄표제부,16,41290,,20111005,327.93,3,20120914,99.37,327.93
429.33,65,1,47.39,10300,,,0414,1,20210914,0,,0,"종교시설, 제2종근린생활시설(사무소)",0,0,,0,0,0,0,0,0,0,,0000,,2,04000,제2종근린생활시설,41290-100198534,10301,33.0,412903195001,0.0,0,1,신대장,경기도 과천시 가일1로 33,25,2,0,0,906,0,경기도 과천시 갈현동 414번지,20210111,1102,증축허가,3970106,건축과,2021,1,일반,1,총괄표제부,17,41290,,20210405,509.92,2,20210901,56.28,509.92
