건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
394.35,0,0,12.19,10500,과천엘피지충전소,,0030,4,20220531,0,,0,가스공급시설,0,0,,0,0,0,0,0,0,0,,0000,,6,19000,위험물저장및처리시설,41290-72,10503,526.0,412903206129,0.0,0,1,신대장,경기도 과천시 중앙로 526,136.5,11,0,0,3236,0,경기도 과천시 과천동 30번지,20050113,5310,개발제한구역내 건축허가,3970039,주택과,2005,1,일반,1,총괄표제부,1,41290,,20060126,508.35,11,20060523,15.71,508.35
429.59,0,0,52.78,10500,지웨이브,,0105,0,20190806,0,,0,"동식물관련시설(종묘배양장, 온실)",0,0,,0,0,0,0,0,0,0,,0010,,2,21000,동물및식물관련시설,41290-100190574,,0.0,,0.0,0,1,신대장,,34.5,3,0,0,814,0,경기도 과천시 과천동 105-10번지,20181023,5310,개발제한구역내 건축허가,3970079,건축과,2018,1,일반,1,총괄표제부,2,41290,,20190401,611.97,3,20190731,75.18,611.97
1066.1,0,0,50.72,10500,과천동 118-1 동.식물관련시설,,0118,0,20191007,0,,0,"동.식물관련시설(온실, 종묘배양장)",0,0,,0,0,0,0,0,0,0,,0001,,2,21000,동물및식물관련시설,41290-100190714,,0.0,,0.0,0,1,신대장,,57.5,5,0,0,2102,0,경기도 과천시 과천동 118-1번지,20181206,5310,개발제한구역내 건축허가,3970079,건축과,2018,1,일반,1,총괄표제부,3,41290,,20181219,1066.1,5,20191001,50.72,1066.1
797.72,0,0,52.55,10500,"과천동 129 종묘배양장, 온실",,0129,0,20171115,0,,0,"종묘배양장, 온실",0,0,,0,0,0,0,0,0,0,,0000,,2,21000,동물및식물관련시설,41290-100186653,,0.0,,0.0,0,1,신대장,,46,4,0,0,1518,0,경기도 과천시 과천동 129번지,20161212,5310,개발제한구역내 건축허가,3970044,건축과,2016,1,일반,1,총괄표제부,4,41290,,20170110,797.72,4,20170530,52.55,797.72
295.5,0,0,56.39,10500,삼성하이빌,,0140,0,20171118,0,,0,다세대주택(9세대),0,0,,9,0,0,9,0,0,0,,0046,,2,02000,공동주택,41290-100180893,,0.0,,0.0,0,1,신대장,,0,0,0,0,524,0,경기도 과천시 과천동 140-46번지,20111004,1101,신축허가,3970044,건축과,2011,2,집합,1,총괄표제부,5,41290,,20111006,774.54,9,20120419,147.81,774.54
257.42,0,0,52.97,10500,과천동140-109다세대주택,,0140,0,20171118,0,,0,다세대주택,0,0,,10,0,161.79,10,0,0,0,,0109,,2,02000,공동주택,41290-100186512,,0.0,,0.0,0,1,신대장,,0,0,0,0,486,0,경기도 과천시 과천동 140-109번지,20150911,1101,신축허가,3970044,건축과,2015,2,집합,1,총괄표제부,6,41290,,20160721,726.51,10,20170420,149.49,726.51
280.48,0,0,55.98,10500,아리마,,0142,0,20220908,0,,0,단독주택(다가구주택),10,0,,0,0,242.94,10,0,0,0,,0006,,2,01000,단독주택,41290-100188413,,0.0,,0.0,0,1,신대장,,0,0,0,0,501,0,경기도 과천시 과천동 142-6번지,20170615,1101,신축허가,3970044,건축과,2017,1,일반,1,총괄표제부,7,41290,,20170623,750.36,10,20180721,149.77,750.36
277.47,0,0,59.93,10500,피오니하우스,,0142,0,20191224,0,,0,단독주택(다가구주택),10,0,,0,0,0,0,0,0,0,,0007,,2,01000,단독주택,41290-100191074,10501,21.0,412903195004,21.0,0,1,신대장,경기도 과천시 광창1로 21-21,110.7,10,0,0,463,0,경기도 과천시 과천동 142-7번지,20180713,1101,신축허가,3970079,건축과,2018,1,일반,1,총괄표제부,8,41290,,20190415,694.07,10,20191213,149.91,694.07
285.72,0,0,59.03,10500,과천동 K 근생주택,,0144,1,20230727,0,,0,"단독주택(다가구주택), 제1종근린생활시설(소매점)",7,0,,0,0,535.05,8,0,0,0,,0001,,2,01000,단독주택,41290-1000000000000002126921,10501,4.0,412903195007,0.0,0,1,신대장,경기도 과천시 광창4로 4,0,0,0,0,484,0,경기도 과천시 과천동 144-1번지,20220520,1101,신축허가,3970106,건축과,2022,1,일반,1,총괄표제부,9,41290,,20220620,994.13,8,20230724,134.99,653.36
320.54,0,0,59.69,10500,루아채,,0145,1,20220802,0,,0,"단독주택(다가구주택), 제2종근린생활시설(사무소)",10,0,,0,0,184.54,2,0,0,0,,0004,,2,01000,단독주택,41290-100203394,10501,9.0,412903195007,0.0,0,1,신대장,경기도 과천시 광창4로 9,132.2,11,0,0,537,0,경기도 과천시 과천동 145-4번지,20210513,1101,신축허가,3970106,건축과,2021,1,일반,1,총괄표제부,10,41290,,20210815,1146.36,13,20220726,133.86,718.81
335.34,0,0,51.12,10500,송관네스트빌,,0152,1,20200319,0,,0,제2종근린생활시설(사무소) 및 단독주택(다가구주택),5,0,,0,0,300,10,0,0,0,,0002,,2,04000,제2종근린생활시설,41290-100191314,10501,26.0,412903195006,0.0,0,1,신대장,경기도 과천시 광창3로 26,0,0,0,0,656,0,경기도 과천시 과천동 152-2번지,20190627,1101,신축허가,3970079,건축과,2019,1,일반,1,총괄표제부,11,41290,,20190715,896.15,10,20200311,136.61,896.15
1749.84,0,0,50.11,10500,,,0231,0,20171115,0,,0,온실,0,0,,0,0,112.24,3,0,0,0,,0004,,2,21000,동물및식물관련시설,41290-100183550,,0.0,,0.0,0,1,신대장,,57.5,5,0,0,3492,0,경기도 과천시 과천동 231-4번지,20120921,5310,개발제한구역내 건축허가,3970044,건축과,2012,1,일반,1,총괄표제부,12,41290,,20130619,1749.84,8,20141201,50.11,1749.84
1519.03,0,0,56.98,10500,"주건축물 제1동, 주건축물 제2동",,0231,0,20190613,0,,0,온실,0,0,,0,0,0,0,0,0,0,,0005,,2,21000,동물및식물관련시설,41290-100190334,,0.0,,0.0,0,1,신대장,,92,8,0,0,2666,0,경기도 과천시 과천동 231-5번지,20150910,5310,개발제한구역내 건축허가,3970044,건축과,2015,1,일반,1,총괄표제부,13,41290,,20160226,1519.03,8,20190521,56.98,1519.03
729.4,0,0,52.4,10500,"제A동, 제B동",,0245,0,20190814,0,,0,"동.식물관련시설(온실, 종묘배양장)",0,0,,0,0,0,0,0,0,0,,0013,,2,21000,동물및식물관련시설,41290-100190555,,0.0,,0.0,0,1,신대장,,57.5,5,0,0,1392,0,경기도 과천시 과천동 245-13번지,20181206,5310,개발제한구역내 건축허가,3970079,건축과,2018,1,일반,1,총괄표제부,14,41290,,20181219,956.32,5,20190724,68.7,956.32
2426.853,0,0,6.79,10500,과천하수처리장,,0249,16,20200603,0,,0,하수처리장,0,0,,0,0,0,0,0,0,0,,0000,,6,22000,분뇨.쓰레기처리시설,41290-100176885,10501,17.0,412903195030,0.0,0,1,신대장,경기도 과천시 상하벌로 17,0,0,0,0,35735,0,경기도 과천시 과천동 249번지,20090115,5310,개발제한구역내 건축허가,3970044,건축과,2009,1,일반,1,총괄표제부,15,41290,,,3523.743,0,20090122,8.74,3124.013
1265.5,0,0,49.76,10500,,,0264,3,20230427,0,,0,"동,식물관련시설",0,0,,0,0,0,0,0,0,0,,0001,,0,21000,동물및식물관련시설,41290-100184811,,0.0,,0.0,0,1,신대장,,0,0,0,0,2543,0,경기도 과천시 과천동 264-1번지,,,,,,,1,일반,1,총괄표제부,16,41290,,,1265.5,0,,49.76,1265.5
0,0,0,0,10500,,,0268,0,20171115,0,,0,,0,0,,0,0,0,0,0,0,0,,0003,,0,,,41290-100178440,10501,34.0,412903195030,0.0,0,1,신대장,경기도 과천시 상하벌로 34,0,0,0,0,0,0,경기도 과천시 과천동 268-3번지,,,,,,,1,일반,1,총괄표제부,17,41290,,,0,0,,0,0
720.5,0,0,54.5,10500,,,0277,0,20171115,0,,0,종묘배양장,0,0,,0,0,0,0,0,0,0,,0001,,2,21000,동물및식물관련시설,41290-100182360,,0.0,,0.0,0,1,신대장,,34.5,3,0,0,1322,0,경기도 과천시 과천동 277-1번지,20130327,5320,개발제한구역내 건축신고,3970044,건축과,2013,1,일반,1,총괄표제부,18,41290,,,720.5,3,20130716,54.5,720.5
355.75,0,0,53.82,10500,선화농원,,0280,0,20171115,0,,0,종묘배양실,0,0,,0,0,0,0,0,0,0,,0008,,2,21000,동물및식물관련시설,41290-100184217,,0.0,,0.0,0,1,신대장,,23,2,0,0,661,0,경기도 과천시 과천동 280-8번지,20130812,5310,개발제한구역내 건축허가,3970044,건축과,2013,1,일반,1,총괄표제부,19,41290,,20150811,355.75,2,20151110,53.82,355.75
495,0,0,51.83,10500,,,0281,0,20171115,0,,0,종묘배양시설,0,0,,0,0,0,0,0,0,0,,0003,,2,21000,동물및식물관련시설,41290-100184011,,0.0,,0.0,0,1,신대장,,34.5,3,0,0,955,0,경기도 과천시 과천동 281-3번지,20101118,5310,개발제한구역내 건축허가,3970044,건축과,2010,1,일반,1,총괄표제부,20,41290,,20110414,495,3,20150806,51.83,495
915.2,0,0,50.37,10500,과천동 282-1 동.식물관련시설 (오현숙),,0282,0,20171115,0,,0,종묘배양시설,0,0,,0,0,0,0,0,0,0,,0001,,3,21000,동물및식물관련시설,41290-100179232,10501,52.0,412903195029,0.0,0,1,신대장,경기도 과천시 상하벌1로 52,57.5,5,0,0,1817,0,경기도 과천시 과천동 282-1번지,20100322,5310,개발제한구역내 건축허가,3970044,건축과,2010,1,일반,1,총괄표제부,21,41290,,20100512,915.2,5,20101025,50.37,915.2
535.11,0,0,54.66,10500,마므레빌리지,,0363,0,20230427,0,,0,"단독주택(다가구주택), 제2종근린생활시설",10,0,,0,0,173.25,15,0,0,0,,0001,,3,01000,단독주택,41290-1000000000000001192616,10501,10.0,412903195014,5.0,0,1,신대장,경기도 과천시 뒷골2로 10-5,0,0,0,0,979,0,경기도 과천시 과천동 363-1번지,20160727,1101,신축허가,3970044,건축과,2016,1,일반,1,총괄표제부,22,41290,,,1422.51,15,20170510,145.3,1422.51
275.62,0,0,50.204007,10500,에스엠케이,,0363,3,20200905,0,,0,"제2종근린생활시설(사무소, 일반음식점)",0,0,,0,0,126.46,4,0,0,0,,0016,,2,04000,제2종근린생활시설,41290-100179817,10501,16.0,412903195014,0.0,0,1,신대장,경기도 과천시 뒷골2로 16,47.74,4,0,0,549,0,경기도 과천시 과천동 363-16번지,,,,,,,1,일반,1,총괄표제부,23,41290,,,618.29,8,,89.58652,491.83
294.86,0,0,44.81,10500,,,0364,0,20230427,0,,0,"단독주택, 제1종근린생활시설(휴게음식점)",1,0,,0,1,0,0,0,0,0,,0001,,2,01000,단독주택,41290-1000000000000000942984,10501,9.0,412903195014,0.0,0,1,신대장,경기도 과천시 뒷골2로 9,62.5,5,0,0,658,0,경기도 과천시 과천동 364-1번지,,,,,,,1,일반,1,총괄표제부,24,41290,,,418.16,5,,59.54,391.78
91,0,0,15.8,10500,,,0405,0,20111022,0,,0,단독주택,2,0,,0,0,0,0,0,0,0,,0000,,2,01000,단독주택,41290-21,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,경기도 과천시 과천동 405번지,,,,,,,1,일반,1,총괄표제부,25,41290,,,91,0,,15.8,91
292.08,0,0,45.21,10500,과천동 415-4 단독주택,,0415,0,20131219,0,,0,제1종 근린생활시설,2,0,,0,0,11.5,1,0,0,0,,0004,,2,01000,단독주택,41290-100182600,,0.0,,0.0,0,1,신대장,,23,2,0,0,646,0,경기도 과천시 과천동 415-4번지,20121123,1102,증축허가,3970044,건축과,2012,1,일반,1,총괄표제부,26,41290,,20130508,428.53,3,20131121,58.95,380.79
347.86,0,0,38.608213,10500,,,0455,0,20220531,0,,0,주유소및 제2종근.생(수리점/사무소),0,0,,0,0,0,0,0,0,0,,0016,,2,04000,제2종근린생활시설,41290-100179754,10503,417.0,412903206129,0.0,0,1,신대장,경기도 과천시 중앙로 417,80.5,7,0,0,901,0,경기도 과천시 과천동 455-16번지,,,,,,,1,일반,1,총괄표제부,27,41290,,,632.12,7,,60.534961,545.42
227.11,0,0,59.77,10500,과천동 458-5 근.생,,0458,2,20190122,0,,0,제2종근린생활시설(사무소),0,0,,0,0,0,0,0,0,0,,0005,,2,04000,제2종근린생활시설,41290-100179212,,0.0,,0.0,0,1,신대장,,23,2,0,0,380,0,경기도 과천시 과천동 458-5번지,,,,,,,1,일반,1,총괄표제부,28,41290,,,492.9,2,,104.74,398
190.7,0,0,52.1038,10500,,,0461,0,20171115,0,,0,단지형 다세대주택,0,0,,5,0,57.5,5,0,0,0,,0009,,2,02000,공동주택,41290-100183810,,0.0,,0.0,0,1,신대장,,0,0,0,0,366,0,경기도 과천시 과천동 461-9번지,20140730,1101,신축허가,3970044,건축과,2014,2,집합,1,총괄표제부,29,41290,,20140918,535.13,5,20150429,146.2104,535.13
242.89,0,0,53.86,10500,솔로몬,,0461,2,20211206,0,,0,다세대주택,0,0,,7,0,0,0,0,0,0,,0012,,2,02000,공동주택,41290-100199014,,0.0,,0.0,0,1,신대장,,100,8,0,0,451,0,경기도 과천시 과천동 461-12번지,20170828,5310,개발제한구역내 건축허가,3970044,건축과,1980,2,집합,1,총괄표제부,30,41290,,20171210,672.45,8,20211202,149.1,672.45
262.79,0,0,56.635775,10500,,,0461,0,20171115,0,,0,"다세대주택, 제1종근린생활시설(소매점)",0,0,,6,0,11.5,1,0,0,0,,0015,,2,02000,공동주택,41290-100180542,,0.0,,0.0,0,1,신대장,,143.95,7,0,0,464,0,경기도 과천시 과천동 461-15번지,20110715,,,,,,2,집합,1,총괄표제부,31,41290,,20110805,641.05,0,20111214,138.15732,641.05
251.56,0,0,48.5637,10500,빌리지,,0461,0,20171205,0,,0,도시형생활주택_단지형다세대주택,0,0,,8,0,209.6,8,0,0,0,,0036,,2,02000,공동주택,41290-100186752,,0.0,,0.0,0,1,신대장,,0,0,0,0,518,0,경기도 과천시 과천동 461-36번지,20160729,1101,신축허가,3970044,건축과,2016,2,집합,1,총괄표제부,32,41290,,20161121,706.53,8,20170623,136.3958,706.53
306.97,0,0,58.81,10500,너른마당,,0462,0,20090320,0,,0,다세대주택,0,0,,6,0,215.25,10,0,0,0,,0008,,2,02000,공동주택,41290-100171965,10501,25.0,412903195035,11.0,0,1,신대장,경기도 과천시 양지마을1로 25-11,0,0,0,0,522,0,경기도 과천시 과천동 462-8번지,20070710,1101,신축허가,3970044,건축과,2007,2,집합,1,총괄표제부,33,41290,,20070718,781.89,10,20080227,149.79,781.89
255.44,0,0,51.5,10500,과천동 468-18 공동주택,,0468,0,20180928,0,,0,공동주택(다세대주택),0,0,,10,0,0,10,0,0,0,,0018,,2,02000,공동주택,41290-100188259,,0.0,,0.0,0,1,신대장,,0,0,0,0,496,0,경기도 과천시 과천동 468-18번지,20161102,1101,신축허가,3970044,건축과,2016,2,집합,1,총괄표제부,34,41290,,20170424,640.47,10,20180601,129.13,640.47
277.58,0,0,59.9525,10500,,,0469,0,20230427,0,,0,,0,0,,6,0,0,0,0,0,0,,0000,,2,02000,공동주택,41290-100183000,,0.0,,0.0,0,1,신대장,,69,6,0,0,463,0,경기도 과천시 과천동 469번지,20131115,1101,신축허가,3970044,건축과,2013,1,일반,1,총괄표제부,35,41290,,20131118,637.05,6,20140516,137.5918,637.05
390.4,0,0,57.41,10500,뷔센하우스,,0469,0,20171115,0,,0,공동주택(다세대주택(6세대)),0,0,,6,0,0,0,0,0,0,,0002,,2,02000,공동주택,41290-69,10501,10.0,412903195036,0.0,0,1,신대장,경기도 과천시 양지마을2로 10,0,13,0,0,680,0,경기도 과천시 과천동 469-2번지,20060201,1101,신축허가,3970000,과천시,2006,2,집합,1,총괄표제부,36,41290,,20060408,1002.48,13,20061110,147.42,1002.48
0,0,0,0,10500,,,0484,0,20171118,0,,0,,0,0,,0,0,0,0,0,0,0,,0003,,0,,,41290-100178576,10501,33.0,412903195038,0.0,0,1,신대장,경기도 과천시 양지마을4로 33,0,0,0,0,0,0,경기도 과천시 과천동 484-3번지,,,,,,,2,집합,1,총괄표제부,37,41290,,,0,0,,0,0
269.95,0,0,54.21,10500,노팅힐,,0491,0,20190606,0,,0,공동주택(다세대주택),0,0,,4,0,299.99,8,0,0,0,,0003,,2,02000,공동주택,41290-100190257,,0.0,,0.0,0,1,신대장,,0,0,0,0,498,0,경기도 과천시 과천동 491-3번지,20180928,1101,신축허가,3970079,건축과,2018,2,집합,1,총괄표제부,38,41290,,20181015,865.3,8,20190424,109.34,544.53
255.37,0,0,59.95,10500,"Blessing Hill 제A동, 제B동",,0513,0,20190612,0,,0,단독주택(다가구주택),8,0,,0,0,166.55,8,0,0,0,,0023,,2,01000,단독주택,41290-100190338,,0.0,,0.0,0,1,신대장,,0,0,0,0,426,0,경기도 과천시 과천동 513-23번지,20180911,1101,신축허가,3970079,건축과,2018,1,일반,1,총괄표제부,39,41290,,20181012,678.88,8,20190521,149.48,636.8
436.6,0,0,47,10500,씨티빌,,0513,1,20171115,0,,0,다세대주택,0,0,,15,0,0,0,0,0,0,,0035,,5,02000,공동주택,41290-100182221,,0.0,,0.0,0,1,신대장,,0,15,0,0,929,0,경기도 과천시 과천동 513-35번지,20120417,1101,신축허가,3970044,건축과,2012,2,집합,1,총괄표제부,40,41290,,20120420,1279.4,15,20130605,137.72,1279.4
322.35,0,0,58.396739,10500,가온재,,0513,0,20171115,0,,0,공동중택-도시형생활주택 단지형다세대,0,0,,0,0,115.7,10,0,0,0,,0046,,2,02000,공동주택,41290-100186944,,0.0,,0.0,0,1,신대장,,0,0,0,0,552,0,경기도 과천시 과천동 513-46번지,20161027,1101,신축허가,3970044,건축과,2016,2,집합,1,총괄표제부,41,41290,,20161130,810.02,10,20170807,146.74275,810.02
405.6,0,0,54.08,10500,더불어 숲,,0513,1,20100420,0,,0,"공동주택,다세대주택(9세대)",0,0,,9,0,0,13,0,0,0,,0064,,3,02000,공동주택,41290-81,,0.0,,0.0,0,1,신대장,,0,0,0,0,750,0,경기도 과천시 과천동 513-64번지,20060708,1101,신축허가,3970000,과천시,2006,2,집합,1,총괄표제부,42,41290,,20060913,1037.22,0,20070622,138.3,1037.22
269.23,0,0,34.694587,10500,,,0535,0,20171115,0,,0,자동차수리점,0,0,,0,0,34.5,3,0,0,0,,0015,,2,04000,제2종근린생활시설,41290-100184191,,0.0,,0.0,0,1,신대장,,0,0,0,0,776,0,경기도 과천시 과천동 535-15번지,20150714,1101,신축허가,3970044,건축과,2015,1,일반,1,총괄표제부,43,41290,,20150716,429.985,3,20151103,55.410438,429.985
194.27,0,0,50.33,10500,과천동 576-2,,0576,0,20230306,0,,0,단독주택(다가구주택),6,0,,0,0,0,0,0,0,0,,0002,,2,01000,단독주택,41290-1000000000000001382891,10501,89.0,412904385020,0.0,0,1,신대장,경기도 과천시 남태령옛길 89,69,6,0,0,386,0,경기도 과천시 과천동 576-2번지,20130318,1101,신축허가,3970044,건축과,2013,1,일반,1,총괄표제부,44,41290,,20130528,577.98,6,20140122,149.74,577.98
