건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
2660,0,0,0,10400,서울대공원,,0033,0,20180928,0,,0,서울대공원시설,0,0,,0,0,0,0,0,0,0,,0000,,0,Z5000,문화및집회시설,41290-10,,0.0,,0.0,0,0,구대장,,0,0,0,0,0,0,경기도 과천시 막계동 33번지,,,,,,,1,일반,1,총괄표제부,1,41290,,,2754,0,,0,0
221,0,0,6.91,10400,,,0046,0,20180928,0,,0,,0,0,,0,0,0,0,0,0,0,,0001,,2,07000,판매시설,41290-13,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,경기도 과천시 막계동 46-1번지,,,,,,,1,일반,1,총괄표제부,2,41290,,,221,0,,6.91,221
1527,0,0,33.79,10400,,,0049,0,20180928,0,,0,문화및집회시설,0,0,,0,0,0,0,0,0,0,,0001,,2,05000,문화및집회시설,41290-87,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,경기도 과천시 막계동 49-1번지,,,,,,,1,일반,1,총괄표제부,3,41290,,,1527,0,,33.79,1527
26,0,0,15.66,10400,간이냉동고,,0074,0,20180928,0,,0,관광휴게시설,0,0,,0,0,0,0,0,0,0,,0005,,2,27000,관광휴게시설,41290-11,,0.0,,0.0,0,0,구대장,,0,0,0,0,166,0,경기도 과천시 막계동 74-5번지,,,,,,,1,일반,1,총괄표제부,4,41290,,,26,0,,15.66,26
57,0,0,3.04,10400,,,0114,0,20180928,0,,0,,0,0,,0,0,0,0,0,0,0,,0000,,2,27000,관광휴게시설,41290-104,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,경기도 과천시 막계동 114번지,,,,,,,1,일반,1,총괄표제부,5,41290,,,57,0,,3.04,57
2340.29,0,0,0.04,10400,,,0159,0,20171115,0,,0,동물관련시설,0,0,,0,0,0,0,0,0,0,,0001,,13,05000,문화및집회시설,41290-116,10401,102.0,412903195012,0.0,0,1,신대장,경기도 과천시 대공원광장로 102,0,0,0,0,6670000,0,경기도 과천시 막계동 159-1번지,,,,,,,1,일반,1,총괄표제부,6,41290,,,3476.69,0,,0.05,3476.69
395,0,0,13.96,10400,,,0449,0,20180928,0,,0,문화및집회시설,0,0,,0,0,0,0,0,0,0,,0000,,2,05000,문화및집회시설,41290-88,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,경기도 과천시 막계동 449번지,,,,,,,1,일반,1,총괄표제부,7,41290,,,395,0,,13.96,395
206,0,0,16.61,10400,,,0467,0,20180928,0,,0,,0,0,,0,0,0,0,0,0,0,,0000,,4,27000,관광휴게시설,41290-14,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,경기도 과천시 막계동 467번지,,,,,,,1,일반,1,총괄표제부,8,41290,,,300,0,,24.19,300
715.52,0,0,4.5546,10400,서울대공원 동물원 정문,,0604,22,20220324,0,,0,동물원,0,0,,0,0,0,0,0,0,0,,0000,,4,05000,문화및집회시설,41290-100200694,,0.0,,0.0,0,1,신대장,,0,0,0,0,15710,0,경기도 과천시 막계동 604번지,20201228,5200,공용건축물,3970106,건축과,2020,1,일반,1,총괄표제부,9,41290,,20210112,485.02,0,20220311,3.0873,485.02
309.6,0,0,0,10400,,,0627,0,20180928,0,,0,,0,0,,0,0,0,0,0,0,0,,0000,,2,21000,동물및식물관련시설,41290-89,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,경기도 과천시 막계동 627번지,,,,,,,1,일반,1,총괄표제부,10,41290,,,309.6,0,,0,309.6
