건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
1492.06,0,0,46.409331,10200,,,0015,0,20171115,0,,0,,0,0,,0,0,0,0,0,0,0,,0168,,0,,,41290-100178694,10201,57.0,412903195018,0.0,0,1,신대장,경기도 과천시 문원로 57,334,28,0,0,3215,0,경기도 과천시 문원동 15-168번지,,,,,,,1,일반,1,총괄표제부,1,41290,,,5397.62,0,,124.80155,4012.37
1076.78,0,0,2.93,10200,문원체육공원,,0020,0,20171115,0,,0,"문화및집회시설, 운동시설",0,0,,0,0,0,0,0,0,0,,0000,,4,05000,문화및집회시설,41290-100186052,,0.0,,0.0,0,1,신대장,,0,0,0,0,36676,0,경기도 과천시 문원동 20번지,,,,,,,1,일반,1,총괄표제부,2,41290,,,6784.24,0,,3.62,1328.78
1506.59,0,0,19.883727,10200,과천종합문화회관및경기소리전수관,,0031,3,20180511,0,,0,문화및집회시설,0,69,2,0,0,0,0,0,0,0,,0007,,2,05000,문화및집회시설,41290-100180213,,0.0,,0.0,0,1,신대장,,0,0,0,0,7577,0,경기도 과천시 문원동 31-7번지,,,,,,,1,일반,1,총괄표제부,3,41290,,,5829.77,0,,43.900224,3326.32
225.7,0,0,32.57,10200,문천사,,0107,1,20221125,0,,0,제2종근린생활시설(사찰),0,0,,0,0,0,0,0,0,0,,0000,,2,04000,제2종근린생활시설,41290-1000000000000000551148,,0.0,,0.0,0,1,신대장,,25,2,0,0,693,0,경기도 과천시 문원동 107번지,20210924,1102,증축허가,3970106,건축과,2021,1,일반,1,총괄표제부,4,41290,,20211004,327.94,2,20221122,33.61,232.93
389,0,0,53.51,10200,플러스빌라,,0110,0,20171115,0,,0,다세대주택,0,0,,12,0,434.85,12,0,0,0,,0000,,2,02000,공동주택,41290-100184371,,0.0,,0.0,0,1,신대장,,0,0,0,0,727,0,경기도 과천시 문원동 110번지,20140722,1101,신축허가,3970044,건축과,2014,2,집합,1,총괄표제부,5,41290,,20150407,1510.74,12,20151208,142.13,1033.32
2118.24,0,0,42.07,10200,소망교회/교육관,,0115,1,20171205,0,,0,교육연구시설,0,0,,0,0,1382,48,0,0,0,,0354,,2,10000,교육연구시설,41290-100176845,10201,50.0,412904385029,0.0,0,1,신대장,경기도 과천시 문원청계2길 50,57.5,5,0,0,5035,0,경기도 과천시 문원동 115-354번지,20070823,1102,증축허가,3970044,건축과,2007,1,일반,1,총괄표제부,6,41290,,20071025,8559.03,52,20081215,95.82,4824.52
0,0,0,0,10200,,,0143,0,20171115,0,,0,,0,0,,0,0,0,0,0,0,0,,0001,,0,,,41290-100177045,10201,112.0,412903195018,0.0,0,1,신대장,경기도 과천시 문원로 112,0,0,0,0,0,0,경기도 과천시 문원동 143-1번지,,,,,,,2,집합,1,총괄표제부,7,41290,,,0,0,,0,0
350.21,0,0,54.72,10200,희가 빌리지,,0175,0,20171115,0,,0,다세대주택,0,0,,12,0,422.01,12,0,0,0,,0001,,2,02000,공동주택,41290-100184431,,0.0,,0.0,0,1,신대장,,0,0,0,0,640,0,경기도 과천시 문원동 175-1번지,20150318,1101,신축허가,3970044,건축과,2015,2,집합,1,총괄표제부,8,41290,,20150408,1559.71,12,20151223,152.26,974.46
142.2,0,0,43.49,10200,,,0211,0,20140122,0,,0,단독주택,1,0,,0,0,0,0,0,0,0,,0000,,2,01000,단독주택,41290-100182760,,0.0,,0.0,0,1,신대장,,23,2,0,0,327,0,경기도 과천시 문원동 211번지,20130801,5310,개발제한구역내 건축허가,3970044,건축과,2013,1,일반,1,총괄표제부,9,41290,,20130820,218.46,2,20140120,66.81,218.46
90,0,0,55.9,10200,축사개축,,0215,1,20171115,0,,0,"동물및식물관련시설,축사",0,0,,0,0,0,0,0,0,0,,0005,,1,21000,동물및식물관련시설,41290-68,10201,7.0,412903195031,0.0,0,1,신대장,경기도 과천시 새빛로 7,0,0,0,0,161,0,경기도 과천시 문원동 215-5번지,20021109,1103,개축허가,3970015,도시건축과,2002,1,일반,1,총괄표제부,10,41290,,,90,0,20060201,55.9,90
