건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
2479.96,0,0,5.2070464,10900,관리동및화장실,,0002,13,20190109,0,,0,공원부수시설,0,0,,0,0,0,0,0,0,0,,0000,,2,27000,관광휴게시설,41290-100187232,,0.0,,0.0,0,1,신대장,,0,0,0,0,47627,0,경기도 과천시 별양동 2번지,20170427,5100,협의건축물,3970044,건축과,2017,1,일반,1,총괄표제부,1,41290,,20170510,5781.04,0,20171019,11.232368,5349.64
5687.59,35997.97,10,21.414,10900,래미안 센트럴스위트,,0003,0,20181219,0,,0,공동주택(아파트),0,0,,543,8,31028.08,801,0,0,0,,0000,,10,02000,공동주택,41290-100189075,,0.0,,0.0,0,1,신대장,,0,5,0,0,26560.1,0,경기도 과천시 별양동 3번지,20141223,5809,재건축협의(주택건설사업계획승인),3970000,과천시,2014,2,집합,1,총괄표제부,2,41290,,20160427,93701.33,806,20180725,219.5495,58312.56
3703.95,0,0,18.843864,10900,과천고등학교,,0005,0,20200427,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0000,,8,10000,교육연구시설,41290-108,10901,26.0,412904385019,0.0,0,1,신대장,경기도 과천시 꿈보람길 26,356.5,31,0,0,19656,0,경기도 과천시 별양동 5번지,,,,,,,1,일반,1,총괄표제부,3,41290,,,12443.26,31,,61.858669,12158.94
7773.22,0,0,12.34,10900,,,0006,0,20180928,0,,0,공동주택,0,0,,800,0,0,0,0,0,0,,0000,,9,02000,공동주택,41290-43,10902,111.0,412903195020,0.0,0,1,신대장,경기도 과천시 별양로 111,0,0,0,0,0,0,경기도 과천시 별양동 6번지,,,,,,,2,집합,1,총괄표제부,4,41290,,,110621.016,0,,164.59,103639.42
13.66,0,0,0.02,10900,,,0007,0,20180928,0,,0,,0,0,,0,0,0,0,0,0,0,,0000,,2,03000,제1종근린생활시설,41290-40,10902,85.0,412903195020,0.0,0,1,신대장,경기도 과천시 별양로 85,0,0,0,0,0,0,경기도 과천시 별양동 7번지,,,,,,,1,일반,1,총괄표제부,5,41290,,,13.66,0,,0.02,13.66
7244.16,0,0,12.06,10900,,,0007,0,20180928,0,,0,공동주택,0,0,,1110,0,0,0,0,0,0,,0000,,11,02000,공동주택,41290-44,10902,85.0,412903195020,0.0,0,1,신대장,경기도 과천시 별양로 85,0,0,0,0,0,0,경기도 과천시 별양동 7번지,,,,,,,2,집합,1,총괄표제부,6,41290,,,102333.88,0,,159.59,95890.42
3612.06,41.68,3,25.82,10900,문원초등학교,,0016,0,20230120,0,,0,교육연구시설(초등학교),0,0,,0,0,0,0,0,0,0,,0000,,2,10000,교육연구시설,41290-100172287,10901,53.0,412903195050,0.0,0,1,신대장,경기도 과천시 코오롱로 53,708.4,28,0,0,13988.8,0,경기도 과천시 별양동 16번지,,,,,,,1,일반,1,총괄표제부,7,41290,,,15096.96,28,,96.5,13499.23
2886.951,19378.885,4,19.89,10900,래미안 슈르,,0017,0,20151224,0,,0,아파트,0,0,,244,0,0,387,0,0,0,,0000,,7,02000,공동주택,41290-100177725,10902,66.0,412903195020,11.0,0,1,신대장,경기도 과천시 별양로 66-11,0,23,0,0,14512.1,0,경기도 과천시 별양동 17번지,20041029,2101,주택건설사업계획승인,3970039,주택과,2004,2,집합,1,총괄표제부,8,41290,,20051122,44573.259,410,20080812,175.23,25428.985
281.48,0,0,58.61,10900,샬롬하우스,,0032,1,20230427,0,,0,공동주택(단지형다세대주택),0,0,,14,0,0,0,0,0,0,,0003,,2,02000,공동주택,41290-100194434,,0.0,,0.0,0,1,신대장,,178.5,14,0,0,480.3,0,경기도 과천시 별양동 32-3번지,20200409,1101,신축허가,3970106,건축과,2020,2,집합,1,총괄표제부,9,41290,,20200529,929.36,14,20210204,193.5,929.36
287.76,0,0,59.91,10900,아름드리 하우스,,0032,1,20230427,0,,0,단지형다세대주택,0,0,,14,0,178.5,14,0,0,0,,0007,,2,02000,공동주택,41290-100194654,10901,15.0,412904385073,0.0,0,1,신대장,경기도 과천시 향촌5길 15,0,0,0,0,480.3,0,경기도 과천시 별양동 32-7번지,20201023,1101,신축허가,3970106,건축과,2020,2,집합,1,총괄표제부,10,41290,,20201102,893.35,14,20210428,186,893.35
