건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
6602.41,0,0,19.954876,10600,서울특별시보건환경연구원,,0001,3,20171205,0,,0,교육연구시설,0,0,,0,0,2264.9,66,0,0,0,,0000,,3,10000,교육연구시설,41290-100179934,10601,30.0,412904385091,0.0,0,1,신대장,경기도 과천시 장군마을3길 30,600.5,50,0,0,33086.7,0,경기도 과천시 주암동 1번지,,,,,,,1,일반,1,총괄표제부,1,41290,,,25454.38,116,,59.996433,19850.84
370.36,0,0,44.2,10600,주암동20-5다세대주택,,0020,1,20171115,0,,0,다세대주택,0,0,,10,0,0,0,0,0,0,,0005,,2,02000,공동주택,41290-100185495,,0.0,,0.0,0,1,신대장,,253,10,0,0,838,0,경기도 과천시 주암동 20-5번지,20160118,1101,신축허가,3970044,건축과,2016,2,집합,1,총괄표제부,2,41290,,20160222,945.09,10,20160928,112.78,945.09
492.52,0,0,47.18,10600,"주암동 21-1 온실,종묘장",,0021,1,20171115,0,,0,"온실,종묘배양장",0,0,,0,0,0,0,0,0,0,,0001,,2,21000,동물및식물관련시설,41290-100185192,,0.0,,0.0,0,1,신대장,,23,2,0,0,1044,0,경기도 과천시 주암동 21-1번지,20150506,5310,개발제한구역내 건축허가,3970044,건축과,2015,1,일반,1,총괄표제부,3,41290,,20160223,492.52,2,20160812,47.18,492.52
1059.7,0,0,54.85,10600,주암동 43 창고시설 (과천농업협동조합),,0043,0,20171115,0,,0,(주민공동이용시설),0,0,,0,0,0,0,0,0,0,,0000,,2,18000,창고시설,41290-100178952,10601,14.0,412904385061,0.0,0,1,신대장,경기도 과천시 은행나무1길 14,69,6,0,0,1932,0,경기도 과천시 주암동 43번지,20081010,5310,개발제한구역내 건축허가,3970044,건축과,2008,1,일반,1,총괄표제부,4,41290,,20090508,946,6,20100712,48.96,946
197.7,0,0,48.81,10600,,,0062,0,20230619,0,,0,공동주택,0,0,,12,0,0,0,0,0,0,,0002,,2,02000,공동주택,41290-101,10601,12.0,412904385089,0.0,0,1,신대장,경기도 과천시 장군마을1길 12,0,0,0,0,0,0,경기도 과천시 주암동 62-2번지,,,,,,,2,집합,1,총괄표제부,5,41290,,,786.64,0,,144.84,586.62
423.49,0,0,47.84,10600,,,0070,0,20180928,0,,0,공동주택,0,0,,6,0,0,0,0,0,0,,0017,,2,02000,공동주택,41290-95,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,경기도 과천시 주암동 70-17번지,,,,,,,2,집합,1,총괄표제부,6,41290,,,1588.22,0,,142.13,1258.31
2736.28,0,0,2.9,10600,,,0110,4,20180928,0,,0,위험물저장 및 처리시설,0,0,,0,0,0,0,0,0,0,,0001,,2,18000,창고시설,41290-29,10601,48.0,412903195045,0.0,0,0,구대장,경기도 과천시 죽바위로 48,0,0,0,0,94356,0,경기도 과천시 주암동 110-1번지,,,,,,,1,일반,1,총괄표제부,7,41290,,,3181.41,0,,3.29,3102.81
456.2,0,0,46.127401,10600,"김명옥-제1,2종근린생활시설(소매점,사무소)및 단독주택",,0124,0,20171115,0,,0,"제1,2종근린생활시설(소매점,사무소)및 단독주택",0,0,,0,0,70.8,4,0,0,0,,0000,,2,03000,제1종근린생활시설,41290-100180718,,0.0,,0.0,0,1,신대장,,115,10,0,0,989,0,경기도 과천시 주암동 124번지,,,,,,,1,일반,1,총괄표제부,8,41290,,,993.43,14,,93289180,92263
453.82,0,0,59.87,10600,주암동 176-2 제2종근린생활시설 (전영희),,0176,0,20090512,0,,0,"사무소,수리점",0,0,,0,0,92,8,0,0,0,,0002,,2,04000,제2종근린생활시설,41290-100177025,,0.0,,0.0,0,1,신대장,,23,2,0,0,758,0,경기도 과천시 주암동 176-2번지,20081119,1101,신축허가,3970044,건축과,2008,1,일반,1,총괄표제부,9,41290,,20081124,611.82,10,20090317,80.72,611.82
441.93,0,0,58.77,10600,주암동근생및주택,,0179,1,20171115,0,,0,제2종근린생활시설/주택,1,0,,0,0,330.48,16,0,0,0,,0023,,2,03000,제1종근린생활시설,41290-100177625,10601,86.0,412903195049,0.0,0,1,신대장,경기도 과천시 추사로 86,0,0,0,0,752,0,경기도 과천시 주암동 179-23번지,20001130,1101,신축허가,3970015,도시건축과,2000,1,일반,1,총괄표제부,10,41290,,20021029,1369.78,16,20090625,138.2,1039.3
756.59,0,0,17.599209,10600,추사박물관,,0184,3,20171115,0,,0,문화및집회시설,0,0,,0,0,0,0,0,0,0,,0002,,2,05000,문화및집회시설,41290-100182219,,0.0,,0.0,0,1,신대장,,706.67,33,0,0,4299,0,경기도 과천시 주암동 184-2번지,20101213,5200,공용건축물,3970044,건축과,2010,1,일반,1,총괄표제부,11,41290,,20110613,3019.94,33,20130531,27.808094,1195.47
481.46,0,0,50.26,10600,주암동 186-2 온실,,0186,0,20181214,0,,0,온실,0,0,,0,0,0,0,0,0,0,,0002,,2,21000,동물및식물관련시설,41290-100185051,,0.0,,0.0,0,1,신대장,,23,2,0,0,958,0,경기도 과천시 주암동 186-2번지,20151020,5310,개발제한구역내 건축허가,3970044,건축과,2015,1,일반,1,총괄표제부,12,41290,,20160125,481.46,2,20160624,50.26,481.46
