건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
5402.78,0,0,14.11,10700,청사,,0001,0,20180928,0,,0,청사,0,0,,0,0,0,0,0,0,0,,0001,,1,14000,업무시설,41290-33,10701,47.0,412903195003,0.0,0,0,구대장,경기도 과천시 관문로 47,0,0,0,0,0,0,경기도 과천시 중앙동 1-1번지,,,,,,,1,일반,1,총괄표제부,1,41290,,,44542.26,0,,98.13,37579.48
5202.05,0,0,12.721903,10700,,,0001,0,20171115,0,,0,,0,0,,0,0,0,0,0,0,0,,0002,,0,,,41290-100177934,10701,47.0,412903195003,0.0,0,1,신대장,경기도 과천시 관문로 47,7260,262,0,0,40890.5,0,경기도 과천시 중앙동 1-2번지,19910205,,,,,,1,일반,1,총괄표제부,2,41290,,19910205,28109.13,0,20031227,57.51847,23519.59
6759.64,0,0,24.32,10700,,,0001,2,20220711,0,,0,공공청사,0,0,,0,0,0,0,0,0,0,,0003,,9,14000,업무시설,41290-100179972,,0.0,,0.0,0,1,신대장,,6092,304,0,0,27785.5,0,경기도 과천시 중앙동 1-3번지,,,,,,,1,일반,1,총괄표제부,3,41290,,,19208.57,262,,55.81,15508.15
12358.72,0,0,22.74,10700,청사,,0002,0,20230320,0,,0,"실험실, 기계실, 사무실, 수위실, 시험연구, 폐수처리장",0,0,,0,0,0,0,0,0,0,,0000,,11,14000,업무시설,41290-122,10702,98.0,412903195009,0.0,0,1,신대장,경기도 과천시 교육원로 98,0,267,0,0,54341.6,0,경기도 과천시 중앙동 2번지,,,,,,,1,일반,1,총괄표제부,4,41290,,,34699.1,267,,56.42,30661.68
7948.66,0,0,8.16,10700,중앙공무원교육원,,0002,0,20180928,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0001,,10,14000,업무시설,41290-64,10702,118.0,412903195009,0.0,0,1,신대장,경기도 과천시 교육원로 118,1916,164,0,0,97380.3,0,경기도 과천시 중앙동 2-1번지,,,,,,,1,일반,1,총괄표제부,5,41290,,,21272.81,164,,17.73,17261.73
1876.23,0,0,26.68,10700,,,0002,0,20180928,0,,0,교육연구및복지시설,0,0,,0,0,172.5,15,0,0,0,,0004,,3,11000,노유자시설,41290-102,10701,38.0,412903195054,0.0,0,1,신대장,경기도 과천시 홍촌말로 38,0,0,0,0,7033,0,경기도 과천시 중앙동 2-4번지,,,,,,,1,일반,1,총괄표제부,6,41290,,,3278.502,15,,38.76,2726.02
3270.56,0,0,22.37,10700,과천여고.과천외국어고등학교,,0011,1,20230215,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0000,,3,10000,교육연구시설,41290-34,10701,36.0,412904385080,0.0,0,0,구대장,경기도 과천시 희망길 36,667,58,0,0,14619.8,0,경기도 과천시 중앙동 11번지,,,,,,,1,일반,1,총괄표제부,7,41290,,,16974.88,58,,100.88,14748.68
3263.06,2282.77,2,18.37,10700,과천중학교,,0012,0,20171205,0,,0,교육연구시설(중학교),0,0,,0,0,0,0,0,0,0,,0000,,2,10000,교육연구시설,41290-100179912,10701,33.0,412904385079,0.0,0,1,신대장,경기도 과천시 희망4길 33,356.5,39,0,0,17759.2,0,경기도 과천시 중앙동 12번지,,,,,,,1,일반,1,총괄표제부,8,41290,,,10774.83,39,,60.67,10774.83
5887.96,31330.22,1,62.09,10700,힐스테이트 과천 중앙,,0038,0,20230125,65,,0,"업무시설(사무소,오피스텔),근린생활시설",0,0,,0,962,29778.55,817,0,0,0,,0000,,4,14000,업무시설,41290-1000000000000000428780,10701,92.0,412903195003,0.0,0,1,신대장,경기도 과천시 관문로 92,0,0,0,0,9483,0,경기도 과천시 중앙동 38번지,20190425,1101,신축허가,3970079,건축과,2019,2,집합,1,총괄표제부,9,41290,,20190628,113529.58,817,20221104,825.05,78239.02
3662.55,0,0,17.28,10700,,,0065,0,20180928,0,,0,공동주택,0,0,,150,0,0,0,0,0,0,,0000,,6,02000,공동주택,41290-98,10701,166.0,412903195003,0.0,0,1,신대장,경기도 과천시 관문로 166,0,0,0,0,0,0,경기도 과천시 중앙동 65번지,,,,,,,2,집합,1,총괄표제부,10,41290,,,18312.75,0,,86.41,18312.75
