건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
254.14,0,0,49.54,10300,한울 아파트,,0602,2,20201024,0,,0,공동주택,0,0,,20,2,257.07,9,0,0,0,,0182,,2,02000,공동주택,11620-100230572,10301,27.0,116204160482,0.0,0,1,신대장,서울특별시 관악구 승방길 27,253.56,8,0,0,513,0,서울특별시 관악구 남현동 602-182번지,20140708,1101,신축허가,3200025,건축과,2014,2,집합,1,총괄표제부,1,11620,,20140718,1442.08,17,20150324,197.8,1014.71
481.62,0,0,59.02,10300,이가채,,0602,2,20201024,0,,0,공동주택,0,0,,30,0,0,14,0,0,0,,0209,,3,02000,공동주택,11620-100239373,10301,13.0,116204160477,0.0,0,1,신대장,서울특별시 관악구 승방3나길 13,0,10,0,0,816,0,서울특별시 관악구 남현동 602-209번지,20150804,1101,신축허가,3200025,건축과,2015,2,집합,1,총괄표제부,2,11620,,20150817,1755.59,24,20160418,199.19,1625.35
374.15,0,0,56.35,10300,,,0602,1,20171118,0,,0,공동주택,0,0,,15,0,236.32,6,0,0,0,,0270,,2,02000,공동주택,11620-192,10301,99.0,116204160482,0.0,0,1,신대장,서울특별시 관악구 승방길 99,0,9,0,0,664,0,서울특별시 관악구 남현동 602-270번지,20040727,1101,신축허가,3200025,건축과,2004,2,집합,1,총괄표제부,3,11620,,20040805,1545.94,15,20050715,197.23,1309.62
307.92,0,0,56.08,10300,파크뷰,,1053,0,20210730,0,,0,공동주택 외 1,0,0,,19,1,435.81,16,0,0,0,,0024,,2,02000,공동주택,11620-100284728,10301,94.0,116204160284,0.0,0,1,신대장,서울특별시 관악구 남부순환로260길 94,0,0,0,0,549.1,0,서울특별시 관악구 남현동 1053-24번지,20200228,1101,신축허가,3200245,건축과,2020,2,집합,1,총괄표제부,4,11620,,20200529,1704.88,16,20210727,172.82,948.95
0,0,0,0,10300,,,1054,0,20171118,0,,0,다세대주택,0,0,,12,0,0,0,0,0,0,,0018,,2,02000,공동주택,11620-208,10301,20.0,116204160278,0.0,0,0,구대장,서울특별시 관악구 남부순환로256가길 20,0,0,0,0,0,0,서울특별시 관악구 남현동 1054-18번지,,,,,,,2,집합,1,총괄표제부,5,11620,,,549.99,0,,0,0
179.05,0,0,58.78,10300,,,1057,1,20100417,0,,0,단독주택,9,0,,0,0,0,0,0,0,0,,0006,,2,01000,단독주택,11620-160,10301,16.0,116204160291,0.0,0,1,신대장,서울특별시 관악구 남현2길 16,92,8,0,0,304.6,0,서울특별시 관악구 남현동 1057-6번지,20030919,1102,증축허가,3200025,건축과,2003,1,일반,1,총괄표제부,6,11620,,20031127,468.01,8,20040504,133,405.13
398.56,0,0,59,10300,,,1065,0,20201024,0,,0,다세대주택,0,0,,22,0,0,0,0,0,0,,0022,,2,02000,공동주택,11620-100219441,10301,15.0,116204160289,0.0,0,1,신대장,서울특별시 관악구 남현1가길 15,0,18,0,0,675.5,0,서울특별시 관악구 남현동 1065-22번지,20130103,1101,신축허가,3200025,건축과,2013,2,집합,1,총괄표제부,7,11620,,20130401,1307.43,18,20131017,193.55,1307.43
260.32,0,0,58.9,10300,네오스빌,,1065,1,20171118,0,,0,공동주택,0,0,,14,0,208.23,10,0,0,0,,0028,,2,02000,공동주택,11620-100199342,10301,21.0,116204160293,0.0,0,1,신대장,서울특별시 관악구 남현3길 21,18.5,2,0,0,442,0,서울특별시 관악구 남현동 1065-28번지,20091013,1101,신축허가,3200025,건축과,2009,2,집합,1,총괄표제부,8,11620,,20091212,878.49,12,20100629,198.75,878.49
0,0,0,0,10300,,,1068,0,20111021,0,,0,다세대주택,0,0,,10,0,0,0,0,0,0,,0036,,2,02000,공동주택,11620-97,10301,31.0,116204160291,7.0,0,0,구대장,서울특별시 관악구 남현2길 31-7,0,0,0,0,0,0,서울특별시 관악구 남현동 1068-36번지,,,,,,,2,집합,1,총괄표제부,9,11620,,,864.56,0,,0,0
0,0,0,0,10300,,,1072,0,20171118,0,,0,다세대주택,0,0,,12,0,0,0,0,0,0,,0028,,2,02000,공동주택,11620-210,10301,19.0,116204160281,0.0,0,0,구대장,서울특별시 관악구 남부순환로256다길 19,0,0,0,0,0,0,서울특별시 관악구 남현동 1072-28번지,,,,,,,2,집합,1,총괄표제부,10,11620,,,619.05,0,,0,0
193.16,0,0,56.65,10300,,,1076,0,20171118,0,,0,다세대주택,0,0,,10,0,60.42,5,0,0,0,,0001,,2,02000,공동주택,11620-211,10301,7.0,116204160282,0.0,0,0,구대장,서울특별시 관악구 남부순환로256라길 7,0,1,0,0,341,0,서울특별시 관악구 남현동 1076-1번지,,,,,,,2,집합,1,총괄표제부,11,11620,,,905.48,6,,212.11,0
3404.68,310.1,5,18.34,10300,서울사당초등학교,,1080,0,20201006,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0001,,3,10000,교육연구시설,11620-205,10301,51.0,116204160294,0.0,0,1,신대장,서울특별시 관악구 남현4길 51,494.5,45,0,0,18560.3,0,서울특별시 관악구 남현동 1080-1번지,,,,,,,1,일반,1,총괄표제부,12,11620,,,11477.9,45,,53.38,9908
88.75,0,0,6.66,10300,,,1083,0,20190713,0,,0,,0,0,,0,0,0,0,0,0,0,,0001,,2,,,11620-100222511,10301,41.0,116204160298,0.0,0,1,신대장,서울특별시 관악구 남현길 41,0,0,0,0,1332.2,0,서울특별시 관악구 남현동 1083-1번지,,,,,,,1,일반,1,총괄표제부,13,11620,,,220.75,0,,11.62,154.75
827.97,0,0,35.83,10300,상록보육원,,1083,0,20171205,0,,0,"노유자시설, 아동관련시설",0,0,,0,0,0,7,0,0,0,,0029,,2,11000,노유자시설,11620-207,10301,63.0,116204160298,0.0,0,0,구대장,서울특별시 관악구 남현길 63,0,23,0,0,2312.63,0,서울특별시 관악구 남현동 1083-29번지,,,,,,,1,일반,1,총괄표제부,14,11620,,,4166.99,20,,148.4,3429.66
1160.52,2366.84,2,31.35,10300,남현동 흥화 브라운빌아파트,,1132,0,20171118,0,,0,아파트,0,0,,88,0,2214.62,73,0,0,0,,0000,,2,02000,공동주택,11620-96,10301,144.0,116204160298,0.0,0,1,신대장,서울특별시 관악구 남현길 144,448.5,39,0,0,3701.1,0,서울특별시 관악구 남현동 1132번지,20001227,,,,,,2,집합,1,총괄표제부,15,11620,,20010629,12210.08,112,20030628,266.27,9855.3
2165.92,6082.773,3,25.93,10300,우림루미아트아파트,,1135,0,20171118,0,,0,공동주택,0,0,,174,0,5839.953,156,0,0,0,,0000,,4,02000,공동주택,11620-171,10301,91.0,116204160298,0.0,0,1,신대장,서울특별시 관악구 남현길 91,636,54,0,0,8351.7,0,서울특별시 관악구 남현동 1135번지,20020919,2101,주택건설사업계획승인,3200023,주택과,2002,2,집합,1,총괄표제부,16,11620,,20030114,24957.519,210,20041229,227.15,18970.766
2476.48,7293.53,8,27.13,10300,남현동한일유앤아이아파트,,1136,1,20210720,0,,0,공동주택,0,0,,170,0,0,170,0,0,0,,0000,,4,02000,공동주택,11620-178,10301,25.0,116204160282,0.0,0,1,신대장,서울특별시 관악구 남부순환로256라길 25,0,38,0,0,9128.6,0,서울특별시 관악구 남현동 1136번지,20030130,2101,주택건설사업계획승인,3200023,주택과,2004,2,집합,1,총괄표제부,17,11620,,20030624,26067.59,208,20050330,205.95,18799.92
1424.7,6092.31,3,25.16,10300,예성그랑펠리체,,1138,0,20171118,0,,0,공동주택(아파트),0,0,,129,0,0,121,0,0,0,,0000,,3,02000,공동주택,11620-363,10301,66.0,116204160482,0.0,0,1,신대장,서울특별시 관악구 승방길 66,0,29,0,0,5662.7,0,서울특별시 관악구 남현동 1138번지,20030630,2101,주택건설사업계획승인,3200023,주택과,2003,2,집합,1,총괄표제부,18,11620,,20040806,19387.58,150,20070328,234.93,13303.6
