건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
1478.65,0,0,52.85,10100,사회복지법인동명원,,0000,0,20191220,0,,0,노유자시설 외 2,1,0,,0,0,160.74,4,0,0,0,,0000,,5,11000,노유자시설,11620-412,10101,15.0,116204160418,0.0,0,1,신대장,서울특별시 관악구 봉천로23라길 15,223.51,19,0,0,2798,0,서울특별시 관악구 봉천동,,,,,,,1,일반,1,총괄표제부,1,11620,,,5021.29,23,,145.04,4058.33
0,0,0,0,10100,,,0001,0,20111021,0,,0,단독주택,2,0,,0,0,0,0,0,0,0,,0503,,2,01000,단독주택,11620-655,10101,34.0,116204160731,1.0,0,1,신대장,서울특별시 관악구 청림3길 34-1,0,0,0,0,0,0,서울특별시 관악구 봉천동 1-503번지,,,,,,,1,일반,1,총괄표제부,2,11620,,,49.92,0,,0,0
0,0,0,0,10100,,,0003,0,20120821,0,,0,단독주택,2,0,,0,0,0,0,0,0,0,,0031,,2,01000,단독주택,11620-657,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 관악구 봉천동 3-31번지,,,,,,,1,일반,1,총괄표제부,3,11620,,,200.06,0,,0,0
0,0,0,0,10100,,,0007,0,20171205,0,,0,연립주택,0,0,,60,0,0,0,0,0,0,,0000,,2,02000,공동주택,11620-568,10101,284.0,116203120001,0.0,0,0,구대장,서울특별시 관악구 관악로 284,0,0,0,0,0,0,서울특별시 관악구 봉천동 7번지,,,,,,,2,집합,1,총괄표제부,4,11620,,,3781.97,0,,0,0
0,0,0,0,10100,,,0013,4,20150711,0,,0,점포,0,0,,0,4,0,0,0,0,0,,0006,,4,04000,제2종근린생활시설,11620-133,10101,14.0,116204160741,7.0,0,1,신대장,서울특별시 관악구 청림길 14-7,0,0,0,0,0,0,서울특별시 관악구 봉천동 13-6번지,,,,,,,2,집합,1,총괄표제부,5,11620,,,1186.97,0,,0,0
0,0,0,0,10100,,,0014,0,20111021,0,,0,교육연구및복지시설,0,0,,0,0,0,0,0,0,0,,0021,,2,04000,제2종근린생활시설,11620-659,10101,1.0,116204160741,1.0,0,1,신대장,서울특별시 관악구 청림길 1-1,0,0,0,0,0,0,서울특별시 관악구 봉천동 14-21번지,,,,,,,1,일반,1,총괄표제부,6,11620,,,279.25,0,,0,0
221.68,0,0,44.96,10100,,,0014,0,20100417,0,,0,다세대주택,0,0,,14,0,0,0,0,0,0,,0119,,2,02000,공동주택,11620-708,10101,9.0,116204160729,9.0,0,1,신대장,서울특별시 관악구 청림2길 9-9,0,7,0,0,493,0,서울특별시 관악구 봉천동 14-119번지,19930601,,,,,,2,집합,1,총괄표제부,7,11620,,19930607,946.14,7,19940425,152.82,0
342.74,0,0,48.0701,10100,,,0014,0,20111021,0,,0,다세대주택,0,0,,19,0,0,0,0,0,0,,0120,,2,02000,공동주택,11620-709,10101,9.0,116204160729,8.0,0,1,신대장,서울특별시 관악구 청림2길 9-8,0,9,0,0,713,0,서울특별시 관악구 봉천동 14-120번지,19930601,,,,,,2,집합,1,총괄표제부,8,11620,,19930616,1318.44,0,19940421,160.88,0
3386.56,276.56,6,23.51,10100,봉원중학교,,0025,0,20171118,0,,0,교육연구및복지시설,0,0,,0,0,0,0,0,0,0,,0019,,4,Z8000,교육연구및복지시설,11620-32,10101,15.0,116204160012,0.0,0,1,신대장,서울특별시 관악구 관악로24가길 15,0,50,0,0,14400,0,서울특별시 관악구 봉천동 25-19번지,,,,,,,1,일반,1,총괄표제부,9,11620,,,9860.33,50,19691212,62.75,9036.66
4421.88,463.34,4,18.33,10100,서울봉천초등학교,,0028,2,20200106,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0006,,2,Z8000,교육연구및복지시설,11620-501,10101,17.0,116204160747,0.0,0,0,구대장,서울특별시 관악구 행운1라길 17,0,79,0,0,24121,0,서울특별시 관악구 봉천동 28-6번지,,,,,,,1,일반,1,총괄표제부,10,11620,,,13101.41,79,,49.81,12014.53
