건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
0,0,0,0,10200,,,0010,0,20120906,0,,0,아파트,0,0,,120,0,0,0,0,0,0,,0010,,6,02000,공동주택,11620-433,10201,62.0,116204160540,5.0,0,0,구대장,서울특별시 관악구 신림로58길 62-5,0,0,0,0,0,0,서울특별시 관악구 신림동 10-10번지,,,,,,,2,집합,1,총괄표제부,1,11620,,,0,0,,0,0
1197.54,99,1,29.63,10200,성우아파트,,0010,10,20171205,0,,0,"아파트,생활편익시설",0,0,,156,0,4847.2,143,0,0,0,,0622,,1,02000,공동주택,11620-292,10201,7.0,116204160238,0.0,0,0,구대장,서울특별시 관악구 남부순환로198길 7,368,32,0,0,4041.3,0,서울특별시 관악구 신림동 10-622번지,19960608,,,,,,2,집합,1,총괄표제부,2,11620,,19960619,21207.1,175,19981026,367.16,14838.09
476.34,0,0,56.04,10200,신림뉴씨엘,,0011,0,20180915,0,,0,공동주택 외1,0,0,,29,10,0,0,0,0,0,,0008,,2,02000,공동주택,11620-100255954,,0.0,,0.0,0,1,신대장,,272.9,24,0,0,850,0,서울특별시 관악구 신림동 11-8번지,20160517,1101,신축허가,3200025,건축과,2016,2,집합,1,총괄표제부,3,11620,,20170619,1699.94,24,20171228,199.99,1699.94
356.72,0,0,53.48,10200,어반 팰리스,,0087,0,20180915,0,,0,공동주택,0,0,,23,0,447.18,19,0,0,0,,0001,,2,02000,공동주택,11620-100256834,,0.0,,0.0,0,1,신대장,,11.5,1,0,0,667,0,서울특별시 관악구 신림동 87-1번지,20160623,1101,신축허가,3200025,건축과,2016,2,집합,1,총괄표제부,4,11620,,20161214,1662.42,20,20180125,195.55,1304.34
2325.93,61.2,2,16.03,10200,신관중학교,,0087,1,20201022,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0081,,2,10000,교육연구시설,11620-100211424,10201,17.0,116204160531,16.0,0,1,신대장,서울특별시 관악구 신림로48길 17-16,0,0,0,0,14511,0,서울특별시 관악구 신림동 87-81번지,,,,,,,1,일반,1,총괄표제부,5,11620,,,7216.07,0,,49.73,7216.07
384.46,0,0,59.19,10200,어반팰리스,,0087,0,20171205,0,,0,공동주택,0,0,,23,0,0,0,0,0,0,,0092,,2,02000,공동주택,11620-100247092,,0.0,,0.0,0,1,신대장,,352.3,18,0,0,649.5,0,서울특별시 관악구 신림동 87-92번지,20160419,1101,신축허가,3200025,건축과,2016,2,집합,1,총괄표제부,6,11620,,20160420,1292.55,18,20170208,199.01,1292.55
377.06,0,0,56.61,10200,어반팰리스,,0087,0,20171205,0,,0,공동주택,0,0,,23,0,0,0,0,0,0,,0093,,2,02000,공동주택,11620-100249312,,0.0,,0.0,0,1,신대장,,336.81,18,0,0,666.1,0,서울특별시 관악구 신림동 87-93번지,20160805,1101,신축허가,3200025,건축과,2016,2,집합,1,총괄표제부,7,11620,,20160816,1278.95,18,20170512,192.01,1278.95
374.27,0,0,59.41,10200,어반팰리스,,0087,0,20180915,0,,0,공동주택,0,0,,22,0,405.64,17,0,0,0,,0095,,2,02000,공동주택,11620-100257148,,0.0,,0.0,0,1,신대장,,11.5,1,0,0,630,0,서울특별시 관악구 신림동 87-95번지,20160927,1101,신축허가,3200025,건축과,2016,2,집합,1,총괄표제부,8,11620,,20161227,1584.68,18,20180209,198.12,1248.18
1912.28,0,0,49.98,10200,대한예수교장로회 왕성교회,,0088,7,20180915,0,,0,종교시설,0,0,,0,0,0,46,0,0,0,,0005,,3,06000,종교시설,11620-100259008,,0.0,,0.0,0,1,신대장,,0,23,0,0,3826.44,0,서울특별시 관악구 신림동 88-5번지,20160322,1102,증축허가,3200025,건축과,2016,1,일반,1,총괄표제부,9,11620,,20160718,9307.12,69,20180417,140.78,5386.76
347.06,0,0,57.03,10200,보눼르타운,,0089,5,20171205,0,,0,공동주택외 1,0,0,,19,1,0,0,0,0,0,,0012,,2,02000,공동주택,11620-100239873,,0.0,,0.0,0,1,신대장,,149.5,13,0,0,608.61,0,서울특별시 관악구 신림동 89-12번지,20150811,1101,신축허가,3200025,건축과,2015,2,집합,1,총괄표제부,10,11620,,20151022,1076.86,13,20160511,174.94,1076.86
