건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
490.01,0,0,50.99,10800,정원쉐르빌,,0005,4,20190116,0,,0,단지형 다세대주택 및 근린생활시설,0,0,,0,0,863.98,27,0,0,0,,0002,,3,02000,공동주택,11590-100233346,10802,49.0,115903119001,0.0,0,1,신대장,서울특별시 동작구 등용로 49,365.18,2,0,0,961,0,서울특별시 동작구 대방동 5-2번지,20161017,1101,신축허가,3190077,건축과,2016,2,집합,1,총괄표제부,1,11590,,20161101,2495.02,0,20170710,192.4,1848.92
5308.96,0,0,0,10800,,,0006,0,20171121,0,,0,군사시설,0,0,,0,0,0,0,0,0,0,,0000,,9,23000,교정및군사시설,11590-1083,10801,92.0,115904157565,0.0,0,1,신대장,서울특별시 동작구 여의대방로36길 92,0,0,0,0,0,0,서울특별시 동작구 대방동 6번지,,,,,,,1,일반,1,총괄표제부,2,11590,,,9068.11,0,,0,9062.34
1403.48,0,0,0,10800,,,0012,0,20171121,0,,0,군사시설,0,0,,0,0,0,0,0,0,0,,0001,,6,23000,교정및군사시설,11590-756,10801,92.0,115904157565,0.0,0,1,신대장,서울특별시 동작구 여의대방로36길 92,0,0,0,0,0,0,서울특별시 동작구 대방동 12-1번지,,,,,,,1,일반,1,총괄표제부,3,11590,,,2483.9,0,,0,2483.9
6995.89,1849.42,5,17.5,10800,영등포고등학교,,0013,4,20210203,0,,0,교육연구시설(학교),0,0,,0,0,875,70,0,0,0,,0002,,4,10000,교육연구시설,11590-710,10801,5.0,115904157183,0.0,0,1,신대장,서울특별시 동작구 등용로8길 5,0,0,0,0,39966,0,서울특별시 동작구 대방동 13-2번지,,,,,,,1,일반,1,총괄표제부,4,11590,,,24634.91,70,,56.41,22542.91
159.42,0,0,0,10800,,,0013,0,20171121,0,,0,,0,0,,14,0,0,0,0,0,0,,0023,,2,02000,공동주택,11590-5,10801,70.0,115904157183,0.0,0,1,신대장,서울특별시 동작구 등용로8길 70,0,0,0,0,0,0,서울특별시 동작구 대방동 13-23번지,,,,,,,2,집합,1,총괄표제부,5,11590,,,749.73,0,,0,637.68
148.27,0,0,0,10800,,,0013,0,20171121,0,,0,,0,0,,9,0,0,0,0,0,0,,0103,,2,02000,공동주택,11590-6,10801,8.0,115904157182,0.0,0,1,신대장,서울특별시 동작구 등용로8가길 8,0,0,0,0,0,0,서울특별시 동작구 대방동 13-103번지,,,,,,,2,집합,1,총괄표제부,6,11590,,,444.81,0,,0,296.54
77.69,0,0,0,10800,,,0014,0,20120821,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0000,,2,01000,단독주택,11590-1084,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 대방동 14번지,,,,,,,1,일반,1,총괄표제부,7,11590,,,77.69,0,,0,77.69
4097.96,0,0,35.95,10800,,,0015,0,20171121,0,,0,군사시설,0,0,,0,0,0,0,0,0,0,,0010,,9,23000,교정및군사시설,11590-1085,10801,92.0,115904157565,0.0,0,1,신대장,서울특별시 동작구 여의대방로36길 92,0,0,0,0,11400,0,서울특별시 동작구 대방동 15-10번지,,,,,,,1,일반,1,총괄표제부,8,11590,,,6164.82,0,,46,5243.62
1446.15,0,0,0,10800,,,0020,0,20201126,0,,0,군사시설,0,0,,0,0,0,0,0,0,0,,0006,,6,23000,교정및군사시설,11590-1086,10801,95.0,115904157565,0.0,0,1,신대장,서울특별시 동작구 여의대방로36길 95,0,0,0,0,0,0,서울특별시 동작구 대방동 20-6번지,,,,,,,1,일반,1,총괄표제부,9,11590,,,2415.69,0,,0,2392.29
503.34,0,0,49.97,10800,대방팰리스,,0020,0,20171121,0,,0,오피스텔 및 단지형다세대주택,0,0,,28,0,401.54,13,214.33,11,0,,0007,,3,02000,공동주택,11590-100232466,,0.0,,0.0,0,1,신대장,,110.7,10,0,0,1007.35,0,서울특별시 동작구 대방동 20-7번지,20151113,1101,신축허가,3190077,건축과,2015,2,집합,1,총괄표제부,10,11590,,20151125,2732.29,34,20170524,249.96,2517.96
