건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
654.55,0,0,0,10600,,,0056,0,20120821,0,,0,주택,14,0,,0,0,0,0,0,0,0,,0000,,14,01000,단독주택,11590-922,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 동작동 56번지,,,,,,,1,일반,1,총괄표제부,1,11590,,,654.55,0,,0,654.55
2704.74,59.87,2,18.85,10600,동작중학교,,0059,5,20171205,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0001,,2,10000,교육연구시설,11590-926,10601,83.0,115904157667,0.0,0,0,구대장,서울특별시 동작구 동작대로39가길 83,0,0,0,0,14348,0,서울특별시 동작구 동작동 59-1번지,,,,,,,1,일반,1,총괄표제부,2,11590,,,10167.38,0,,62.1,8909.68
89.26,0,0,0,10600,,,0093,0,20120821,0,,0,주택,3,0,,0,0,0,0,0,0,0,,0000,,3,01000,단독주택,11590-646,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 동작동 93번지,,,,,,,1,일반,1,총괄표제부,3,11590,,,89.26,0,,0,89.26
178.52,0,0,0,10600,,,0100,0,20120821,0,,0,주택,5,0,,0,0,0,0,0,0,0,,0000,,5,01000,단독주택,11590-1021,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 동작동 100번지,,,,,,,1,일반,1,총괄표제부,4,11590,,,178.52,0,,0,178.52
206.46,0,0,58.9886,10600,한성테라스빌,,0102,0,20171205,0,,0,다세대주택 및 제2종근린생활시설,0,0,,8,0,200,6,0,0,0,,0037,,2,02000,공동주택,11590-100190171,10601,12.0,115904157157,0.0,0,1,신대장,서울특별시 동작구 동작대로41길 12,25,2,0,0,350,0,서울특별시 동작구 동작동 102-37번지,20100330,1101,신축허가,3190077,건축과,2010,2,집합,1,총괄표제부,5,11590,,20100608,677.54,8,20101126,193.5829,677.54
386.58,0,0,0,10600,,,0108,0,20171205,0,,0,,0,0,,19,0,0,0,0,0,0,,0003,,3,02000,공동주택,11590-314,10601,46.0,115904157158,0.0,0,1,신대장,서울특별시 동작구 동작대로43길 46,0,0,0,0,0,0,서울특별시 동작구 동작동 108-3번지,,,,,,,2,집합,1,총괄표제부,6,11590,,,1546.32,0,,0,1159.74
5327.19,887.46,3,6.5654301,10600,,,0110,0,20230731,0,,0,"묘지관리시설(납골당, 봉안식장)",0,0,,0,0,0,0,0,0,0,,0001,,4,26000,묘지관련시설,11590-100245043,10603,210.0,115903119009,0.0,0,1,신대장,서울특별시 동작구 현충로 210,0,5,0,0,81140,0,서울특별시 동작구 동작동 110-1번지,,,,,,,1,일반,1,총괄표제부,7,11590,,,11080.63,26,,12.247153,9937.34
2177.21,0,0,5.6,10600,,,0123,10,20230427,0,,0,교정및군사시설(국방ㆍ군사시설),0,0,,0,0,0,0,0,0,0,,0002,,2,23000,교정및군사시설,11590-1000000000000000311680,,0.0,,0.0,,1,신대장,,0,0,0,0,38898,0,서울특별시 동작구 동작동 123-2번지,,,,,,,1,일반,1,총괄표제부,8,11590,,,6694.78,19,,14.96,5818.82
1931.34,0,0,14.36,10600,,,0130,24,20200731,0,,0,교정및군사시설(국방.군사시설),0,0,,0,0,0,0,0,0,0,,0011,,4,23000,교정및군사시설,11590-100249517,10603,210.0,115903119009,0.0,0,1,신대장,서울특별시 동작구 현충로 210,125,10,0,0,13446,0,서울특별시 동작구 동작동 130-11번지,,,,,,,1,일반,1,총괄표제부,9,11590,,,4787.79,10,,33.27,4473.08
1106.94,0,0,16.42,10600,,,0209,0,20171205,0,,0,묘지관련시설,0,0,,0,0,0,0,0,0,0,,0003,,2,26000,묘지관련시설,11590-100206316,,0.0,,0.0,0,1,신대장,,0,2,0,0,6740,0,서울특별시 동작구 동작동 209-3번지,,,,,,,1,일반,1,총괄표제부,10,11590,,,1905.9,2,,20.76,1398.9
2252.03,8131.52,4,18.34,10600,동작동금강KCC아파트,,0331,0,20230508,0,,0,공동주택,0,0,,276,0,7598.6,206,0,0,0,,0000,,8,02000,공동주택,11590-335,10601,55.0,115904157667,0.0,0,1,신대장,서울특별시 동작구 동작대로39가길 55,1469.5,123,0,0,12276.8,0,서울특별시 동작구 동작동 331번지,20001005,2101,주택건설사업계획승인,3190089,주택과,2000,2,집합,1,총괄표제부,11,11590,,20001121,38393.71,329,20031030,246.38,30247.41
2216.13,10160.84,2,24.66,10600,이수교KCC스위첸,,0332,0,20171205,0,,0,공동주택,0,0,,178,0,9866.7,236,0,0,0,,0000,,5,02000,공동주택,11590-820,10601,22.0,115904157160,0.0,0,1,신대장,서울특별시 동작구 동작대로45길 22,330.5,27,0,0,8986.1,0,서울특별시 동작구 동작동 332번지,20030627,2101,주택건설사업계획승인,3190089,주택과,2003,2,집합,1,총괄표제부,12,11590,,20031105,32003.16,263,20060330,244.13,21937.52
10044.2133,34989.3282,8,26.79,10600,이수힐스테이트,,0333,0,20220418,0,,0,아파트,0,0,,680,73,31554.238,900,0,0,0,,0000,,16,02000,공동주택,11590-100208538,,0.0,,0.0,0,1,신대장,,304,26,0,0,37497.5,0,서울특별시 동작구 동작동 333번지,20070522,5809,재건축협의(주택건설사업계획승인),3190000,동작구,2010,2,집합,1,총괄표제부,13,11590,,20101216,115589.1596,926,,212.06,79515.7223
3660.89,14.85,1,10.5,10600,,,0004,4,20190621,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0002,,3,10000,교육연구시설,11590-410,10601,171.0,115902005009,0.0,0,1,신대장,서울특별시 동작구 동작대로 171,0,67,0,0,34860,1,서울특별시 동작구 동작동 산 4-2번지,,,,,,,1,일반,1,총괄표제부,14,11590,,,14112.14,58,,37.42,13045.9
