건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
509.6,0,0,0,10400,,,0005,0,20171205,0,,0,,0,0,,0,0,0,0,0,0,0,,0002,,3,03000,제1종근린생활시설,11590-774,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 본동 5-2번지,,,,,,,1,일반,1,총괄표제부,1,11590,,,687.78,0,,0,509.6
793.38,0,0,0,10400,,,0008,0,20171205,0,,0,아파트,0,0,,92,0,0,0,0,0,0,,0000,,2,02000,공동주택,11590-842,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 본동 8번지,,,,,,,2,집합,1,총괄표제부,2,11590,,,3966.9,0,,0,3966.9
205.52,7.59,1,0,10400,,,0008,0,20111021,0,,0,주택,3,0,,0,0,0,0,0,0,0,,0001,,3,01000,단독주택,11590-837,10401,21.0,115904157075,4.0,0,1,신대장,서울특별시 동작구 노량진로32길 21-4,0,0,0,0,0,0,서울특별시 동작구 본동 8-1번지,,,,,,,1,일반,1,총괄표제부,3,11590,,,205.52,0,,0,205.52
142.16,0,0,0,10400,,,0009,0,20120821,0,,0,주택,5,0,,0,0,0,0,0,0,0,,0000,,5,01000,단독주택,11590-543,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 본동 9번지,,,,,,,1,일반,1,총괄표제부,4,11590,,,142.16,0,,0,142.16
53.82,0,0,0,10400,,,0009,0,20120821,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0030,,2,01000,단독주택,11590-775,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 본동 9-30번지,,,,,,,1,일반,1,총괄표제부,5,11590,,,86.88,0,,0,86.88
294.88,0,0,0,10400,,,0010,0,20120821,0,,0,주택,3,0,,0,0,0,0,0,0,0,,0004,,3,01000,단독주택,11590-776,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 본동 10-4번지,,,,,,,1,일반,1,총괄표제부,6,11590,,,446.12,0,,0,294.88
89.25,0,0,0,10400,,,0011,0,20120821,0,,0,주택,4,0,,0,0,0,0,0,0,0,,0000,,4,01000,단독주택,11590-175,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 본동 11번지,,,,,,,1,일반,1,총괄표제부,7,11590,,,89.25,0,,0,89.25
122.31,0,0,0,10400,,,0012,0,20120821,0,,0,주택,4,0,,0,0,0,0,0,0,0,,0000,,4,01000,단독주택,11590-544,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 본동 12번지,,,,,,,1,일반,1,총괄표제부,8,11590,,,122.31,0,,0,122.31
130.84,0,0,0,10400,,,0012,0,20111021,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0038,,2,01000,단독주택,11590-321,10401,33.0,115904157074,0.0,0,1,신대장,서울특별시 동작구 노량진로30길 33,0,0,0,0,0,0,서울특별시 동작구 본동 12-38번지,,,,,,,1,일반,1,총괄표제부,9,11590,,,130.84,0,,0,130.84
108.76,0,0,0,10400,,,0024,0,20111021,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0048,,2,01000,단독주택,11590-838,10401,48.0,115904157072,18.0,0,1,신대장,서울특별시 동작구 노량진로28길 48-18,0,0,0,0,0,0,서울특별시 동작구 본동 24-48번지,,,,,,,1,일반,1,총괄표제부,10,11590,,,108.76,0,,0,108.76
247.11,0,0,0,10400,,,0032,0,20120821,0,,0,,8,0,,0,0,0,0,0,0,0,,0000,,8,01000,단독주택,11590-777,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 본동 32번지,,,,,,,1,일반,1,총괄표제부,11,11590,,,247.11,0,,0,247.11
144.44,0,0,0,10400,,,0032,0,20120821,0,,0,주택,5,0,,0,0,0,0,0,0,0,,0001,,5,01000,단독주택,11590-177,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 본동 32-1번지,,,,,,,1,일반,1,총괄표제부,12,11590,,,144.44,0,,0,144.44
