건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
99.53,0,0,0,10700,,,0043,0,20171205,0,,0,,2,0,,0,0,0,0,0,0,0,,0000,,2,03000,제1종근린생활시설,11590-1042,10701,3.0,115904157150,0.0,0,1,신대장,서울특별시 동작구 동작대로35자길 3,0,0,0,0,0,0,서울특별시 동작구 사당동 43번지,,,,,,,1,일반,1,총괄표제부,1,11590,,,365.63,0,,0,287.86
336.47,0,0,50.45,10700,신영스위트,,0044,0,20171205,0,,0,다세대주택,0,0,,20,0,266.43,14,0,0,0,,0144,,2,02000,공동주택,11590-100229816,,0.0,,0.0,0,1,신대장,,24,2,0,0,667,0,서울특별시 동작구 사당동 44-144번지,20160215,1101,신축허가,3190077,건축과,2016,2,집합,1,총괄표제부,2,11590,,20160407,1196.8,16,20161227,179.43,1196.8
460.04,0,0,58.26,10700,디에스리브1단지,,0044,4,20210128,0,,0,단지형다세대주택,0,0,,28,0,425.21,16,0,0,0,,0179,,2,02000,공동주택,11590-100252455,,0.0,,0.0,0,1,신대장,,25,2,0,0,789.7,0,서울특별시 동작구 사당동 44-179번지,20200417,1101,신축허가,3190229,건축과,2020,2,집합,1,총괄표제부,3,11590,,20200506,1289.26,18,20210126,163.26,1289.26
297.58,0,0,0,10700,,,0046,0,20120821,0,,0,주택,7,0,,0,0,0,0,0,0,0,,0000,,7,01000,단독주택,11590-1044,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 사당동 46번지,,,,,,,1,일반,1,총괄표제부,4,11590,,,297.58,0,,0,297.58
162.23,0,0,97.73,10700,.,,0048,0,20111021,0,,0,"단독주택,다가구주택",6,0,,0,0,0,0,0,0,0,,0000,,3,01000,단독주택,11590-933,10701,12.0,115904157151,8.0,0,1,신대장,서울특별시 동작구 동작대로35차길 12-8,0,0,0,0,166,0,서울특별시 동작구 사당동 48번지,,,,,,,1,일반,1,총괄표제부,5,11590,,,357.98,0,,166.53,276.44
391.34,0,0,0,10700,,,0052,0,20120821,0,,0,,6,0,,0,0,0,0,0,0,0,,0000,,6,01000,단독주택,11590-1045,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 사당동 52번지,,,,,,,1,일반,1,총괄표제부,6,11590,,,391.34,0,,0,391.34
148.91,0,0,0,10700,,,0057,0,20111021,0,,0,,7,0,,0,0,0,0,0,0,0,,0024,,2,01000,단독주택,11590-1047,10701,87.0,115904157142,5.0,0,1,신대장,서울특별시 동작구 동작대로35길 87-5,0,0,0,0,0,0,서울특별시 동작구 사당동 57-24번지,,,,,,,1,일반,1,총괄표제부,7,11590,,,298.54,0,,0,227.31
180.25,0,0,0,10700,,,0064,0,20111021,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0084,,2,01000,단독주택,11590-1049,10701,73.0,115904157141,0.0,0,1,신대장,서울특별시 동작구 동작대로35가길 73,0,0,0,0,0,0,서울특별시 동작구 사당동 64-84번지,,,,,,,1,일반,1,총괄표제부,8,11590,,,534.67,0,,0,357.46
63.04,0,0,0,10700,,,0064,0,20111021,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0159,,2,01000,단독주택,11590-1050,10701,47.0,115904157133,0.0,0,1,신대장,서울특별시 동작구 동작대로31길 47,0,0,0,0,0,0,서울특별시 동작구 사당동 64-159번지,,,,,,,1,일반,1,총괄표제부,9,11590,,,63.04,0,,0,63.04
81.65,0,0,0,10700,,,0069,0,20111021,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0002,,2,01000,단독주택,11590-647,10701,43.0,115904157142,0.0,0,1,신대장,서울특별시 동작구 동작대로35길 43,0,0,0,0,0,0,서울특별시 동작구 사당동 69-2번지,,,,,,,1,일반,1,총괄표제부,10,11590,,,81.65,0,,0,81.65
