건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
72.83,0,0,0,10300,,,0110,0,20120821,0,,0,,2,0,,0,0,0,0,0,0,0,,0064,,2,01000,단독주택,11590-717,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 상도1동 110-64번지,,,,,,,1,일반,1,총괄표제부,1,11590,,,72.83,0,,0,72.83
139.04,0,0,0,10300,,,0112,0,20171205,0,,0,점포,0,0,,0,0,0,0,0,0,0,,0008,,2,03000,제1종근린생활시설,11590-718,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 상도1동 112-8번지,,,,,,,1,일반,1,총괄표제부,2,11590,,,227.83,0,,0,227.83
100.33,0,0,0,10300,,,0119,0,20171205,0,,0,,1,0,,0,0,0,0,0,0,0,,0016,,2,03000,제1종근린생활시설,11590-844,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 상도1동 119-16번지,,,,,,,1,일반,1,총괄표제부,3,11590,,,156,0,,0,156
579.71,0,0,0,10300,,,0122,0,20120821,0,,0,,11,0,,0,0,0,0,0,0,0,,0000,,12,01000,단독주택,11590-720,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 상도1동 122번지,,,,,,,1,일반,1,총괄표제부,4,11590,,,609.5,0,,0,609.5
215.68,0,0,0,10300,,,0159,0,20120821,0,,0,,3,0,,0,0,0,0,0,0,0,,0000,,3,01000,단독주택,11590-721,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 상도1동 159번지,,,,,,,1,일반,1,총괄표제부,5,11590,,,342.46,0,,0,320.34
201.75,0,0,0,10300,,,0254,0,20120821,0,,0,,2,0,,0,0,0,0,0,0,0,,0003,,2,01000,단독주택,11590-722,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 상도1동 254-3번지,,,,,,,1,일반,1,총괄표제부,6,11590,,,515.6,0,,0,535.1
175.84,0,0,50.81,10300,,,0324,2,20120522,0,,0,다가구주택,11,0,,0,0,0,0,0,0,0,,0011,,2,01000,단독주택,11590-734,10302,86.0,115904157362,3.0,0,1,신대장,서울특별시 동작구 상도로45길 86-3,34.5,3,0,0,346.1,0,서울특별시 동작구 상도1동 324-11번지,19930211,,,,,,1,일반,1,총괄표제부,7,11590,,19930309,472.67,3,19930327,91.79,317.68
162.09,0,0,0,10300,,,0327,0,20171205,0,,0,다세대주택,0,0,,12,0,0,0,0,0,0,,0006,,2,02000,공동주택,11590-846,10302,75.0,115904157362,0.0,0,1,신대장,서울특별시 동작구 상도로45길 75,0,0,0,0,0,0,서울특별시 동작구 상도1동 327-6번지,,,,,,,2,집합,1,총괄표제부,8,11590,,,486.27,0,,0,324.18
160.51,0,0,0,10300,,,0365,0,20111021,0,,0,,2,0,,0,0,0,0,0,0,0,,0001,,2,01000,단독주택,11590-725,10301,27.0,115904157363,0.0,0,1,신대장,서울특별시 동작구 상도로47가길 27,0,0,0,0,0,0,서울특별시 동작구 상도1동 365-1번지,,,,,,,1,일반,1,총괄표제부,9,11590,,,436.44,0,,0,384.54
0,0,0,0,10300,,,0375,0,20171205,0,,0,,0,0,,0,0,0,0,0,0,0,,0001,,0,,,11590-100213118,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 상도1동 375-1번지,,,,,,,2,집합,1,총괄표제부,10,11590,,,0,0,,0,0
127.14,0,0,0,10300,,,0382,0,20171205,0,,0,제1종근린생활시설,1,0,,0,0,0,0,0,0,0,,0000,,2,03000,제1종근린생활시설,11590-542,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 상도1동 382번지,,,,,,,1,일반,1,총괄표제부,11,11590,,,193.26,0,,0,193.26
188.7,0,0,0,10300,,,0390,0,20171205,0,,0,근린생활시설(소매점),0,0,,0,0,0,0,0,0,0,,0000,,2,03000,제1종근린생활시설,11590-726,10303,295.0,115903119005,0.0,0,1,신대장,서울특별시 동작구 상도로 295,0,0,0,0,0,0,서울특별시 동작구 상도1동 390번지,,,,,,,1,일반,1,총괄표제부,12,11590,,,363.12,0,,0,363.12
118.58,0,0,0,10300,,,0413,0,20111021,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0001,,2,01000,단독주택,11590-360,10301,26.0,115904157367,0.0,0,1,신대장,서울특별시 동작구 상도로47라길 26,0,0,0,0,0,0,서울특별시 동작구 상도1동 413-1번지,,,,,,,1,일반,1,총괄표제부,13,11590,,,283.34,0,,0,200.96
705.61,0,0,33.21,10300,종교시설및주택,,0415,0,20171205,0,,0,문화및집회시설,0,0,,0,0,0,0,0,0,0,,0000,,4,06000,종교시설,11590-400,10302,51.0,115904157364,0.0,0,1,신대장,서울특별시 동작구 상도로47길 51,177.5,15,0,0,2124.6,0,서울특별시 동작구 상도1동 415번지,,,,,,,1,일반,1,총괄표제부,14,11590,,,2264.11,15,,72.29,1535.92
409.56,0,0,59.68,10300,해오름빌,,0457,1,20171205,0,,0,단지형 다세대주택,0,0,,28,0,493.37,17,0,0,0,,0000,,2,02000,공동주택,11590-100234707,10301,5.0,115904157353,0.0,0,1,신대장,서울특별시 동작구 상도로39가길 5,11.5,1,0,0,686.3,0,서울특별시 동작구 상도1동 457번지,20170125,1101,신축허가,3190077,건축과,2017,2,집합,1,총괄표제부,15,11590,,20170216,1774.48,18,20171026,181.29,1244.22
386.61,0,0,34.6,10300,,,0460,2,20200129,0,,0,아동복지시설,0,0,,0,0,0,0,0,0,0,,0009,,2,11000,노유자시설,11590-100190226,10301,48.0,115904157354,0.0,0,1,신대장,서울특별시 동작구 상도로39길 48,57.5,6,0,0,1117.33,0,서울특별시 동작구 상도1동 460-9번지,,,,,,,1,일반,1,총괄표제부,16,11590,,,1285.57,6,,98.97,1105.78
526.26,0,0,55.9,10300,한강팰리스,,0487,0,20171205,0,,0,도시형생활주택,0,0,,29,0,465.28,16,0,0,0,,0000,,3,02000,공동주택,11590-100212998,,0.0,,0.0,0,1,신대장,,69,6,0,0,941.5,0,서울특별시 동작구 상도1동 487번지,20130624,1101,신축허가,3190077,건축과,2013,2,집합,1,총괄표제부,17,11590,,20130705,1786.89,22,20140129,189.79,1786.89
269.26,0,0,0,10300,,,0656,0,20171205,0,,0,,1,0,,0,0,0,0,0,0,0,,0000,,2,03000,제1종근린생활시설,11590-765,10301,22.0,115904157355,0.0,0,1,신대장,서울특별시 동작구 상도로41가길 22,0,0,0,0,0,0,서울특별시 동작구 상도1동 656번지,,,,,,,1,일반,1,총괄표제부,18,11590,,,491.71,0,,0,434.12
331.74,0,0,54.95,10300,한빛위너스,,0725,1,20171205,71,,0,도시형생활주택(단지형다세대주택),0,0,,28,0,241.37,13,0,0,0,,0001,,2,02000,공동주택,11590-100216885,,0.0,,0.0,0,1,신대장,,80.5,7,0,0,603.7,0,서울특별시 동작구 상도1동 725-1번지,20140602,1101,신축허가,3190077,건축과,2014,2,집합,1,총괄표제부,19,11590,,20140610,1201.31,20,20141128,198.99,1201.31
101.66,0,0,0,10300,,,0795,0,20120821,0,,0,,1,0,,0,0,0,0,0,0,0,,0000,,2,01000,단독주택,11590-767,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 상도1동 795번지,,,,,,,1,일반,1,총괄표제부,20,11590,,,128.11,0,,0,128.11
