건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
199.84,0,0,0,10200,,,0004,0,20120821,0,,0,주택,3,0,,0,0,0,0,0,0,0,,0000,,3,01000,단독주택,11590-600,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 상도동 4번지,,,,,,,1,일반,1,총괄표제부,1,11590,,,199.84,0,,0,199.84
183.89,0,0,0,10200,,,0006,0,20120821,0,,0,주택,3,0,,0,0,0,0,0,0,0,,0001,,3,01000,단독주택,11590-601,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 상도동 6-1번지,,,,,,,1,일반,1,총괄표제부,2,11590,,,183.89,0,,0,183.89
415.8,0,0,58.13,10200,,,0007,0,20171013,0,,0,도시형생활주택(단지형다세대주택) 및 근린생활시설,0,0,,23,0,287,13,0,0,0,,0022,,2,02000,공동주택,11590-100234487,10201,8.0,115904157210,4.0,0,1,신대장,서울특별시 동작구 매봉로2길 8-4,0,5,0,0,715.24,0,서울특별시 동작구 상도동 7-22번지,20170113,1101,신축허가,3190077,건축과,2017,2,집합,1,총괄표제부,3,11590,,20170119,1543.23,18,20171012,186.93,1336.97
510.04,0,0,0,10200,,,0010,0,20120821,0,,0,주택,11,0,,0,0,0,0,0,0,0,,0000,,10,01000,단독주택,11590-603,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 상도동 10번지,,,,,,,1,일반,1,총괄표제부,4,11590,,,510.04,0,,0,510.04
192.59,0,0,0,10200,,,0022,0,20171205,0,,0,다세대주택,0,0,,12,0,0,0,0,0,0,,0031,,2,02000,공동주택,11590-692,10201,65.0,115904157341,0.0,0,1,신대장,서울특별시 동작구 상도로31길 65,0,0,0,0,0,0,서울특별시 동작구 상도동 22-31번지,,,,,,,2,집합,1,총괄표제부,5,11590,,,586.41,0,,0,385.18
398.61,0,0,44.55,10200,,,0022,3,20220314,0,,0,"제1,2종근린생활시설 및 다세대주택(17세대)",0,0,,17,0,343.64,11,43.71,6,0,,0108,,2,03000,제1종근린생활시설,11590-100246253,10202,5.0,115903119002,0.0,0,1,신대장,서울특별시 동작구 만양로 5,11.5,1,0,0,894.84,0,서울특별시 동작구 상도동 22-108번지,20181213,1102,증축허가,3190077,건축과,2018,2,집합,1,총괄표제부,6,11590,,20190225,2140.97,18,20191122,180.51,1615.27
56.2,0,0,0,10200,,,0024,0,20120821,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0000,,2,01000,단독주택,11590-605,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 상도동 24번지,,,,,,,1,일반,1,총괄표제부,7,11590,,,56.2,0,,0,56.2
634.65,0,0,48.55,10200,드림캐슬,,0033,0,20200724,65,,0,도시형생활주택(단지형 다세대),0,0,,44,0,0,0,0,0,0,,0006,,4,02000,공동주택,11590-100227145,,0.0,,0.0,0,1,신대장,,413.9,34,0,0,1307.25,0,서울특별시 동작구 상도동 33-6번지,20150908,1101,신축허가,3190077,건축과,2015,2,집합,1,총괄표제부,8,11590,,20151006,2588.69,34,20160523,198.03,2588.69
119.9,0,0,0,10200,,,0033,0,20111021,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0007,,2,01000,단독주택,11590-607,10202,260.0,115903119005,0.0,0,1,신대장,서울특별시 동작구 상도로 260,0,0,0,0,0,0,서울특별시 동작구 상도동 33-7번지,,,,,,,1,일반,1,총괄표제부,9,11590,,,119.9,0,,0,119.9
105.79,0,0,0,10200,,,0034,0,20120821,0,,0,주택,4,0,,0,0,0,0,0,0,0,,0000,,4,01000,단독주택,11590-608,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 상도동 34번지,,,,,,,1,일반,1,총괄표제부,10,11590,,,105.79,0,,0,105.79
