건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
49.59,0,0,0,10900,,,0040,0,20120821,0,,0,,2,0,,0,0,0,0,0,0,0,,0000,,2,01000,단독주택,11590-21,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 신대방동 40번지,,,,,,,1,일반,1,총괄표제부,1,11590,,,49.59,0,,0,49.59
302.98,0,0,33.98,10900,대한예수교장로회 대신교회,,0360,2,20190923,0,,0,종교시설,1,0,,0,0,0,0,0,0,0,,0003,,2,06000,종교시설,11590-864,10901,11.0,115904157218,0.0,0,1,신대장,서울특별시 동작구 보라매로19길 11,0,0,0,0,891.67,0,서울특별시 동작구 신대방동 360-3번지,,,,,,,1,일반,1,총괄표제부,2,11590,,,822.38,0,,87.31,778.54
660.29,0,0,99.94,10900,정현빌라,,0360,0,20171121,0,,0,다세대주택,0,0,,16,0,0,14,0,0,0,,0005,,2,02000,공동주택,11590-13,10901,13.0,115904157218,0.0,0,0,구대장,서울특별시 동작구 보라매로19길 13,0,0,0,0,660.69,0,서울특별시 동작구 신대방동 360-5번지,,,,,,,2,집합,1,총괄표제부,3,11590,,,1701.53,14,,254.7,1682.81
25.15,0,0,0,10900,,,0360,0,20111021,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0091,,2,01000,단독주택,11590-24,10901,28.0,115904157544,0.0,0,1,신대장,서울특별시 동작구 여의대방로22바길 28,0,0,0,0,0,0,서울특별시 동작구 신대방동 360-91번지,,,,,,,1,일반,1,총괄표제부,4,11590,,,25.15,0,,0,25.15
902.15,108.43,1,0,10900,,,0364,0,20171121,0,,0,아파트,0,0,,60,0,0,0,0,0,0,,0055,,3,02000,공동주택,11590-14,10901,47.0,115904157540,0.0,0,0,구대장,서울특별시 동작구 여의대방로22나길 47,0,0,0,0,0,0,서울특별시 동작구 신대방동 364-55번지,,,,,,,2,집합,1,총괄표제부,5,11590,,,4213.23,0,,0,3823.48
2112.92,1211.74,5,20.87,10900,문창중학교,,0364,1,20221111,0,,0,교육연구및복지시설,0,0,,0,0,0,0,0,0,0,,0058,,1,Z8000,교육연구및복지시설,11590-417,10901,40.0,115904157540,0.0,0,1,신대장,서울특별시 동작구 여의대방로22나길 40,310,31,0,0,10124,0,서울특별시 동작구 신대방동 364-58번지,,,,,,,1,일반,1,총괄표제부,6,11590,,,8371.51,31,,82.69,8371.51
97.04,0,0,77.632,10900,,,0364,0,20140617,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0224,,2,01000,단독주택,11590-25,,0.0,,0.0,0,1,신대장,,0,0,0,0,125,0,서울특별시 동작구 신대방동 364-224번지,,,,,,,1,일반,1,총괄표제부,7,11590,,,104.26,0,,77.632,97.04
874.59,0,0,56.22,10900,,,0366,0,20171121,0,,0,,2,0,,0,0,0,6,0,0,0,,0040,,2,,,11590-100218465,,0.0,,0.0,0,1,신대장,,0,10,0,0,1555.71,0,서울특별시 동작구 신대방동 366-40번지,,,,,,,1,일반,1,총괄표제부,8,11590,,,2428.07,16,,118.98,1850.95
200.1,0,0,0,10900,,,0366,0,20171121,0,,0,다세대주택,0,0,,12,0,0,0,0,0,0,,0088,,2,02000,공동주택,11590-755,10901,55.0,115904157549,0.0,0,1,신대장,서울특별시 동작구 여의대방로22카길 55,0,0,0,0,0,0,서울특별시 동작구 신대방동 366-88번지,,,,,,,2,집합,1,총괄표제부,9,11590,,,1013.59,0,,0,780.31
260.19,0,0,57.44,10900,,,0366,0,20171121,0,,0,"공동주택,다세대주택",0,0,,12,0,211.87,7,0,0,0,,0123,,2,02000,공동주택,11590-407,10901,48.0,115904157546,0.0,0,1,신대장,서울특별시 동작구 여의대방로22아길 48,58,5,0,0,453,0,서울특별시 동작구 신대방동 366-123번지,20030404,1101,신축허가,3190077,건축과,2003,2,집합,1,총괄표제부,10,11590,,20040501,900.4,12,20040922,198.76,900.4
