건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
690.04,0,0,0,10500,,,0004,0,20171205,0,,0,,0,0,,0,0,0,0,0,0,0,,0000,,3,22000,분뇨.쓰레기처리시설,11590-964,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 흑석동 4번지,,,,,,,1,일반,1,총괄표제부,1,11590,,,539.08,0,,0,1127.08
125.48,0,0,0,10500,,,0008,0,20171205,0,,0,제1종근린생활시설,0,0,,0,0,0,0,0,0,0,,0032,,2,03000,제1종근린생활시설,11590-965,10502,100.0,115903119009,0.0,0,1,신대장,서울특별시 동작구 현충로 100,0,0,0,0,0,0,서울특별시 동작구 흑석동 8-32번지,,,,,,,1,일반,1,총괄표제부,2,11590,,,345.6,0,,0,345.6
453.52,0,0,0,10500,,,0009,0,20171205,0,,0,,1,0,,0,0,0,0,0,0,0,,0007,,2,06000,종교시설,11590-966,10502,105.0,115903119009,0.0,0,1,신대장,서울특별시 동작구 현충로 105,0,0,0,0,0,0,서울특별시 동작구 흑석동 9-7번지,,,,,,,1,일반,1,총괄표제부,3,11590,,,2825.73,0,,0,1100.06
6232.79,0,0,0,10500,명수대현대아파트,,0010,0,20230224,0,,0,아파트,0,0,,660,0,0,0,0,0,0,,0000,,10,02000,공동주택,11590-961,10502,115.0,115903119009,0.0,0,1,신대장,서울특별시 동작구 현충로 115,0,0,0,0,0,0,서울특별시 동작구 흑석동 10번지,,,,,,,2,집합,1,총괄표제부,4,11590,,,83345.95,0,,0,77288.66
132.24,0,0,0,10500,,,0020,0,20120821,0,,0,주택,3,0,,0,0,0,0,0,0,0,,0000,,3,01000,단독주택,11590-831,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 흑석동 20번지,,,,,,,1,일반,1,총괄표제부,5,11590,,,132.24,0,,0,132.24
157.62,0,0,0,10500,,,0022,0,20120821,0,,0,,2,0,,0,0,0,0,0,0,0,,0007,,2,01000,단독주택,11590-967,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 흑석동 22-7번지,,,,,,,1,일반,1,총괄표제부,6,11590,,,206.64,0,,0,206.64
89.32,0,0,0,10500,,,0026,0,20120821,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0005,,2,01000,단독주택,11590-968,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 흑석동 26-5번지,,,,,,,1,일반,1,총괄표제부,7,11590,,,119.73,0,,0,119.73
8868.6025,5015.525,8,0,10500,한강현대아파트,,0028,2,20190425,0,,0,아파트,0,0,,960,0,0,0,0,0,0,,0000,,14,02000,공동주택,11590-962,10502,151.0,115903119009,0.0,0,1,신대장,서울특별시 동작구 현충로 151,0,0,0,0,0,0,서울특별시 동작구 흑석동 28번지,19861105,,,,,,2,집합,1,총괄표제부,8,11590,,,117653.96,0,19880907,0,106274.6775
0,0,0,0,10500,,,0029,0,20120821,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0001,,0,01000,단독주택,11590-969,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 동작구 흑석동 29-1번지,,,,,,,1,일반,1,총괄표제부,9,11590,,,104.8,0,,0,0
181.8,0,0,0,10500,,,0033,0,20111021,0,,0,주택,5,0,,0,0,0,0,0,0,0,,0192,,5,01000,단독주택,11590-971,10501,88.0,115904157619,6.0,0,1,신대장,서울특별시 동작구 현충로10길 88-6,0,0,0,0,0,0,서울특별시 동작구 흑석동 33-192번지,,,,,,,1,일반,1,총괄표제부,10,11590,,,181.8,0,,0,181.8
