건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
0,0,0,0,10800,,,0006,0,20171118,0,,0,,0,0,,0,0,0,0,0,0,0,,0001,,0,,,11650-135,,0.0,,0.0,0,,,,0,0,0,0,0,0,서울특별시 서초구 서초동 6-1번지,,,,,,,1,일반,1,총괄표제부,1,11650,,,0,0,,0,0
20566.06,0,0,18.23,10800,,,0391,0,20171118,0,,0,공공용시설,0,0,,0,0,0,45,0,0,0,,0000,,0,14000,업무시설,11650-402,10801,29.0,116504163080,0.0,0,1,신대장,서울특별시 서초구 남부순환로340길 29,0,244,0,0,112823,0,서울특별시 서초구 서초동 391번지,,,,,,,1,일반,1,총괄표제부,2,11650,,,43271.07,289,,31.76,35837.29
32359.95,0,0,19.438,10800,예술의전당,,0700,92,20230306,0,,0,"문화및집회시설, 주차장, 근린생활시설",0,0,,0,0,0,441,0,0,0,,0000,,9,Z5000,문화및집회시설,11650-383,10803,2406.0,116502000003,0.0,0,1,신대장,서울특별시 서초구 남부순환로 2406,0,822,0,0,166478,0,서울특별시 서초구 서초동 700번지,,,,,,,1,일반,1,총괄표제부,3,11650,,,128577.54,1263,,48.3338,80465.09
8337.4,0,0,20.17,10800,국립국악원,,0740,11,20220330,0,,0,문화 및 집회시설(공공시설),0,0,,0,0,0,164,0,0,0,,0004,,7,05000,문화및집회시설,11650-100292835,10803,2364.0,116502000003,0.0,0,1,신대장,서울특별시 서초구 남부순환로 2364,0,100,0,0,41338,0,서울특별시 서초구 서초동 740-4번지,,,,,,,1,일반,1,총괄표제부,4,11650,,,42667.5,264,,48.53,20059.71
2448.39,0,0,2.45,10800,,,1005,0,20190606,0,,0,공공용시설,6,0,,0,0,0,0,0,0,0,,0006,,6,23000,교정및군사시설,11650-381,10802,202.0,116502121002,0.0,0,0,구대장,서울특별시 서초구 서초대로 202,0,0,0,0,100031,0,서울특별시 서초구 서초동 1005-6번지,,,,,,,1,일반,1,총괄표제부,5,11650,,,7497.67,0,,6.27,6268.45
2061.0494,14251.7337,3,13.12,10800,래미안 서초스위트,,1301,0,20211020,0,,0,아파트,0,0,,392,0,13001.3556,438,0,0,0,,0006,,3,02000,공동주택,11650-100189490,10801,221.0,116503121016,0.0,0,1,신대장,서울특별시 서초구 서운로 221,0,67,0,0,15709.8,0,서울특별시 서초구 서초동 1301-6번지,20050516,2101,주택건설사업계획승인,3210134,건축과,2005,2,집합,1,총괄표제부,6,11650,,20060802,57709.9571,505,20090430,278.6,43767.6034
953.46,6007.48,5,17.67,10800,서초두산위브트레지움,,1310,0,20211210,0,,0,공동주택,0,0,,98,0,0,148,0,0,0,,0004,,1,02000,공동주택,11650-100183228,10801,194.0,116503121016,0.0,0,1,신대장,서울특별시 서초구 서운로 194,0,0,0,0,5396.5,0,서울특별시 서초구 서초동 1310-4번지,20050517,,,,,,2,집합,1,총괄표제부,7,11650,,20060928,18264.27,148,20080822,229.52,12386.18
6605.2,56647.93,19,18.81,10800,서초 푸르지오 써밋,,1311,1,20200618,86,1,0,공동주택(아파트),0,0,2,907,0,43805.16,1284,0,0,0,,0010,,7,02000,공동주택,11650-100261294,10801,201.0,116503121016,0.0,0,1,신대장,서울특별시 서초구 서운로 201,0,0,0,0,35120.7,0,서울특별시 서초구 서초동 1311-10번지,20060705,5809,재건축협의(주택건설사업계획승인),3210000,서초구,2013,2,집합,1,총괄표제부,8,11650,,20140923,163448.39,1284,,299.98,105356.22
6878.18,55413,13,16.91,10800,롯데캐슬클래식,,1312,1,20221230,0,,0,공동주택,0,0,,990,0,51546.45,1442,0,0,0,,0003,,15,02000,공동주택,11650-186,10801,197.0,116503121016,0.0,0,1,신대장,서울특별시 서초구 서운로 197,0,0,0,0,40678.8,0,서울특별시 서초구 서초동 1312-3번지,20020412,2101,주택건설사업계획승인,3210081,건축과,2002,2,집합,1,총괄표제부,9,11650,,20030618,175496.48,1452,20060607,296.7,120695.27
4045.31,149.4,3,21.5,10800,서일중학교,,1313,8,20171118,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0000,,0,10000,교육연구시설,11650-100190910,10801,2.0,116504163376,0.0,0,1,신대장,서울특별시 서초구 서운로21길 2,0,0,0,0,18798.1,0,서울특별시 서초구 서초동 1313번지,,,,,,,1,일반,1,총괄표제부,10,11650,,,12415.88,0,,62.9,11828.23
479.81,0,0,0,10800,,,1313,0,20171118,0,,0,제1종근린생활시설,1,0,,0,0,0,0,0,0,0,,0018,,2,03000,제1종근린생활시설,11650-403,10801,14.0,116504163376,0.0,0,1,신대장,서울특별시 서초구 서운로21길 14,0,0,0,0,0,0,서울특별시 서초구 서초동 1313-18번지,,,,,,,1,일반,1,총괄표제부,11,11650,,,501.25,0,,0,469.16
6002.07,542.48,1,0,10800,진흥아파트,,1315,4,20220418,0,,0,공동주택,0,0,,615,0,0,0,0,0,0,,0000,,8,02000,공동주택,11650-421,10802,385.0,116502121002,0.0,0,0,구대장,서울특별시 서초구 서초대로 385,0,0,0,0,0,0,서울특별시 서초구 서초동 1315번지,,,,,,,2,집합,1,총괄표제부,12,11650,,,83909.05,0,,0,78491.4
3487.92,102.3,3,24.42,10800,서운중학교,,1325,4,20191209,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0001,,2,10000,교육연구시설,11650-100206733,10801,115.0,116503121016,0.0,0,1,신대장,서울특별시 서초구 서운로 115,0,0,0,0,14283.5,0,서울특별시 서초구 서초동 1325-1번지,,,,,,,1,일반,1,총괄표제부,13,11650,,,10889.45,42,,74.221654,10601.45
3323.71,14.14,2,24.91,10800,삼성서초가든스위트,,1326,3,20191218,0,,0,공동주택,0,0,,141,0,0,715,0,0,0,,0000,,4,02000,공동주택,11650-422,10801,122.0,116503121016,0.0,0,0,구대장,서울특별시 서초구 서운로 122,0,6,0,0,13341.8,0,서울특별시 서초구 서초동 1326번지,,,,,,,2,집합,1,총괄표제부,14,11650,,,80125.69,721,,285.71,38118.79
2376.44,36.05,3,18.17,10800,우성아파트,,1326,0,20210728,0,,0,공동주택,0,0,,408,0,8373.01,344,0,0,0,,0017,,2,02000,공동주택,11650-423,10801,30.0,116504163433,0.0,0,0,구대장,서울특별시 서초구 서초대로74길 30,759,66,0,0,13081.4,0,서울특별시 서초구 서초동 1326-17번지,,,,,,,2,집합,1,총괄표제부,15,11650,,,41880.32,410,,295.52,38658.76
3062.45,26305.64,3,18.53,10800,래미안서초에스티지,,1332,0,20210809,88,,0,공동주택(아파트),0,0,,421,0,24402.44,621,0,0,0,,0013,,4,02000,공동주택,11650-100256914,10801,107.0,116503121016,0.0,0,1,신대장,서울특별시 서초구 서운로 107,0,0,0,0,16527.1,0,서울특별시 서초구 서초동 1332-13번지,20120601,5809,재건축협의(주택건설사업계획승인),3210000,서초구,2012,2,집합,1,총괄표제부,16,11650,,20140801,75765.75,621,20161223,299.99,49580.06
7667.91,344,2,0,10800,신동아아파트,,1333,2,20171118,0,,0,"공동주택, 상가",0,0,,893,0,0,0,0,0,0,,0000,,7,02000,공동주택,11650-426,10801,138.0,116503121014,0.0,0,0,구대장,서울특별시 서초구 사임당로 138,0,0,0,0,0,0,서울특별시 서초구 서초동 1333번지,,,,,,,2,집합,1,총괄표제부,17,11650,,,99982.66,0,,0,91914.89
3877.11,4210.94,1,0,10800,신동아아파트,,1334,0,20171118,0,,0,공동주택,0,0,,104,0,0,0,0,0,0,,0001,,2,02000,공동주택,11650-287,10801,79.0,116503121016,0.0,0,0,구대장,서울특별시 서초구 서운로 79,0,0,0,0,0,0,서울특별시 서초구 서초동 1334-1번지,,,,,,,2,집합,1,총괄표제부,18,11650,,,25667.54,0,,0,4758.3
2678.73,96,3,17.61,10800,서이초등학교,,1334,0,20190516,0,,0,교육연구시설(초등학교),0,0,,0,0,0,0,0,0,0,,0002,,2,10000,교육연구시설,11650-100197389,10801,35.0,116503121016,0.0,0,1,신대장,서울특별시 서초구 서운로 35,402.5,35,0,0,15210.9,0,서울특별시 서초구 서초동 1334-2번지,,,,,,,1,일반,1,총괄표제부,19,11650,,,9157.37,35,,58.72,8932.37
3397.657,988.89,6,0,10800,현대아파트,,1346,1,20220315,0,,0,"공동주택, 근린생활시설, 판매시설",0,0,,412,0,0,0,0,0,0,,0000,,7,02000,공동주택,11650-491,10801,13.0,116504163654,0.0,0,0,구대장,서울특별시 서초구 효령로68길 13,0,0,0,0,0,0,서울특별시 서초구 서초동 1346번지,,,,,,,2,집합,1,총괄표제부,20,11650,,,42385.949,0,,0,39344.32
814.7845,0,0,29.33,10800,서초 벽산블루밍 아파트,,1347,0,20171118,0,,0,공동주택(아파트),0,0,,60,0,3528.377,78,0,0,0,,0020,,2,02000,공동주택,11650-188,10801,56.0,116504163658,0.0,0,1,신대장,서울특별시 서초구 효령로74길 56,0,6,0,0,2778.1,0,서울특별시 서초구 서초동 1347-20번지,20030630,2101,주택건설사업계획승인,3210081,건축과,2003,2,집합,1,총괄표제부,21,11650,,20040701,11098.7329,84,20060608,262.86,7302.4881
238.12,0,0,59.91,10800,,,1348,0,20171118,0,,0,"제2종근린생활시설,주택",0,0,,1,0,0,0,0,0,0,,0010,,2,04000,제2종근린생활시설,11650-100196688,10801,71.0,116504163372,0.0,0,1,신대장,서울특별시 서초구 서운로11길 71,0,5,0,0,397.4,0,서울특별시 서초구 서초동 1348-10번지,,,,,,,1,일반,1,총괄표제부,22,11650,,,732.07,5,,153.84,611.37
1192.89,51.84,2,24.1,10800,동원베네스트아파트,,1350,2,20221118,0,,0,아파트,0,0,,126,0,4907.93,139,0,0,0,,0013,,2,02000,공동주택,11650-392,10801,63.0,116504163381,0.0,0,1,신대장,서울특별시 서초구 서운로9길 63,551.3,26,0,0,4950.7,0,서울특별시 서초구 서초동 1350-13번지,20001211,,,,,,2,집합,1,총괄표제부,23,11650,,20010201,20360.89,165,20021130,292.22,14467.02
2864.79,248.02,4,17.25,10800,서초문화예술정보학교,,1356,0,20201202,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0001,,0,10000,교육연구시설,11650-100184794,10801,69.0,116504163084,0.0,0,1,신대장,서울특별시 서초구 남부순환로347길 69,529,46,0,0,16610,0,서울특별시 서초구 서초동 1356-1번지,,,,,,,1,일반,1,총괄표제부,24,11650,,,9512.42,46,,57.27,9512.42
269.88,0,0,56.03,10800,롯데 뉴빌리지,,1359,0,20171118,0,,0,공동주택,0,0,,8,0,240.84,11,0,0,0,,0005,,2,02000,공동주택,11650-64,10801,57.0,116504163084,0.0,0,1,신대장,서울특별시 서초구 남부순환로347길 57,0,0,0,0,481.7,0,서울특별시 서초구 서초동 1359-5번지,20020426,1101,신축허가,3210081,건축과,2002,2,집합,1,총괄표제부,25,11650,,20030628,1017.1,11,20041027,211.15,1017.1
270.32,0,0,56.91,10800,롯데 뉴빌리지,,1359,0,20171118,0,,0,공동주택,0,0,,8,0,240.86,11,0,0,0,,0047,,2,02000,공동주택,11650-63,10801,57.0,116504163084,0.0,0,1,신대장,서울특별시 서초구 남부순환로347길 57,0,0,0,0,475,0,서울특별시 서초구 서초동 1359-47번지,20020426,1101,신축허가,3210081,건축과,2002,2,집합,1,총괄표제부,26,11650,,20030628,1015.06,11,20041030,213.7,1015.06
2170.88,105.1,3,30.54,10800,롯데캐슬주피터,,1359,1,20210623,0,,0,공동주택(아파트),0,0,,110,0,11724.26,289,0,0,0,,0050,,2,02000,공동주택,11650-49,10801,15.0,116504163380,13.0,0,1,신대장,서울특별시 서초구 서운로6길 15-13,0,0,0,0,7109.3,0,서울특별시 서초구 서초동 1359-50번지,20010821,,,,,,2,집합,1,총괄표제부,27,11650,,20020214,31351.35,289,20031129,271.2,19279.84
6998.14,4.94,1,13.06,10800,,,1376,1,20210105,0,,0,,0,0,,0,0,0,235,0,0,0,,0001,,4,Z9000,공공용시설,11650-385,10803,2558.0,116502000003,0.0,0,1,신대장,서울특별시 서초구 남부순환로 2558,0,80,0,0,53590,0,서울특별시 서초구 서초동 1376-1번지,,,,,,,1,일반,1,총괄표제부,28,11650,,,49231.02,313,,63.13,33830.62
3389.07,0,0,20.393479,10800,,,1376,0,20220513,0,,0,업무시설,0,0,,0,0,0,0,0,0,0,,0003,,3,14000,업무시설,11650-382,10803,2584.0,116502000003,0.0,0,1,신대장,서울특별시 서초구 남부순환로 2584,1828.5,159,0,0,16618.4,0,서울특별시 서초구 서초동 1376-3번지,,,,,,,1,일반,1,총괄표제부,29,11650,,,18452.07,159,,95.54,15876.69
3932.08,35.28,2,23.65,10800,양재고등학교,,1376,0,20220513,0,,0,교육연구 및 복지시설,0,0,,0,0,0,0,0,0,0,,0004,,4,Z8000,교육연구및복지시설,11650-292,10801,9.0,116504163083,0.0,0,1,신대장,서울특별시 서초구 남부순환로346길 9,805,70,0,0,16621.8,0,서울특별시 서초구 서초동 1376-4번지,,,,,,,1,일반,1,총괄표제부,30,11650,,,13775.28,70,,77.51,12884.29
832.76,3889.55,2,22.43,10800,서초신원아침도시2차,,1420,0,20171118,0,,0,공동주택(아파트),0,0,,88,0,3747.39,74,0,0,0,,0018,,3,02000,공동주택,11650-130,10801,66.0,116504163077,0.0,0,1,신대장,서울특별시 서초구 남부순환로337가길 66,389.5,33,0,0,3711.2,0,서울특별시 서초구 서초동 1420-18번지,20040221,2101,주택건설사업계획승인,3210081,건축과,2004,2,집합,1,총괄표제부,31,11650,,20040423,13660.56,107,20051227,249.78,9271.36
951.83,0,0,40.91,10800,,,1422,0,20220207,0,,0,업무시설 및 근린생활시설,0,0,,0,0,0,0,0,0,0,,0001,,3,03000,제1종근린생활시설,11650-100291735,10803,2493.0,116502000003,0.0,0,1,신대장,서울특별시 서초구 남부순환로 2493,0,0,0,0,2326.5,0,서울특별시 서초구 서초동 1422-1번지,,,,,,,1,일반,1,총괄표제부,32,11650,,,3936.6,0,,134.48,3128.67
262,0,0,49.93,10800,,,1425,1,20200618,0,,0,,0,0,,20,0,465.9,14,0,0,0,,0020,,2,02000,공동주택,11650-100251094,10801,6.0,116504163074,24.0,0,1,신대장,서울특별시 서초구 남부순환로331길 6-24,18.7,2,0,0,524.7,0,서울특별시 서초구 서초동 1425-20번지,,,,,,,2,집합,1,총괄표제부,33,11650,,,1584.01,0,,235.86,1237.56
42.31,0,0,0,10800,,,1426,0,20120821,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0008,,2,01000,단독주택,11650-293,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 서초구 서초동 1426-8번지,,,,,,,1,일반,1,총괄표제부,34,11650,,,42.31,0,,0,42.31
441.64,0,0,42.13,10800,한승 미메이드,,1427,0,20090619,0,,0,공동주택,0,0,,18,0,340.66,8,0,0,0,,0007,,2,02000,공동주택,11650-60,10801,15.0,116504163075,5.0,0,1,신대장,서울특별시 서초구 남부순환로333길 15-5,0,16,0,0,1048.2,0,서울특별시 서초구 서초동 1427-7번지,20010910,1101,신축허가,3210081,건축과,2001,2,집합,1,총괄표제부,35,11650,,20030701,2386.41,24,20040812,195.17,2045.75
2440.56,115.5,2,18.82,10800,서일초등학교,,1436,0,20221028,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0008,,2,10000,교육연구시설,11650-100195352,10801,38.0,116504163079,0.0,0,1,신대장,서울특별시 서초구 남부순환로339길 38,0,0,0,0,12968.9,0,서울특별시 서초구 서초동 1436-8번지,,,,,,,1,일반,1,총괄표제부,36,11650,,,6758.68,0,,51.56,6686.68
2055.54,10270.58,3,22.55,10800,서초동 아아파크,,1436,1,20181016,0,,0,공동주택(아파트),0,0,,115,0,10570.36,293,0,0,0,,0014,,3,02000,공동주택,11650-44,10801,33.0,116504163654,0.0,0,1,신대장,서울특별시 서초구 효령로68길 33,80.5,7,0,0,9116.3,0,서울특별시 서초구 서초동 1436-14번지,20000713,,,,,,2,집합,1,총괄표제부,37,11650,,20010801,34255.07,300,20030904,255.65,23306.48
2459.38,18904.96,4,20.7,10800,서초자이,,1444,0,20230120,0,,0,공동주택(아파트),0,0,,184,0,18072.29,386,0,0,0,,0007,,4,02000,공동주택,11650-143,10801,81.0,116504163654,0.0,0,1,신대장,서울특별시 서초구 효령로68길 81,0,0,0,0,11878.6,0,서울특별시 서초구 서초동 1444-7번지,20020221,2101,주택건설사업계획승인,3210081,건축과,2002,2,집합,1,총괄표제부,38,11650,,20040221,49152.86,386,20060418,257.8,30622.31
5915.1,0,0,46.54,10800,더?서초,,1445,1,20220103,0,,0,"공동주택,판매시설,근린생활시설,업무시설(오피스텔,사무소)",0,0,,331,1099,0,639,0,56,0,,0014,,4,02000,공동주택,11650-138,10803,14.0,116503121024,0.0,0,1,신대장,서울특별시 서초구 서초중앙로 14,0,62,0,0,12708.9,0,서울특별시 서초구 서초동 1445-14번지,20020617,1102,증축허가,,,2002,2,집합,1,총괄표제부,39,11650,,20030228,122642.04,1127,20060119,699,88835.29
593,0,0,59.92,10800,거암빌딩,,1449,1,20160910,0,,0,근린생활시설,0,0,,0,0,234.49,8,0,0,0,,0007,,2,04000,제2종근린생활시설,11650-54,10803,2433.0,116502000003,3.0,0,1,신대장,서울특별시 서초구 남부순환로 2433-3,92,8,0,0,989.6,0,서울특별시 서초구 서초동 1449-7번지,,,,,,,1,일반,1,총괄표제부,40,11650,,,2379.95,16,,201.14,1990.51
101.32,0,0,0,10800,,,1451,0,20171118,0,,0,제2종근린생활시설,2,0,,0,0,0,0,0,0,0,,0052,,2,04000,제2종근린생활시설,11650-386,10803,16.0,116502121003,0.0,0,1,신대장,서울특별시 서초구 반포대로 16,0,0,0,0,0,0,서울특별시 서초구 서초동 1451-52번지,,,,,,,1,일반,1,총괄표제부,41,11650,,,322.25,0,,0,261.3
189.32,0,0,0,10800,,,1451,0,20111021,0,,0,공동주택,0,0,,12,0,0,0,0,0,0,,0054,,12,02000,공동주택,11650-493,10801,47.0,116504163071,9.0,0,1,신대장,서울특별시 서초구 남부순환로323길 47-9,0,0,0,0,0,0,서울특별시 서초구 서초동 1451-54번지,,,,,,,2,집합,1,총괄표제부,42,11650,,,567.96,0,,0,378.64
2387.89,10775.7,8,28.07,10800,서초동한신아파트,,1454,1,20111021,0,,0,공동주택,0,0,,194,0,10412.06,237,0,0,0,,0029,,2,02000,공동주택,11650-489,10801,38.0,116504163071,15.0,0,0,구대장,서울특별시 서초구 남부순환로323길 38-15,0,47,0,0,8508.22,0,서울특별시 서초구 서초동 1454-29번지,,,,,,,2,집합,1,총괄표제부,43,11650,,,23276.61,284,,273.58,23276.61
1303.83,5.65,1,48.19,10800,서초지웰,,1458,0,20171205,0,,0,"공동주택(아파트), 제1,2종근린생활시설",0,0,,60,0,3156.07,79,0,0,0,,0006,,3,02000,공동주택,11650-126,10801,35.0,116504163222,0.0,0,1,신대장,서울특별시 서초구 반포대로10길 35,0,0,0,0,2705.7,0,서울특별시 서초구 서초동 1458-6번지,20031212,2101,주택건설사업계획승인,3210081,건축과,2003,2,집합,1,총괄표제부,44,11650,,20040202,10687.56,79,20051201,249.58,6752.95
61.39,0,0,0,10800,,,1465,0,20120821,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0005,,2,01000,단독주택,11650-371,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 서초구 서초동 1465-5번지,,,,,,,1,일반,1,총괄표제부,45,11650,,,61.39,0,,0,61.39
2747.07,126.07,4,16.65,10800,서울신중초등학교,,1466,0,20210618,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0005,,3,10000,교육연구시설,11650-100204942,10801,15.0,116504163069,0.0,0,1,신대장,서울특별시 서초구 남부순환로317길 15,0,0,0,0,16497.1,0,서울특별시 서초구 서초동 1466-5번지,,,,,,,1,일반,1,총괄표제부,46,11650,,,8459.13,0,,51.28,8459.13
217.77,0,0,0,10800,,,1466,0,20111021,0,,0,공동주택,0,0,,12,0,0,0,0,0,0,,0024,,2,02000,공동주택,11650-485,10801,91.0,116504163640,3.0,0,0,구대장,서울특별시 서초구 효령로46길 91-3,0,0,0,0,0,0,서울특별시 서초구 서초동 1466-24번지,,,,,,,2,집합,1,총괄표제부,47,11650,,,653.31,0,,0,435.54
