GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
2012199470314435515100000000,1165010100100010003,1165010100,서울특별시 서초구 방배동,1,일반,1-3,100210014,1,일반건축물,2,일반건축물대방,,,0,주건축물,582,323.15,1936.67,199.19,55.52,21,철근콘크리트구조,04000,제2종근린생활시설,04001,일반음식점,2,상업용,20.5,6,2,2010-09-29,2012-01-20,2023-01-11
1997199330244437634800000000,1165010100100010004,1165010100,서울특별시 서초구 방배동,1,일반,1-4,533,1,일반건축물,2,일반건축물대방,,,0,주건축물,1987,335.23,555.64,24.59,16.87,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,10,2,1,1995-03-30,1997-12-17,2023-01-11
2003199393544435481600000000,1165010100100010007,1165010100,서울특별시 서초구 방배동,1,일반,1-7,6003,2,집합건축물,3,표제부,방배동 갤러리하우스,비동,0,주건축물,0,172.97,1610.17,0,0,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,19.5,7,2,2002-01-28,2003-05-14,2023-01-11
2003199398644435257600000000,1165010100100010007,1165010100,서울특별시 서초구 방배동,1,일반,1-7,6002,2,집합건축물,3,표제부,방배동 갤러리하우스,에이동,0,주건축물,0,240.13,2084.86,0,0,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,18.6,6,2,2002-01-28,2003-05-14,2023-01-11
2007199401014437552400000000,1165010100100010011,1165010100,서울특별시 서초구 방배동,1,일반,1-11,6004,2,집합건축물,3,표제부,다이너스티 힐,,0,주건축물,1894,627.12,6832.55,210.59,33.11,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,21.55,7,2,2003-06-26,2007-11-16,2023-01-11
1987199466204436735300000000,1165010100100010012,1165010100,서울특별시 서초구 방배동,1,일반,1-12,6005,2,집합건축물,3,표제부,,,0,주건축물,412.3,486.1,1780.92,0,0,21,철근콘크리트구조,02000,공동주택,02002,연립주택,1,주거용,12.55,3,1,1986-08-27,1987-07-01,2023-01-11
2005199421884436809900000000,1165010100100010015,1165010100,서울특별시 서초구 방배동,1,일반,1-15,6006,2,집합건축물,3,표제부,방배아펠바움,방배아펠바움,0,주건축물,1005,486.94,3751,249.59,48.45,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,21.5,6,2,2003-06-26,2005-12-29,2023-01-11
1978199377734436795200000000,1165010100100010016,1165010100,서울특별시 서초구 방배동,1,일반,1-16,534,1,일반건축물,2,일반건축물대방,,,0,주건축물,820,255.21,518.71,50.68,31.12,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,1,,1978-07-31,2023-01-11
1984199422134436487900000000,1165010100100010017,1165010100,서울특별시 서초구 방배동,1,일반,1-17,536,1,일반건축물,2,일반건축물대방,,,0,주건축물,516,254.47,492.13,70.6,49.32,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,8.07,2,1,1983-08-17,1984-12-08,2023-01-11
2008199400204436372400000000,1165010100100010018,1165010100,서울특별시 서초구 방배동,1,일반,1-18,6007,2,집합건축물,3,표제부,,,0,주건축물,661,316.4,2210.54,249.22,47.87,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,18.875,6,1,2003-06-26,2008-01-14,2023-01-11
