건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
13581.39,139293.08,25,19.73,10700,아크로리버파크,,0002,1,20220905,0,,0,공동주택(아파트),0,0,,1612,0,126788.84,2973,0,0,0,,0012,,15,02000,공동주택,11650-100252714,10701,19.0,116504163450,0.0,0,1,신대장,서울특별시 서초구 신반포로15길 19,0,0,0,0,68841.5,0,서울특별시 서초구 반포동 2-12번지,20050516,5809,재건축협의(주택건설사업계획승인),3210000,서초구,2013,2,집합,1,총괄표제부,1,11650,,20130830,346883.14,2973,20160830,299.73,206338.25
3921.43,0,0,26.11,10700,계성초등학교,,0006,0,20171118,0,,0,교육연구및복지시설,0,0,,0,0,1061,35,0,0,0,,0001,,4,10000,교육연구시설,11650-136,10701,23.0,116504163451,0.0,0,1,신대장,서울특별시 서초구 신반포로19길 23,1297,28,0,0,15017.4,0,서울특별시 서초구 반포동 6-1번지,20040318,,,,,,1,일반,1,총괄표제부,2,11650,,20040428,13664.19,63,20051215,81.79,12282.12
2324.35,0,0,30,10700,반포푸르지오아파트,,0010,0,20200123,0,,0,공동주택,0,0,,237,0,9875.12,250,0,0,0,,0000,,3,02000,공동주택,11650-316,10701,4.0,116504163450,0.0,0,0,구대장,서울특별시 서초구 신반포로15길 4,0,0,0,0,7748.2,0,서울특별시 서초구 반포동 10번지,,,,,,,2,집합,1,총괄표제부,3,11650,,,21976.3,250,,283.63,21976.3
1699.63,0,0,0,10700,반포빗물펌프장,,0015,0,20210526,0,,0,"단독주택, 근린공공시설",1,0,,0,0,0,0,0,0,0,,0002,,6,13000,운동시설,11650-337,10701,30.0,116504163754,0.0,0,1,신대장,서울특별시 서초구 신반포로16길 30,0,0,0,0,0,0,서울특별시 서초구 반포동 15-2번지,,,,,,,1,일반,1,총괄표제부,4,11650,,,2543.03,0,,0,2543.03
3495.71,22407.36,3,16.904147,10700,반포 힐스테이트,,0016,0,20200617,0,,0,아파트,0,0,,0,0,21105.7,699,0,0,0,,0006,,5,02000,공동주택,11650-100210615,10701,15.0,116504163754,20.0,0,1,신대장,서울특별시 서초구 신반포로16길 15-20,0,0,0,0,20679.6,0,서울특별시 서초구 반포동 16-6번지,20050430,5809,재건축협의(주택건설사업계획승인),3210000,서초구,2011,2,집합,1,총괄표제부,5,11650,,20081110,77917.07,699,20120402,269.69893,55772.66
3502.46,586.32,5,24.28,10700,잠원초등학교,,0017,0,20200703,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0000,,2,10000,교육연구시설,11650-100207353,10701,15.0,116504163754,25.0,0,1,신대장,서울특별시 서초구 신반포로16길 15-25,0,0,0,0,14427.1,0,서울특별시 서초구 반포동 17번지,,,,,,,1,일반,1,총괄표제부,6,11650,,,10892.9,0,,75.5,10892.9
16981.06,181910.98,16,12.76,10700,래미안 퍼스티지,,0018,1,20200403,0,,0,공동주택(아파트),0,0,,2444,0,150546.94,4368,0,0,0,,0001,,28,02000,공동주택,11650-100192579,10702,275.0,116502121003,0.0,0,1,신대장,서울특별시 서초구 반포대로 275,0,0,0,0,133060,0,서울특별시 서초구 반포동 18-1번지,20041231,,,,,2004,2,집합,1,총괄표제부,7,11650,,20060906,540103.11,4368,20090714,269.99,359252.52
23124.01,0,0,26.54,10700,서울고속버스터미날,,0019,2,20201207,0,,0,"여객자동차터미널,판매시설,업무시설",0,0,,0,0,0,0,0,0,0,,0004,,4,08000,운수시설,11650-100204060,10702,194.0,116503121017,0.0,0,1,신대장,서울특별시 서초구 신반포로 194,0,975,0,0,87111,0,서울특별시 서초구 반포동 19-4번지,20031024,,,,,,1,일반,1,총괄표제부,8,11650,,20040901,110634,975,20110304,104.24,90875.37
27076.668,291627.383,19,13.92,10700,반포자이,,0020,0,20210511,0,,0,공동주택(아파트),0,0,,3410,0,0,6075,0,0,0,,0043,,45,02000,공동주택,11650-100185669,10702,270.0,116503121017,0.0,0,1,신대장,서울특별시 서초구 신반포로 270,0,0,0,0,194458.5,0,서울특별시 서초구 반포동 20-43번지,20041030,2101,주택건설사업계획승인,3210134,건축과,2003,2,집합,1,총괄표제부,9,11650,,20060428,813150.722,6075,20090313,270.02,525079.107
3125.36,45,1,23.61,10700,서울원촌초등학교,,0021,0,20200729,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0000,,5,10000,교육연구시설,11650-100197593,10701,26.0,116504163332,0.0,0,1,신대장,서울특별시 서초구 사평대로45길 26,425.5,47,0,0,13237.2,0,서울특별시 서초구 반포동 21번지,,,,,,,1,일반,1,총괄표제부,10,11650,,,9333.48,47,,70.51,9333.48
