건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
413.1,0,0,46.73,10100,방배동 갤러리하우스,,0001,1,20171118,0,,0,공동주택(아파트),0,0,,16,0,1305.56,28,0,0,0,,0007,,2,02000,공동주택,11650-397,10101,105.0,116503121004,0.0,0,1,신대장,서울특별시 서초구 동광로 105,0,0,0,0,884,0,서울특별시 서초구 방배동 1-7번지,20020128,1101,신축허가,3210081,건축과,2002,2,집합,1,총괄표제부,1,11650,,200204,3695.03,28,20030514,265.39,2346.09
351.16,0,0,58.33,10100,,,0001,0,20211018,0,,0,도시형생활주택(단지형다세대),0,0,,14,0,487.95,12,0,0,0,,0020,,2,02000,공동주택,11650-100292615,,0.0,,0.0,0,1,신대장,,0,0,0,0,602,0,서울특별시 서초구 방배동 1-20번지,20200907,1101,신축허가,3210141,건축과,2020,2,집합,1,총괄표제부,2,11650,,20200914,1390.16,12,20211007,149.87,902.21
113.76,0,0,0,10100,,,0007,0,20120821,0,,0,"사무실, 주택",1,0,,0,0,0,0,0,0,0,,0000,,2,01000,단독주택,11650-13,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 서초구 방배동 7번지,,,,,,,1,일반,1,총괄표제부,3,11650,,,113.76,0,,0,113.76
1170.17,571.35,2,0,10100,삼호빌라,,0012,0,20111021,0,,0,공동주택,0,0,,16,0,0,0,0,0,0,,0002,,2,02000,공동주택,11650-181,10101,42.0,116504163339,16.0,0,0,구대장,서울특별시 서초구 사평대로6길 42-16,0,0,0,0,0,0,서울특별시 서초구 방배동 12-2번지,,,,,,,2,집합,1,총괄표제부,4,11650,,,4302.05,0,,0,3399.89
149.25,0,0,0,10100,,,0012,0,20111021,0,,0,공동주택,0,0,,9,0,0,0,0,0,0,,0045,,2,02000,공동주택,11650-14,10101,15.0,116504163275,7.0,0,0,구대장,서울특별시 서초구 방배로40길 15-7,0,0,0,0,0,0,서울특별시 서초구 방배동 12-45번지,,,,,,,2,집합,1,총괄표제부,5,11650,,,447.75,0,,0,298.5
192.38,0,0,0,10100,,,0086,0,20150812,0,,0,주택,5,0,,0,0,0,0,0,0,0,,0000,,5,01000,단독주택,11650-282,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 서초구 방배동 86번지,,,,,,,1,일반,1,총괄표제부,6,11650,,,192.38,0,,0,192.38
93.96,0,0,0,10100,,,0088,0,20120821,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0000,,2,01000,단독주택,11650-278,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 서초구 방배동 88번지,,,,,,,1,일반,1,총괄표제부,7,11650,,,93.96,0,,0,93.96
114.55,0,0,0,10100,,,0089,0,20120821,0,,0,주택,2,0,,0,0,0,0,0,0,0,,0000,,2,01000,단독주택,11650-279,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 서초구 방배동 89번지,,,,,,,1,일반,1,총괄표제부,8,11650,,,114.55,0,,0,114.55
2569.84,142.37,4,20.5,10100,서울방일초등학교,,0167,1,20221107,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0004,,3,10000,교육연구시설,11650-280,10101,52.0,116504163254,0.0,0,0,구대장,서울특별시 서초구 방배로18길 52,0,0,0,0,12533,0,서울특별시 서초구 방배동 167-4번지,,,,,,,1,일반,1,총괄표제부,9,11650,,,8222.61,0,,65.61,8222.61
254.97,0,0,0,10100,,,0200,0,20120821,0,,0,주택,6,0,,0,0,0,0,0,0,0,,0000,,6,01000,단독주택,11650-16,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 서초구 방배동 200번지,,,,,,,1,일반,1,총괄표제부,10,11650,,,254.97,0,,0,254.97
