건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
197.16,0,0,0,11100,,,0033,2,20111021,0,,0,축사,0,0,,0,0,0,0,0,0,0,,0025,,2,21000,동물및식물관련시설,11650-511,11101,14.0,116504163351,3.0,0,0,구대장,서울특별시 서초구 새정3길 14-3,0,0,0,0,0,0,서울특별시 서초구 신원동 33-25번지,,,,,,,1,일반,1,총괄표제부,1,11650,,,197.16,0,,0,197.16
288,0,0,0,11100,,,0180,2,20171017,0,,0,우사,0,0,,0,0,0,0,0,0,0,,0002,,3,21000,동물및식물관련시설,11650-512,11103,251.0,116503000031,17.0,0,0,구대장,서울특별시 서초구 청계산로 251-17,0,0,0,0,0,0,서울특별시 서초구 신원동 180-2번지,,,,,,,1,일반,1,총괄표제부,2,11650,,,288,0,,0,288
288,0,0,0,11100,,,0181,0,20171017,0,,0,축사,0,0,,0,0,0,0,0,0,0,,0000,,3,21000,동물및식물관련시설,11650-504,11103,251.0,116503000031,21.0,0,0,구대장,서울특별시 서초구 청계산로 251-21,0,0,0,0,0,0,서울특별시 서초구 신원동 181번지,,,,,,,1,일반,1,총괄표제부,3,11650,,,288,0,,0,288
160.97,0,0,48.48,11100,,,0253,0,20200623,0,,0,단독주택,0,0,,2,0,0,0,0,0,0,,0002,,2,01000,단독주택,11650-100216614,,0.0,,0.0,0,1,신대장,,23,2,0,0,332,0,서울특별시 서초구 신원동 253-2번지,,,,,,,1,일반,1,총괄표제부,4,11650,,,171.72,2,,45.76,151.92
124.78,0,0,49.91,11100,,,0263,0,20200306,0,,0,근린생활시설,0,0,,0,0,0,0,0,0,0,,0006,,2,03000,제1종근린생활시설,11650-100279775,11101,41.0,116504163579,0.0,0,1,신대장,서울특별시 서초구 청룡마을길 41,12.5,1,0,0,250,0,서울특별시 서초구 신원동 263-6번지,20191106,1202,증축신고,3210141,건축과,2019,1,일반,1,총괄표제부,5,11650,,20191127,150.98,1,20200219,60.39,150.98
215.62,0,0,39.56,11100,,,0385,0,20180911,0,,0,다가구주택,3,0,,0,0,0,0,0,0,0,,0002,,2,01000,단독주택,11650-100268115,11101,21.0,116504163306,0.0,0,1,신대장,서울특별시 서초구 본마을3길 21,0,6,0,0,545,0,서울특별시 서초구 신원동 385-2번지,20180524,1202,증축신고,3210141,건축과,2018,1,일반,1,총괄표제부,6,11650,,20180610,521.12,6,20180907,75.44,411.17
386.55,0,0,49.75,11100,본마을1길 5-2 근생주택,,0438,1,20211208,0,,0,소매점,1,0,,0,0,12.5,1,0,0,0,,0008,,2,03000,제1종근린생활시설,11650-100294450,,0.0,,0.0,0,1,신대장,,87,7,0,0,777,0,서울특별시 서초구 신원동 438-8번지,20200904,1101,신축허가,3210141,건축과,2020,2,집합,1,총괄표제부,7,11650,,20201130,1167.26,8,20211103,72.73,565.13
213.51,0,0,0,11100,,,0465,0,20200206,0,,0,근린생활시설,0,0,,0,0,0,0,0,0,0,,0002,,2,04000,제2종근린생활시설,11650-502,11101,3.0,116504163307,0.0,0,0,구대장,서울특별시 서초구 본마을4길 3,0,0,0,0,0,0,서울특별시 서초구 신원동 465-2번지,,,,,,,1,일반,1,총괄표제부,8,11650,,,213.51,2,,0,213.51
140,8,1,34.91,11100,,,0498,0,20171118,0,,0,"주택, 근린생활시설",1,0,,0,0,0,0,0,0,0,,0032,,2,03000,제1종근린생활시설,11650-503,11103,99.0,116503000031,0.0,0,0,구대장,서울특별시 서초구 청계산로 99,0,1,0,0,401,0,서울특별시 서초구 신원동 498-32번지,,,,,,,1,일반,1,총괄표제부,9,11650,,,176,0,,43.89,176
5484.95,13932.72,12,21.2,11100,힐스테이트서초젠트리스,,0557,0,20201228,0,,0,공동주택(아파트),0,0,,256,10,11297.37,387,0,0,0,,0000,,10,02000,공동주택,11650-100236283,11101,10.0,116504163749,12.0,0,1,신대장,서울특별시 서초구 헌릉로8길 10-12,0,0,0,0,25871,0,서울특별시 서초구 신원동 557번지,20130513,2101,주택건설사업계획승인,3210134,건축과,2013,2,집합,1,총괄표제부,10,11650,,20130617,48527.44,387,20141219,129.1,33400.74
