건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
126.71,0,0,0,10200,,,0001,0,20171118,0,,0,"주택, 근린생활시설",1,0,,0,0,0,0,0,0,0,,0000,,2,03000,제1종근린생활시설,11650-497,10202,2624.0,116502000003,0.0,0,1,신대장,서울특별시 서초구 남부순환로 2624,0,0,0,0,0,0,서울특별시 서초구 양재동 1번지,,,,,,,1,일반,1,총괄표제부,1,11650,,,615.35,0,,0,457.43
157.55,0,0,0,10200,,,0001,0,20111021,0,,0,"주택, 점포",2,0,,0,0,0,0,0,0,0,,0002,,2,01000,단독주택,11650-496,10201,7.0,116504163088,0.0,0,1,신대장,서울특별시 서초구 남부순환로356길 7,0,0,0,0,0,0,서울특별시 서초구 양재동 1-2번지,,,,,,,1,일반,1,총괄표제부,2,11650,,,321.16,0,,0,321.16
319.96,0,0,0,10200,,,0001,0,20171205,0,,0,공동주택,0,0,,15,0,0,0,0,0,0,,0010,,2,02000,공동주택,11650-360,10201,9.0,116504163089,0.0,0,0,구대장,서울특별시 서초구 남부순환로358길 9,0,0,0,0,0,0,서울특별시 서초구 양재동 1-10번지,,,,,,,2,집합,1,총괄표제부,3,11650,,,959.88,0,,0,639.92
897.43,0,0,56.37,10200,성원빌딩,,0001,0,20120821,0,,0,"근린생활시설, 업무시설",0,0,,0,0,230.4,8,0,0,0,,0028,,2,10000,교육연구시설,11650-498,10202,2634.0,116502000003,27.0,0,1,신대장,서울특별시 서초구 남부순환로 2634-27,143,20,0,0,1592.1,0,서울특별시 서초구 양재동 1-28번지,,,,,,,1,일반,1,총괄표제부,4,11650,,,3134.69,28,,184.19,2932.46
190.94,0,0,0,10200,,,0003,0,20171205,0,,0,공동주택,0,0,,12,0,0,0,0,0,0,,0005,,2,02000,공동주택,11650-442,10201,54.0,116504163216,0.0,0,0,구대장,서울특별시 서초구 바우뫼로43길 54,0,0,0,0,0,0,서울특별시 서초구 양재동 3-5번지,,,,,,,2,집합,1,총괄표제부,5,11650,,,581.78,0,,0,381.88
268.8,0,0,49.84,10200,비버리하임(2단지),,0005,0,20200618,0,,0,도시형생활주택-단지형다세대,0,0,,20,0,0,0,0,0,0,,0009,,2,02000,공동주택,11650-100259274,10201,65.0,116504163098,0.0,0,1,신대장,서울특별시 서초구 논현로31길 65,172.5,15,0,0,539.3,0,서울특별시 서초구 양재동 5-9번지,20160921,1101,신축허가,3210141,건축과,2016,2,집합,1,총괄표제부,6,11650,,20161014,1227.06,15,20170714,227.53,1227.06
493.64,0,0,49.67,10200,비버리하임(1단지),,0005,1,20200618,0,,0,도시형생활주택-단지형다세대,0,0,,40,0,0,0,0,0,0,,0012,,4,02000,공동주택,11650-100259314,10201,75.0,116504163098,0.0,0,1,신대장,서울특별시 서초구 논현로31길 75,368,32,0,0,993.8,0,서울특별시 서초구 양재동 5-12번지,20160920,1101,신축허가,3210141,건축과,2016,2,집합,1,총괄표제부,7,11650,,20161014,2330.66,32,20170714,234.52,2330.66
199,0,0,43.98,10200,,,0006,0,20111021,0,,0,공동주택,0,0,,12,0,0,0,0,0,0,,0004,,2,02000,공동주택,11650-437,10201,70.0,116504163015,4.0,0,0,구대장,서울특별시 서초구 강남대로30길 70-4,41.25,3,0,0,452.4,0,서울특별시 서초구 양재동 6-4번지,,,,,,,2,집합,1,총괄표제부,8,11650,,,585.52,0,,86.7,392.26
151.54,0,0,0,10200,,,0008,0,20111021,0,,0,"다가구주택,주택",11,0,,0,0,0,0,0,0,0,,0016,,2,01000,단독주택,11650-432,10201,61.0,116504163016,0.0,0,1,신대장,서울특별시 서초구 강남대로34길 61,0,0,0,0,0,0,서울특별시 서초구 양재동 8-16번지,,,,,,,1,일반,1,총괄표제부,9,11650,,,455.09,0,,0,356.87
238.36,0,0,0,10200,,,0008,0,20111021,0,,0,"다가구용단독주택,주택",10,0,,0,0,0,0,0,0,0,,0025,,2,01000,단독주택,11650-433,10201,62.0,116504163016,0.0,0,1,신대장,서울특별시 서초구 강남대로34길 62,0,0,0,0,0,0,서울특별시 서초구 양재동 8-25번지,,,,,,,1,일반,1,총괄표제부,10,11650,,,599.36,0,,0,479.36
