건축면적,부속건축물면적,부속건축물수,건폐율,법정동코드,건물명,블록,번,외필지수,생성일자,EPI점수,에너지효율등급,에너지절감율,기타용도,가구수,친환경건축물인증점수,친환경건축물등급,세대수,호수,옥내자주식면적,옥내자주식대수,옥내기계식면적,옥내기계식대수,지능형건축물인증점수,지능형건축물등급,지,로트,주건축물수,주용도코드,주용도코드명,관리건축물대장PK,새주소법정동코드,새주소본번,새주소도로코드,새주소부번,새주소지상지하코드,신구대장구분코드,신구대장구분코드명,도로명대지위치,옥외자주식면적,옥외자주식대수,옥외기계식면적,옥외기계식대수,대지면적,대지구분코드,대지위치,허가일,허가번호구분코드,허가번호구분코드명,허가번호기관코드,허가번호기관코드명,허가번호년,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,순번,시군구코드,특수지명,착공일,연면적,총주차수,사용승인일,용적률,용적률산정연면적
0,0,0,0,10300,,,0051,0,20100417,0,,0,"주택, 공장, 기숙사, 사무실",1,0,,0,0,0,0,0,0,0,,0001,,4,01000,단독주택,11650-80,10301,38.0,116504163197,21.0,0,1,신대장,서울특별시 서초구 바우뫼로11안길 38-21,0,0,0,0,0,0,서울특별시 서초구 우면동 51-1번지,,,,,,,1,일반,1,총괄표제부,1,11650,,,1384.53,0,,0,0
5213.25,10402.57,5,19.78,10300,대림아파트,,0057,0,20180726,0,,0,"공동주택, 상가",0,0,,412,0,9281.05,331,0,0,0,,0000,,7,02000,공동주택,11650-81,10301,51.0,116504163219,0.0,0,0,구대장,서울특별시 서초구 바우뫼로7길 51,0,322,0,0,26350,0,서울특별시 서초구 우면동 57번지,,,,,,,2,집합,1,총괄표제부,2,11650,,,75027.83,653,,225.89,59522.94
2520.97,3674.32,5,17.22,10300,동고아파트,,0059,0,20180630,0,,0,"공동주택, 상가",0,0,,330,0,1138.5,99,0,0,0,,0000,,5,02000,공동주택,11650-82,10301,29.0,116504163219,0.0,0,0,구대장,서울특별시 서초구 바우뫼로7길 29,2093,182,0,0,14640,0,서울특별시 서초구 우면동 59번지,,,,,,,2,집합,1,총괄표제부,3,11650,,,37798.26,281,,216.95,31761.48
936.99,255.78,2,38.37,10300,현대연립,,0062,0,20171118,0,,0,공동주택,0,0,,25,0,736.02,42,0,0,0,,0000,,2,02000,공동주택,11650-9,10301,5.0,116504163202,0.0,0,0,구대장,서울특별시 서초구 바우뫼로1길 5,0,0,0,0,3076,0,서울특별시 서초구 우면동 62번지,,,,,,,2,집합,1,총괄표제부,4,11650,,,4025.92,42,,109.97,4025.92
3141.9,0,0,0,10300,우면주공영구임대아파트,,0063,0,20171118,0,,0,"공동주택, 상가",0,0,,984,0,0,0,0,0,0,,0000,,7,02000,공동주택,11650-2,10301,11.0,116504163219,0.0,0,0,구대장,서울특별시 서초구 바우뫼로7길 11,15111,222,0,0,0,0,서울특별시 서초구 우면동 63번지,,,,,,,2,집합,1,총괄표제부,5,11650,,,42227.76,1314,,0,39389.01
3081.77,3161.03,5,28.09,10300,우면한라아파트,,0067,0,20210827,0,,0,공동주택,0,0,,252,0,2939.63,136,0,0,0,,0000,,8,02000,공동주택,11650-3,10302,33.0,116503121009,0.0,0,0,구대장,서울특별시 서초구 바우뫼로 33,0,85,0,0,14670,0,서울특별시 서초구 우면동 67번지,19921223,,,,,,2,집합,1,총괄표제부,6,11650,,19930409,20668.24,221,19940504,120.34,17531.11
4192.05,7178.7,6,24.175,10300,코오롱아파트,,0070,0,20220413,0,,0,"공동주택, 상가",0,0,,300,0,6640.46,270,0,0,0,,0000,,7,02000,공동주택,11650-4,10302,53.0,116503121009,0.0,0,0,구대장,서울특별시 서초구 바우뫼로 53,0,38,0,0,17340,0,서울특별시 서초구 우면동 70번지,,,,,,,2,집합,1,총괄표제부,7,11650,,,29750.998,308,,119.908,20792.1
347.42,0,0,48.25,10300,,,0176,1,20200623,0,,0,다세대주택,0,0,,2,0,233.44,9,0,0,0,,0001,,2,02000,공동주택,11650-100213771,10301,31.0,116504163443,0.0,0,1,신대장,서울특별시 서초구 성촌6길 31,0,0,0,0,720,0,서울특별시 서초구 우면동 176-1번지,20080612,1101,신축허가,3210134,건축과,2008,2,집합,1,총괄표제부,8,11650,,20090501,950.5,9,20121012,72.33,520.78
216.87,0,0,41.546,10300,,,0176,1,20211110,0,,0,,1,0,,0,0,171.41,4,0,0,0,,0012,,2,01000,단독주택,11650-100293290,,0.0,,0.0,0,1,신대장,,0,0,0,0,522,0,서울특별시 서초구 우면동 176-12번지,20200720,1101,신축허가,3210141,건축과,2020,1,일반,1,총괄표제부,9,11650,,20201005,584.09,4,20211108,69.749,364.09
116.47,0,0,28.758,10300,,,0228,0,20191212,0,,0,소매점,0,0,,0,0,0,0,0,0,0,,0003,,2,03000,제1종근린생활시설,11650-100252103,10301,20.0,116504163598,0.0,0,1,신대장,서울특별시 서초구 형촌3길 20,11.5,1,0,0,405,0,서울특별시 서초구 우면동 228-3번지,20161104,1202,증축신고,3210141,건축과,2016,1,일반,1,총괄표제부,10,11650,,20161108,147.15,1,20161114,28.758,116.47
97.34,0,0,22.74,10300,우면동 477-1,,0477,0,20111021,0,,0,"단독주택,단독주택",1,0,,0,0,0,0,0,0,0,,0001,,1,01000,단독주택,11650-197,10301,40.0,116504163447,0.0,0,1,신대장,서울특별시 서초구 송동길 40,0,0,0,0,428,0,서울특별시 서초구 우면동 477-1번지,19831212,1105,이전허가,3210081,건축과,1979,1,일반,1,총괄표제부,11,11650,,,128.65,0,20070404,21.58,92.38
3374.07,0,1,30.92,10300,우면빌리지,,0685,0,20171118,0,,0,연립주택,0,0,,29,0,4846.48,100,0,0,0,,0000,,2,02000,공동주택,11650-100242454,,0.0,,0.0,0,1,신대장,,0,1,0,0,10911,0,서울특별시 서초구 우면동 685번지,20120419,1101,신축허가,3210134,건축과,2012,1,일반,1,총괄표제부,12,11650,,20120515,16266.18,101,20150803,89.79,9797.31
2676.42,0,0,26.99,10300,우면초등학교,,0690,0,20210112,0,,0,교육연구시설,0,0,,0,0,0,0,0,0,0,,0000,,2,10000,교육연구시설,11650-100238395,10301,59.0,116503121020,0.0,0,1,신대장,서울특별시 서초구 태봉로 59,0,0,0,0,9917,0,서울특별시 서초구 우면동 690번지,,,,,,,1,일반,1,총괄표제부,13,11650,,,10738.82,53,,99.18,9836.1
3507.76,5457.46,8,31.98,10300,네이처힐 가든,,0701,0,20200623,0,,0,다세대주택,0,0,,115,0,5050.8,96,0,0,0,,0000,,16,02000,공동주택,11650-100207072,10301,60.0,116504163604,0.0,0,1,신대장,서울특별시 서초구 형촌길 60,0,22,0,0,10970,0,서울특별시 서초구 우면동 701번지,20091231,,,,,,2,집합,1,총괄표제부,14,11650,,20100308,14988.19,118,20110930,87.76,9627.64
