dlvry_id,전체배차시간,y_pred_new,KMeansCluster,AgglomerativeCluster
20230915_0000JACM,0.43333333,0.016293008643035796,1,0
20230915_0003QVZS,1.25,0.43675337028737904,0,1
20230915_0005LPFY,0.6,0.04887578054630627,1,0
20230915_0008JDHB,1.5,0.04604508951972636,1,0
20230915_0010ZBMM,0.33333333,0.04105373202983523,1,0
20230915_0012PXCC,0.45,0.09293511121631115,1,0
20230915_0013RAMJ,0.51666667,0.04767286786056302,1,0
20230915_0015RZIS,0.73333333,0.07769432609553263,1,0
20230915_0016EQLN,0.56666667,0.17383528817528515,2,2
20230915_0019UYJB,0.4,0.019968835196998762,1,0
20230915_0021MKBW,1.0,0.04057606978964342,1,0
20230915_0023BNIQ,0.35,0.023757675104303242,1,0
20230915_0023ZEJT,15.85,0.5045088717722511,3,1
20230915_0024YTFI,5.6,0.1802634938462551,2,2
20230915_0025WCSJ,0.86666667,0.4123840590493374,0,1
20230915_0035BVNP,0.83333333,0.03299490548959398,1,0
20230915_0037VLLM,0.53333333,0.21763522788444722,2,2
20230915_0039BNHB,0.73333333,0.04624082740186254,1,0
20230915_0043MQMM,0.73333333,0.13523911964967003,2,0
20230915_0044LLVQ,0.36666667,0.08460328985141587,1,0
20230915_0045CXVZ,12.05,0.1573158602448602,2,0
20230915_0048LZNT,3.25,0.09677384022415804,1,0
20230915_0049DHIF,13.23333333,0.08172351318170235,1,0
20230915_0049USRH,1.46666667,0.09488526624289213,1,0
20230915_0050QZAY,2.01666667,0.12234957207409954,2,0
20230915_0051LNBM,0.78333333,0.029597911135513313,1,0
20230915_0053EINJ,7.55,0.2658655784200537,0,2
20230915_0053QHJB,1.65,0.02484019924531328,1,0
20230915_0056HILK,1.8,0.1480412438751568,2,0
20230915_0056LRYV,2.21666667,0.036832036019828866,1,0
20230915_0058MVJD,0.9,0.10983555164515976,2,0
20230915_0059MHRT,0.85,0.3185695943893343,0,2
20230915_0062TJRB,0.15,0.04270644680307611,1,0
20230915_0067BEIU,0.36666667,0.02264269796281123,1,0
20230915_0067QWTH,0.58333333,0.15174856000084458,2,0
20230915_0068PTMZ,3.96666667,0.1588149055569204,2,0
20230915_0068ZCFH,0.46666667,0.029462583208249134,1,0
20230915_0071UKUS,0.26666667,0.034064611652229834,1,0
20230915_0073XHPS,1.75,0.056216480113311144,1,0
20230915_0077KXPU,2.7,0.022372205425527418,1,0
20230915_0077LMEN,1.23333333,0.02749333156859062,1,0
20230915_0077QBWN,0.43333333,0.02343933155007041,1,0
20230915_0078IYEE,3.95,0.37550012665558263,0,1
20230915_0079EPRH,12.93333333,0.19947342071075935,2,2
20230915_0081BCZS,0.75,0.09930307197778704,1,0
20230915_0085NWEY,0.53333333,0.06320598185440705,1,0
20230915_0087LJUA,2.25,0.12487609431011196,2,0
20230915_0088HMXS,0.4,0.04575579765021654,1,0
20230915_0089SNBZ,1.9,0.03492543955208242,1,0
20230915_0091PLYV,22.63333333,0.5498613959569018,3,1
20230915_0092UDEH,0.21666667,0.1132689018865685,2,0
20230915_0099HMDF,0.51666667,0.026618122970537755,1,0
20230915_0102QTFW,0.7,0.041847994716375916,1,0
20230915_0103LHRT,6.11666667,0.035243198786058645,1,0
20230915_0105FABD,0.83333333,0.1279634697359114,2,0
20230915_0106YJVU,0.2,0.155383798815407,2,0
20230915_0111YWEM,0.3,0.034671943032404465,1,0
20230915_0113KWSU,20.2,0.8000609317997414,3,3
20230915_0114YJJH,1.1,0.24492577452458933,2,2
20230915_0115RQPB,10.31666667,0.1813521550650861,2,2
20230915_0118TEVW,1.83333333,0.12275629196646778,2,0
20230915_0119FPHE,0.45,0.02375556617672657,1,0
20230915_0119FUMD,1.13333333,0.02006032232430606,1,0
20230915_0121ANVJ,0.33333333,0.20672999237761785,2,2
20230915_0122XEJL,0.38333333,0.05221423162659563,1,0
20230915_0124MFWT,0.81666667,0.512601430601113,3,1
20230915_0124SFDS,0.21666667,0.027172584628816016,1,0
20230915_0129CXBU,1.15,0.1638052878940107,2,0
20230915_0132QRCN,6.83333333,0.12075885576230842,2,0
20230915_0133ZBFC,0.6,0.06175398433174278,1,0
20230915_0133ZWIX,1.45,0.1588195023640471,2,0
20230915_0135PZEQ,8.5,0.21320168243551252,2,2
20230915_0136KRWE,7.61666667,0.3579878502659718,0,1
20230915_0136VFWV,0.28333333,0.07184145323929075,1,0
20230915_0143ACTS,5.7,0.1939816426629486,2,2
20230915_0143LICA,1.9,0.03968515140088496,1,0
20230915_0144XISF,24.46666667,0.14798008767788393,2,0
20230915_0146BNHS,0.23333333,0.0288369921668832,1,0
20230915_0146UXSM,0.43333333,0.08412450852529484,1,0
20230915_0147XLLD,1.85,0.38147519281217396,0,1
20230915_0149LKDL,0.61666667,0.08933663219214165,1,0
20230915_0149UPTT,1.7,0.3253492838872511,0,2
20230915_0151KNXU,1.06666667,0.18257494407419034,2,2
20230915_0152ATYY,1.05,0.12192821855879318,2,0
20230915_0155SYZX,0.43333333,0.16250189653085556,2,0
20230915_0156NHUU,1.16666667,0.2183032252211794,2,2
20230915_0156YADL,4.33333333,0.10170118014906622,1,0
20230915_0157JLUR,1.7,0.08236602973346582,1,0
20230915_0159CXTP,2.41666667,0.027805627014843445,1,0
20230915_0160EQYW,1.01666667,0.045200696730783245,1,0
20230915_0160HXRA,0.83333333,0.03850710245832803,1,0
20230915_0160JECX,0.51666667,0.015172346499575615,1,0
20230915_0160ZNXQ,0.36666667,0.14347716027722476,2,0
20230915_0162SEZY,0.73333333,0.2391421174240808,2,2
20230915_0164TEXX,0.85,0.30463247646981856,0,2
20230915_0164XPFA,1.08333333,0.015631514671417792,1,0
20230915_0165LNDT,9.0,0.3404469021766941,0,1
20230915_0165NJZQ,0.45,0.0313376523270119,1,0
20230915_0166CZNM,6.31666667,0.08443980410697169,1,0
20230915_0166VKTT,1.15,0.023909580595475214,1,0
20230915_0168BSYD,2.31666667,0.06667637579110121,1,0
20230915_0168INXM,2.11666667,0.18019473987566054,2,2
20230915_0168JMRY,0.41666667,0.0505049021311392,1,0
20230915_0168UTZQ,3.75,0.5459623607917757,3,1
20230915_0171DIBP,0.5,0.13122748340175283,2,0
20230915_0173NVVZ,0.41666667,0.06268172383420122,1,0
20230915_0173QWTP,0.93333333,0.055860030488402865,1,0
20230915_0175JIFI,1.0,0.064488486779473,1,0
20230915_0178AXMB,1.11666667,0.026631832295013497,1,0
20230915_0178HDXQ,0.55,0.1154549938420833,2,0
20230915_0178YWIZ,2.33333333,0.15905540918022168,2,0
20230915_0179NTVQ,4.1,0.050032858324387836,1,0
20230915_0183TPCW,0.31666667,0.03693131071770808,1,0
20230915_0188SKFC,1.26666667,0.07883012151839432,1,0
20230915_0189SBJI,0.55,0.027279441086607195,1,0
20230915_0190LWKZ,0.83333333,0.09800995095375009,1,0
20230915_0193EQFW,1.03333333,0.03172940872791275,1,0
20230915_0193FNSW,0.43333333,0.4072433616153954,0,1
20230915_0193XIKN,0.4,0.14544102151663382,2,0
20230915_0194LMDB,2.1,0.0253063687310171,1,0
20230915_0197AUAL,0.5,0.02055466861044683,1,0
20230915_0198NZLP,0.16666667,0.0366150217406635,1,0
20230915_0201USLE,2.86666667,0.09991508432575537,1,0
20230915_0202ZYUI,0.31666667,0.035556990275317786,1,0
20230915_0206KNLY,3.5,0.04719755602722445,1,0
20230915_0208AADY,1.25,0.1399925123072265,2,0
20230915_0212NERC,0.4,0.251406006061006,2,2
20230915_0213KHEW,1.55,0.08135742823154368,1,0
20230915_0213LCYW,1.56666667,0.06045329943696726,1,0
20230915_0213ZNKK,0.28333333,0.05860717635767054,1,0
20230915_0216FJFZ,0.83333333,0.05509378798313418,1,0
20230915_0219QTZB,0.31666667,0.0319378257625085,1,0
20230915_0224ELMD,0.9,0.07676878110189023,1,0
20230915_0226JJCK,0.73333333,0.09377523783066335,1,0
20230915_0226LUUR,1.9,0.34437939605168877,0,1
20230915_0228EUNP,1.23333333,0.03404243980044128,1,0
20230915_0231FXUN,0.33333333,0.031194466000502675,1,0
20230915_0233FQQH,2.31666667,0.3142461057318685,0,2
20230915_0234JWDS,3.15,0.03494102686896688,1,0
20230915_0237ABHV,4.6,0.6207300968876204,3,1
20230915_0239LJPZ,0.46666667,0.04425178650541056,1,0
20230915_0239TPBI,1.06666667,0.01571843837625236,1,0
20230915_0240IBPV,0.55,0.03952469278145426,1,0
20230915_0242VTZK,6.0,0.10725683811714161,1,0
20230915_0245CKQP,0.48333333,0.030373330045454408,1,0
