지점,지점명,일시,기온(°C),강수량(mm)
108,서울,2023-09-14 00:00,19.6,
108,서울,2023-09-14 01:00,19.6,
108,서울,2023-09-14 02:00,19.5,
108,서울,2023-09-14 03:00,19.4,
108,서울,2023-09-14 04:00,19.4,
108,서울,2023-09-14 05:00,19.3,
108,서울,2023-09-14 06:00,19.3,
108,서울,2023-09-14 07:00,19.3,
108,서울,2023-09-14 08:00,20.1,
108,서울,2023-09-14 09:00,22.7,
108,서울,2023-09-14 10:00,24.3,
108,서울,2023-09-14 11:00,25.9,
108,서울,2023-09-14 12:00,27,
108,서울,2023-09-14 13:00,26.7,
108,서울,2023-09-14 14:00,26.8,
108,서울,2023-09-14 15:00,26.5,
108,서울,2023-09-14 16:00,26.5,
108,서울,2023-09-14 17:00,26,
108,서울,2023-09-14 18:00,25.4,
108,서울,2023-09-14 19:00,24.8,
108,서울,2023-09-14 20:00,24.2,
108,서울,2023-09-14 21:00,23.7,
108,서울,2023-09-14 22:00,23.3,
108,서울,2023-09-14 23:00,23.1,
108,서울,2023-09-15 00:00,23,
108,서울,2023-09-15 01:00,22.8,
108,서울,2023-09-15 02:00,22.5,
108,서울,2023-09-15 03:00,21.8,.1
108,서울,2023-09-15 04:00,21.8,0
108,서울,2023-09-15 05:00,21.7,
108,서울,2023-09-15 06:00,20.7,.7
108,서울,2023-09-15 07:00,20.4,.2
108,서울,2023-09-15 08:00,20.3,.7
108,서울,2023-09-15 09:00,20.6,.2
108,서울,2023-09-15 10:00,21.2,.1
108,서울,2023-09-15 11:00,21.8,0
108,서울,2023-09-15 12:00,22.2,.1
108,서울,2023-09-15 13:00,22.4,0
108,서울,2023-09-15 14:00,23.2,0
108,서울,2023-09-15 15:00,23.5,0
108,서울,2023-09-15 16:00,24.1,0
108,서울,2023-09-15 17:00,24,
108,서울,2023-09-15 18:00,23.7,
108,서울,2023-09-15 19:00,23.5,
108,서울,2023-09-15 20:00,23.4,
108,서울,2023-09-15 21:00,23.2,
108,서울,2023-09-15 22:00,22.9,
108,서울,2023-09-15 23:00,22.6,0
108,서울,2023-09-16 00:00,22.6,0
108,서울,2023-09-16 01:00,22.4,.3
108,서울,2023-09-16 02:00,22.2,0
108,서울,2023-09-16 03:00,22,
108,서울,2023-09-16 04:00,22.1,0
108,서울,2023-09-16 05:00,22.1,0
108,서울,2023-09-16 06:00,22.3,
108,서울,2023-09-16 07:00,22.4,
108,서울,2023-09-16 08:00,22.8,
108,서울,2023-09-16 09:00,23.5,
108,서울,2023-09-16 10:00,23.8,
108,서울,2023-09-16 11:00,24.7,
108,서울,2023-09-16 12:00,25.4,
108,서울,2023-09-16 13:00,26.3,
108,서울,2023-09-16 14:00,26.4,
108,서울,2023-09-16 15:00,26.5,0
108,서울,2023-09-16 16:00,26.2,
108,서울,2023-09-16 17:00,25.9,0
108,서울,2023-09-16 18:00,25.2,.2
108,서울,2023-09-16 19:00,24.6,.4
108,서울,2023-09-16 20:00,24.4,0
108,서울,2023-09-16 21:00,24.1,.1
108,서울,2023-09-16 22:00,23.1,28
108,서울,2023-09-16 23:00,22.7,.9
108,서울,2023-09-17 00:00,22.5,8.8
108,서울,2023-09-17 01:00,22.3,3
108,서울,2023-09-17 02:00,22.3,0
108,서울,2023-09-17 03:00,22.2,0
108,서울,2023-09-17 04:00,22.1,0
108,서울,2023-09-17 05:00,22.2,
108,서울,2023-09-17 06:00,22.2,
108,서울,2023-09-17 07:00,22.3,
108,서울,2023-09-17 08:00,22.6,
108,서울,2023-09-17 09:00,23.3,
108,서울,2023-09-17 10:00,24.2,
108,서울,2023-09-17 11:00,25.4,
108,서울,2023-09-17 12:00,26.3,
108,서울,2023-09-17 13:00,27,
108,서울,2023-09-17 14:00,26.4,
108,서울,2023-09-17 15:00,27.6,
108,서울,2023-09-17 16:00,27.8,
108,서울,2023-09-17 17:00,27.7,
108,서울,2023-09-17 18:00,27.3,
108,서울,2023-09-17 19:00,26.3,
108,서울,2023-09-17 20:00,25.6,
108,서울,2023-09-17 21:00,24.8,
108,서울,2023-09-17 22:00,24.5,
108,서울,2023-09-17 23:00,24,
