brms_rider_id,birth,delivery_method,first_available_date,business_start_day,is_recom,insurance_type,gender,recommender_rider_account_id,rider_no,수행건수,실제수행기간,최다수행시각,최다수행시각.1,평일/주말선호,2순위평일/주말,최다수행요일,2순위수행요일,최다기상타입,주요수행service_type,주요수행allocated_type,주요수행method,최다수행전달거리,2순위수행전달거리,기본배달비_중간값,총배달비_중간값,last_working_day,not_working,첫운행이후,미운행기간,첫운행이후기간,outcome
0003198AAE6FE85D1F86B2D4D45F992CFAE1D3E22256C0ED8787E28BD9173B2D,1990,BIKE,2023.9.8,2023.9.14,0,BIKE_ON_DEMAND_HYUNDAI,MAN,NA,0003198AAE6FE85D1F86B2D4D45F992CFAE1D3E22256C0ED8787E28BD9173B2D,48,4.00 ,09_11,13_17,WEEKDAY,WEEKEND,THU,TUE,0,SINGLE,0,BIKE,2000,2500.0,3820,4500,2023.9.19,24,29,30일 이하,30일 이하,0
001E1E700EBC869D19DB54B950E506910250998C3F04467E7032D394EE7771DF,1990,THROTTLE_BICYCLES,2023.9.4,2023.9.8,0,ETC_ON_DEMAND,MAN,NA,001E1E700EBC869D19DB54B950E506910250998C3F04467E7032D394EE7771DF,52,5.00 ,13_17,20_26,WEEKEND,WEEKDAY,SUN,SAT,0,STACK,1,THROTTLE_BICYCLES,1500,500.0,3500,3740,2023.10.10,3,35,10일 이하,40일 이하,0
002CA7348056B72CD2701D3FDD1F54BB4C68F90D5FFD068933F5791EBB9927EB,1970,BIKE,2023.8.25,2023.8.25,1,MOTOR_BIKE_ON_DEMAND,MAN,81F52EE0E9B3A6CCB5970462759D032C64284878C1F9C9D7A3359C40FB23C9A2,002CA7348056B72CD2701D3FDD1F54BB4C68F90D5FFD068933F5791EBB9927EB,47,6.00 ,17_20,09_11,WEEKEND,WEEKDAY,FRI,TUE,0,STACK,1,BIKE,2000,500.0,3440,4640,2023.10.11,2,49,10일 이하,50일 이하,0
002F526ED7B1B846D8B0CD0602B30F2FD387A4ADD3366DC5BF0B30473DFFBA00,1980,CAR,2023.8.22,2023.8.23,1,PERSONAL,WOMAN,71634D4A6C870E73D6D91FC7348F95677729CACD4350F3CE24AABBEBBCD166B0,002F526ED7B1B846D8B0CD0602B30F2FD387A4ADD3366DC5BF0B30473DFFBA00,3,2.00 ,13_17,17_20,WEEKDAY,NA,WED,MON,1,SINGLE,0,CAR,5000,3000.0,6140,7140,2023.10.10,3,51,10일 이하,60일 이하,0
003AB060B66F6B62CAC2D2CBAE9DA4DD9EA5E7A123FBA59E94855367CF8DD16D,1980,THROTTLE_BICYCLES,2023.9.25,2023.9.25,0,ETC_ON_DEMAND,WOMAN,NA,003AB060B66F6B62CAC2D2CBAE9DA4DD9EA5E7A123FBA59E94855367CF8DD16D,2,1.00 ,17_20,NA,WEEKDAY,NA,MON,NA,1,SINGLE,0,THROTTLE_BICYCLES,1500,NA,3500,4500,2023.9.25,18,18,20일 이하,20일 이하,0
0044CA06DEB0842170A8386C5FBACEDC4280EFFCDF5793C1840C7232C569B5B4,1950,PAS_BICYCLES,2023.8.16,2023.8.19,0,ETC_ON_DEMAND,WOMAN,NA,0044CA06DEB0842170A8386C5FBACEDC4280EFFCDF5793C1840C7232C569B5B4,28,7.00 ,13_17,20_26,WEEKDAY,WEEKEND,WED,SUN,0,SINGLE,0,PAS_BICYCLES,1000,2000.0,3500,4140,2023.10.2,11,55,20일 이하,60일 이하,0
004D24E429235991E1E4606F9ECCB9059586558035F0F40041A09D07D68B4DD0,1980,BIKE,2023.8.29,2023.8.29,1,MOTOR_BIKE_ON_DEMAND,MAN,E2F640DD389185412C3A4332F50B26062E5F9D546F242FED8047EAE6A022C70E,004D24E429235991E1E4606F9ECCB9059586558035F0F40041A09D07D68B4DD0,47,5.00 ,13_17,17_20,WEEKDAY,WEEKEND,MON,THU,0,SINGLE,1,BIKE,1500,2000.0,3720,5100,2023.10.11,2,45,10일 이하,50일 이하,0
004D5178565E783E46FBACF3EBACC1FAC01352C994F9C345D53A427D3C7739F8,1990,CAR,2023.8.20,2023.8.20,0,CAR_ON_DEMAND,WOMAN,NA,004D5178565E783E46FBACF3EBACC1FAC01352C994F9C345D53A427D3C7739F8,24,5.00 ,09_11,20_26,WEEKDAY,WEEKEND,SUN,THU,0,SINGLE,1,CAR,1000,3000.0,3820,4300,2023.9.1,42,54,50일 이하,60일 이하,1
006994F0CA7FC116E1C428846CB261D1BBD9708EE005B3DBF0620054BE1B59FF,1970,WALK,2023.8.29,2023.8.31,1,NOT_REQUIRED,WOMAN,ED7F0FB74BFBEEEC5371024F52E0BE05FCC90E55BD7FFA968962E943A785B724,006994F0CA7FC116E1C428846CB261D1BBD9708EE005B3DBF0620054BE1B59FF,3,2.00 ,17_20,NA,WEEKDAY,NA,TUE,THU,0,STACK,1,WALK,500,0.0,2550,3250,2023.9.22,21,43,30일 이하,50일 이하,0
007B2A003CEFF393A872C2FEFDCCF14E1CE742126BDC07C0EBF2DCF0CDA95345,2000,THROTTLE_BICYCLES,2023.8.26,2023.8.26,0,ETC_ON_DEMAND,MAN,NA,007B2A003CEFF393A872C2FEFDCCF14E1CE742126BDC07C0EBF2DCF0CDA95345,6,1.00 ,17_20,13_17,WEEKEND,NA,SAT,NA,0,SINGLE,1,THROTTLE_BICYCLES,500,2500.0,2980,4480,2023.8.26,48,48,50일 이하,50일 이하,1
