shop_no,addr,floor,rgn1_nm,rgn2_nm,rgn3_nm,shop_category,latitude,longitude,PICK
13806926,서울특별시 서초구 서초중앙로 107,1,서울특별시,서초구,서초동,CAFE,37.49143577,127.01376993,1
13826077,서울특별시 서초구 태봉로 62,1,서울특별시,서초구,우면동,ZZIM_TANG,37.46405027,127.02499191,1
13860393,서울특별시 서초구 사임당로17길 68,1,서울특별시,서초구,서초동,CAFE,37.491908,127.01696407,1
13864849,서울특별시 서초구 반포대로 105,2,서울특별시,서초구,서초동,CAFE,37.48951923,127.00838159,1
13888600,서울특별시 서초구 동광로3길 71,1,서울특별시,서초구,방배동,CAFE,37.494249,126.984344,1
13905401,서울특별시 서초구 양재천로13길 16,2,서울특별시,서초구,양재동,CHINESE,37.47554914,127.03674051,1
13909190,서울특별시 서초구 방배천로2길 25,2,서울특별시,서초구,방배동,JAPANESE,37.47704802,126.9841897,1
13916860,서울특별시 서초구 효령로31길 81,1,서울특별시,서초구,방배동,MEAT,37.48457511,126.99457743,1
13927534,서울특별시 서초구 청두곶길 6-1,1,서울특별시,서초구,방배동,JAPANESE,37.47721469,126.98538403,1
13936386,서울특별시 서초구 방배로13길 28,1,서울특별시,서초구,방배동,PIZZA,37.48279755,126.99491078,1
13945020,서울특별시 서초구 사평대로 205,1,서울특별시,서초구,반포동,CHINESE,37.50316823799563,127.00482164074585,1
13953772,서울특별시 서초구 방배로 269,1,서울특별시,서초구,방배동,BAEKBAN,37.49665692,126.98774438,1
13963009,서울특별시 서초구 남부순환로356길 26,2,서울특별시,서초구,양재동,CHINESE,37.48371488,127.03787907,1
13971867,서울특별시 서초구 주흥길 72-2,1,서울특별시,서초구,반포동,CAFE,37.50893384,127.01921339,1
13981065,서울특별시 서초구 강남대로27길 7-21,1,서울특별시,서초구,양재동,CAFE,37.47827107,127.03804587,1
13991080,서울특별시 서초구 방배천로 11,4,서울특별시,서초구,방배동,WESTERN,37.4776868,126.98221764,1
14010484,서울특별시 서초구 서초중앙로 119,2,서울특별시,서초구,서초동,CAFE,37.49243565,127.01360325,1
14015244,서울특별시 서초구 서초대로54길 37,1,서울특별시,서초구,서초동,MEAT,37.49257458,127.01649188,1
14038991,서울특별시 서초구 반포대로21길 17,-1,서울특별시,서초구,서초동,ZZIM_TANG,37.48796386,127.00857606,1
14055056,서울특별시 서초구 서운로11길 3,1,서울특별시,서초구,서초동,JAPANESE,37.48782534,127.02826872,1
14056697,서울특별시 서초구 서초대로 316,1,서울특별시,서초구,서초동,BURGER,37.49404663,127.01621408,1
14072423,서울특별시 서초구 효령로31길 74,1,서울특별시,서초구,방배동,MEAT,37.48432515,126.99502184,1
14076511,서울특별시 서초구 반포대로 121,-1,서울특별시,서초구,서초동,CAFE,37.49071353,127.00763162,1
14086539,서울특별시 서초구 방배중앙로 196,3,서울특별시,서초구,방배동,ASIAN,37.49629582,126.98568902,1
10850488,서울특별시 서초구 반포동,1,서울특별시,서초구,반포동,BAEKBAN,37.5043381,127.0008505,1
10919042,서울특별시 서초구 방배동,1,서울특별시,서초구,방배동,CAFE,37.49450875270533,126.98314183375597,1
10922946,서울특별시 서초구 강남대로 421,-1,서울특별시,서초구,서초동,MEAT,37.50007388,127.02615745,1
12005938,서울특별시 서초구 동광로 25,1,서울특별시,서초구,방배동,CAFE,37.49122581077027,126.98562572914558,1
12039257,서울특별시 서초구 반포대로22길 38,1,서울특별시,서초구,서초동,CAFE,37.48974147,127.01090913,1
13069389,서울특별시 서초구 서초동 1327,1,서울특별시,서초구,서초동,CAFE,37.4956022,127.02707416,1
13108081,서울특별시 서초구 양재동 333-15,1,서울특별시,서초구,양재동,CAFE,37.46993878,127.04240682,1
13110157,서울특별시 서초구 강남대로 265,1,서울특별시,서초구,서초동,CAFE,37.4870755,127.03237947,1
13220123,서울특별시 서초구 반포동 58-6,0,서울특별시,서초구,반포동,ZZIM_TANG,37.50354541,127.00968663,1
13263043,서울특별시 서초구 잠원동 14-3,1,서울특별시,서초구,잠원동,ZZIM_TANG,37.51607187,127.01776887,1
13383069,서울특별시 서초구 양재동 267-3,1,서울특별시,서초구,양재동,ZZIM_TANG,37.47599365,127.04332324,1
13395617,서울특별시 서초구 서초동 1527-7,1,서울특별시,서초구,서초동,CAFE,37.48366996582287,127.0083403874344,1
13404175,서울특별시 서초구 양재동 267-4,1,서울특별시,서초구,양재동,ASIAN,37.47607698,127.04343433,1
13406002,서울특별시 서초구 서초동 1364-47,1,서울특별시,서초구,서초동,SNACK,37.48496462,127.03165738,1
13420923,서울특별시 서초구 강남대로 321,1,서울특별시,서초구,서초동,BURGER,37.49168974794728,127.0302096632294,1
13762410,서울특별시 서초구 강남대로101길 38,1,서울특별시,서초구,잠원동,JAPANESE,37.51748838,127.01774106,1
13780128,서울특별시 서초구 서초대로54길 32,1,서울특별시,서초구,서초동,CHINESE,37.49279677,127.01613079,1
13799924,서울특별시 서초구 법원로2길 23,1,서울특별시,서초구,서초동,PIZZA,37.49443542,127.01324212,1
13801116,서울특별시 서초구 사임당로 31,1,서울특별시,서초구,서초동,CHICKEN,37.48821392,127.01349227,1
13841586,서울특별시 서초구 논현로31길 64,1,서울특별시,서초구,양재동,WESTERN,37.48013201,127.04029562,1
13849448,서울특별시 서초구 방배로 87,1,서울특별시,서초구,방배동,CAFE,37.48215877,126.99691062,1
13855107,서울특별시 서초구 강남대로8길 46,1,서울특별시,서초구,양재동,BAEKBAN,37.46891114,127.04324011,1
13884722,서울특별시 서초구 신반포로33길 27,2,서울특별시,서초구,잠원동,PIZZA,37.51035018,127.01001974,1
13901036,서울특별시 서초구 잠원로 51,-1,서울특별시,서초구,잠원동,JAPANESE,37.50923915,127.0074089,1
13911003,서울 서초구 동산로2길 17 (양재동),1,서울특별시,서초구,양재동,JOKBAL,37.469114,127.042173,1
13911979,서울특별시 서초구 사임당로 178,-1,서울특별시,서초구,서초동,BAEKBAN,37.49221374,127.0290463,1
13972084,서울특별시 서초구 잠원로 112,1,서울특별시,서초구,잠원동,CAFE,37.51379417,127.00729767,1
13982866,서울특별시 서초구 동작대로 138,1,서울특별시,서초구,방배동,BURGER,37.48893551,126.98274505,1
14017211,서울특별시 서초구 사임당로 158,1,서울특별시,서초구,서초동,CAFE,37.49185263,127.02715759,1
13569994,서울특별시 서초구 방배동 1429,1,서울특별시,서초구,방배동,BAEKBAN,37.48726906,126.98430051,1
13577130,서울특별시 서초구 방배동 909-1,2,서울특별시,서초구,방배동,SNACK,37.482174,126.996404,1
13588409,서울특별시 서초구 서초동 1678-2,-1,서울특별시,서초구,서초동,WESTERN,37.49521322,127.01965818,1
13609878,서울특별시 서초구 서초동 1309-1,1,서울특별시,서초구,서초동,MEAT,37.50204584,127.02399092,1
13618844,서울특별시 서초구 서초동 1360-13,1,서울특별시,서초구,서초동,ZZIM_TANG,37.48693662,127.03174065,1
13624107,서울특별시 서초구 방배동 910-8,1,서울특별시,서초구,방배동,SNACK,37.48226987,126.99674396,1
13635343,서울특별시 서초구 반포동 18-4,-1,서울특별시,서초구,반포동,BAEKBAN,37.50304521,126.99566014,1
13685444,서울특별시 서초구 사평대로58길 6,-1,서울특별시,서초구,서초동,CHICKEN,37.50343455,127.02349093,1
13686187,서울특별시 서초구 서초동 1585-12,1,서울특별시,서초구,서초동,MEAT,37.48465875,127.01196473,1
13698138,서울특별시 서초구 서초중앙로 125,-1,서울특별시,서초구,서초동,JAPANESE,37.49299114,127.01340881,1
13713126,서울특별시 서초구 사평대로57길 96,1,서울특별시,서초구,반포동,CAFE,37.50843395,127.0219076,1
13714942,서울특별시 서초구 바우뫼로6길 12,1,서울특별시,서초구,우면동,JOKBAL,37.46968851,127.02576946,1
13731920,서울특별시 서초구 사평대로57길 13,1,서울특별시,서초구,반포동,SNACK,37.50487882,127.02310204,1
13738752,서울특별시 서초구 방배로 113,1,서울특별시,서초구,방배동,CAFE,37.48415852,126.99560513,1
13742958,서울특별시 서초구 바우뫼로 31,-1,서울특별시,서초구,우면동,JAPANESE,37.4710217,127.02596384,1
13785948,서울특별시 서초구 서초중앙로20길 24,1,서울특별시,서초구,서초동,SNACK,37.49224127,127.01540865,1
13787232,서울특별시 서초구 동산로14길 2,1,서울특별시,서초구,양재동,CAFE,37.47196639,127.04612865,1
13789874,서울특별시 서초구 바우뫼로 23,1,서울특별시,서초구,우면동,CAFE,37.47041064,127.02524171,1
13798528,서울특별시 서초구 사평대로 205,2,서울특별시,서초구,반포동,CHINESE,37.50448971,127.00782566,1
13811399,서울특별시 서초구 방배중앙로25길 16,1,서울특별시,서초구,방배동,BAEKBAN,37.49404607,126.9852169,1
13824206,서울특별시 서초구 서초중앙로24길 7,1,서울특별시,서초구,서초동,CAFE,37.49479651,127.01446422,1
13836487,서울특별시 서초구 강남대로 221,1,서울특별시,서초구,양재동,CAFE,37.48357594,127.03421274,1
13221493,서울특별시 서초구 강남대로 305,1,서울특별시,서초구,서초동,JAPANESE,37.490243681894285,127.03083338788517,1
13242077,서울특별시 서초구 잠원동 26-7,1,서울특별시,서초구,잠원동,JAPANESE,37.51448874,127.01860217,1
13288841,서울특별시 서초구 방배동 852-16,1,서울특별시,서초구,방배동,ASIAN,37.48882458,126.99249417,1
13328669,서울특별시 서초구 방배동 812-25,1,서울특별시,서초구,방배동,BAEKBAN,37.49124094,126.99102201,1
13393050,서울특별시 서초구 양재동 273-11,1,서울특별시,서초구,양재동,JAPANESE,37.4757437,127.04412872,1
13402226,서울특별시 서초구 서초동 1362-21,1,서울특별시,서초구,서초동,CAFE,37.48521461,127.03246285,1
13407902,서울특별시 서초구 서초동 1459-9,1,서울특별시,서초구,서초동,MEAT,37.4838533,127.01260359,1
13412379,서울특별시 서초구 양재동 13-9,1,서울특별시,서초구,양재동,MEAT,37.48327046,127.03621257,1
13954880,서울특별시 서초구 양재천로 135-8,1,서울특별시,서초구,양재동,CAFE,37.479223,127.041978,1
14000851,서울특별시 서초구 서초대로38길 12,-1,서울특별시,서초구,서초동,BURGER,37.49018577,127.00560404,1
14035085,서울특별시 서초구 강남대로30길 17,1,서울특별시,서초구,양재동,MEAT,37.48202064,127.03810132,1
14044794,서울특별시 서초구 방배중앙로27길 38,1,서울특별시,서초구,방배동,CAFE,37.49532367,126.98352258,1
14057611,서울특별시 서초구 방배중앙로 163,1,서울특별시,서초구,방배동,ZZIM_TANG,37.49362947,126.9861335,1
14098307,서울특별시 서초구 방배로34길 4,1,서울특별시,서초구,방배동,CAFE,37.49226861,126.99127196,1
14115253,서울특별시 서초구 서초대로74길 49,-1,서울특별시,서초구,서초동,CAFE,37.49340802,127.02812968,1
14122286,서울특별시 서초구 서초중앙로 125,-1,서울특별시,서초구,서초동,BAEKBAN,37.49299114,127.01340881,1
14123594,서울특별시 서초구 법원로3길 6-1,-1,서울특별시,서초구,서초동,BAEKBAN,37.49379654,127.00960358,1
14177843,서울특별시 서초구 신반포로 329,1,서울특별시,서초구,잠원동,SNACK,37.51079474,127.01949109,1
14181004,서울특별시 서초구 서초중앙로 105,2,서울특별시,서초구,서초동,CHINESE,37.49101916,127.01385327,1
14212657,서울특별시 서초구 강남대로83길 64-3,1,서울특별시,서초구,반포동,ZZIM_TANG,37.50468436,127.02057449,1
13839228,서울특별시 서초구 서초대로54길 27,1,서울특별시,서초구,서초동,CAFE,37.49301897,127.01626966,1
13851751,서울특별시 서초구 사임당로 158,-1,서울특별시,서초구,서초동,CAFE,37.49185263,127.02715759,1
13852189,서울특별시 서초구 강남대로 321,1,서울특별시,서초구,서초동,BURGER,37.49154716,127.0299629,1
13859084,서울특별시 서초구 서초대로 108,1,서울특별시,서초구,방배동,CAFE,37.48751921,126.99418849,1
13889498,서울특별시 서초구 과천대로 946,1,서울특별시,서초구,방배동,CAFE,37.47499267,126.98213439,1
13901841,서울특별시 서초구 강남대로95길 19-4,1,서울특별시,서초구,잠원동,BAEKBAN,37.51357218,127.01874108,1
13957365,서울특별시 서초구 효령로 330-1,1,서울특별시,서초구,서초동,ZZIM_TANG,37.48582543,127.0203806,1
13957490,서울특별시 서초구 강남대로8길 65-1,1,서울특별시,서초구,양재동,CAFE,37.46960551,127.04382337,1
13966025,서울특별시 서초구 방배로 91,1,서울특별시,서초구,방배동,BURGER,37.48240874,126.99671618,1
13973731,서울특별시 서초구 서초중앙로 18,-1,서울특별시,서초구,서초동,MEAT,37.48404781,127.01735315,1
13977674,서울특별시 서초구 효령로53길 67,1,서울특별시,서초구,서초동,CAFE,37.487611,127.01273,1
13998452,서울특별시 서초구 양재대로2길 109,0,서울특별시,서초구,우면동,CAFE,37.45649538,127.01340984,1
14031863,서울특별시 서초구 강남대로83길 48-3,1,서울특별시,서초구,반포동,BAEKBAN,37.50518431,127.02112999,1
14055194,서울특별시 서초구 동산로13길 48,1,서울특별시,서초구,양재동,CHICKEN,37.47363282,127.04385103,1
14071537,서울특별시 서초구 중앙로 582,1,서울특별시,서초구,우면동,CAFE,37.45713423,127.01529854,1
10822921,서울특별시 서초구 방배천로 62,1,서울특별시,서초구,방배동,WESTERN,37.48207519,126.98280079,1
10838585,서울특별시 서초구 강남대로 243,1,서울특별시,서초구,서초동,CHICKEN,37.48516,127.0333006,1
13040250,서울특별시 서초구 반포동 739-28,1,서울특별시,서초구,반포동,PIZZA,37.50457329,127.02215769,1
13054203,서울특별시 서초구 방배로 103,1,서울특별시,서초구,방배동,CAFE,37.48326974,126.9961051,1
