"shop_no","addr","floor","rgn1_nm","rgn2_nm","rgn3_nm","shop_category","latitude","longitude","PICK","건물용도명_2"
13806926,"서울특별시 서초구 서초중앙로 107",1,"서울특별시","서초구","서초동","CAFE",37.49143577,127.0137699,1,"근린생활시설"
13826077,"서울특별시 서초구 태봉로 62",1,"서울특별시","서초구","우면동","ZZIM_TANG",37.46405027,127.0249919,1,"일반상점"
13860393,"서울특별시 서초구 사임당로17길 68",1,"서울특별시","서초구","서초동","CAFE",37.491908,127.0169641,1,"일반음식점"
13864849,"서울특별시 서초구 반포대로 105",2,"서울특별시","서초구","서초동","CAFE",37.48951923,127.0083816,1,"NA"
13888600,"서울특별시 서초구 동광로3길 71",1,"서울특별시","서초구","방배동","CAFE",37.494249,126.984344,1,"공동주택"
13905401,"서울특별시 서초구 양재천로13길 16",2,"서울특별시","서초구","양재동","CHINESE",37.47554914,127.0367405,1,"업무시설"
13909190,"서울특별시 서초구 방배천로2길 25",2,"서울특별시","서초구","방배동","JAPANESE",37.47704802,126.9841897,1,"일반음식점"
13916860,"서울특별시 서초구 효령로31길 81",1,"서울특별시","서초구","방배동","MEAT",37.48457511,126.9945774,1,"공동주택"
13927534,"서울특별시 서초구 청두곶길 6-1",1,"서울특별시","서초구","방배동","JAPANESE",37.47721469,126.985384,1,"일반상점"
13936386,"서울특별시 서초구 방배로13길 28",1,"서울특별시","서초구","방배동","PIZZA",37.48279755,126.9949108,1,"NA"
13945020,"서울특별시 서초구 사평대로 205",1,"서울특별시","서초구","반포동","CHINESE",37.50316824,127.0048216,1,"NA"
13953772,"서울특별시 서초구 방배로 269",1,"서울특별시","서초구","방배동","BAEKBAN",37.49665692,126.9877444,1,"일반상점"
13963009,"서울특별시 서초구 남부순환로356길 26",2,"서울특별시","서초구","양재동","CHINESE",37.48371488,127.0378791,1,"일반음식점"
13971867,"서울특별시 서초구 주흥길 72-2",1,"서울특별시","서초구","반포동","CAFE",37.50893384,127.0192134,1,"근린생활시설"
13981065,"서울특별시 서초구 강남대로27길 7-21",1,"서울특별시","서초구","양재동","CAFE",37.47827107,127.0380459,1,"업무시설"
13991080,"서울특별시 서초구 방배천로 11",4,"서울특별시","서초구","방배동","WESTERN",37.4776868,126.9822176,1,"아파트"
14010484,"서울특별시 서초구 서초중앙로 119",2,"서울특별시","서초구","서초동","CAFE",37.49243565,127.0136033,1,NA
14015244,"서울특별시 서초구 서초대로54길 37",1,"서울특별시","서초구","서초동","MEAT",37.49257458,127.0164919,1,"교육시설"
14038991,"서울특별시 서초구 반포대로21길 17",-1,"서울특별시","서초구","서초동","ZZIM_TANG",37.48796386,127.0085761,1,NA
14055056,"서울특별시 서초구 서운로11길 3",1,"서울특별시","서초구","서초동","JAPANESE",37.48782534,127.0282687,1,NA
14056697,"서울특별시 서초구 서초대로 316",1,"서울특별시","서초구","서초동","BURGER",37.49404663,127.0162141,1,"업무시설"
14072423,"서울특별시 서초구 효령로31길 74",1,"서울특별시","서초구","방배동","MEAT",37.48432515,126.9950218,1,"공동주택"
14076511,"서울특별시 서초구 반포대로 121",-1,"서울특별시","서초구","서초동","CAFE",37.49071353,127.0076316,1,"NA"
14086539,"서울특별시 서초구 방배중앙로 196",3,"서울특별시","서초구","방배동","ASIAN",37.49629582,126.985689,1,"일반음식점"
10850488,"서울특별시 서초구 반포동",1,"서울특별시","서초구","반포동","BAEKBAN",37.5043381,127.0008505,1,NA
10919042,"서울특별시 서초구 방배동",1,"서울특별시","서초구","방배동","CAFE",37.49450875,126.9831418,1,NA
10922946,"서울특별시 서초구 강남대로 421",-1,"서울특별시","서초구","서초동","MEAT",37.50007388,127.0261575,1,"근린생활시설"
12005938,"서울특별시 서초구 동광로 25",1,"서울특별시","서초구","방배동","CAFE",37.49122581,126.9856257,1,"공동주택"
12039257,"서울특별시 서초구 반포대로22길 38",1,"서울특별시","서초구","서초동","CAFE",37.48974147,127.0109091,1,"공동주택"
13069389,"서울특별시 서초구 서초동 1327",1,"서울특별시","서초구","서초동","CAFE",37.4956022,127.0270742,1,"오피스텔"
13108081,"서울특별시 서초구 양재동 333-15",1,"서울특별시","서초구","양재동","CAFE",37.46993878,127.0424068,1,NA
13110157,"서울특별시 서초구 강남대로 265",1,"서울특별시","서초구","서초동","CAFE",37.4870755,127.0323795,1,"NA"
13220123,"서울특별시 서초구 반포동 58-6",0,"서울특별시","서초구","반포동","ZZIM_TANG",37.50354541,127.0096866,1,"교육시설"
13263043,"서울특별시 서초구 잠원동 14-3",1,"서울특별시","서초구","잠원동","ZZIM_TANG",37.51607187,127.0177689,1,NA
13383069,"서울특별시 서초구 양재동 267-3",1,"서울특별시","서초구","양재동","ZZIM_TANG",37.47599365,127.0433232,1,NA
13395617,"서울특별시 서초구 서초동 1527-7",1,"서울특별시","서초구","서초동","CAFE",37.48366997,127.0083404,1,"NA"
13404175,"서울특별시 서초구 양재동 267-4",1,"서울특별시","서초구","양재동","ASIAN",37.47607698,127.0434343,1,"업무시설"
13406002,"서울특별시 서초구 서초동 1364-47",1,"서울특별시","서초구","서초동","SNACK",37.48496462,127.0316574,1,"업무시설"
13420923,"서울특별시 서초구 강남대로 321",1,"서울특별시","서초구","서초동","BURGER",37.49168975,127.0302097,1,"아파트"
13762410,"서울특별시 서초구 강남대로101길 38",1,"서울특별시","서초구","잠원동","JAPANESE",37.51748838,127.0177411,1,NA
13780128,"서울특별시 서초구 서초대로54길 32",1,"서울특별시","서초구","서초동","CHINESE",37.49279677,127.0161308,1,"근린생활시설"
13799924,"서울특별시 서초구 법원로2길 23",1,"서울특별시","서초구","서초동","PIZZA",37.49443542,127.0132421,1,"근린생활시설"
13801116,"서울특별시 서초구 사임당로 31",1,"서울특별시","서초구","서초동","CHICKEN",37.48821392,127.0134923,1,"일반상점"
13841586,"서울특별시 서초구 논현로31길 64",1,"서울특별시","서초구","양재동","WESTERN",37.48013201,127.0402956,1,NA
13849448,"서울특별시 서초구 방배로 87",1,"서울특별시","서초구","방배동","CAFE",37.48215877,126.9969106,1,"근린생활시설"
13855107,"서울특별시 서초구 강남대로8길 46",1,"서울특별시","서초구","양재동","BAEKBAN",37.46891114,127.0432401,1,NA
13884722,"서울특별시 서초구 신반포로33길 27",2,"서울특별시","서초구","잠원동","PIZZA",37.51035018,127.0100197,1,"NA"
13901036,"서울특별시 서초구 잠원로 51",-1,"서울특별시","서초구","잠원동","JAPANESE",37.50923915,127.0074089,1,"백화점"
13911003,"서울 서초구 동산로2길 17 (양재동)",1,"서울특별시","서초구","양재동","JOKBAL",37.469114,127.042173,1,NA
13911979,"서울특별시 서초구 사임당로 178",-1,"서울특별시","서초구","서초동","BAEKBAN",37.49221374,127.0290463,1,"업무시설"
13972084,"서울특별시 서초구 잠원로 112",1,"서울특별시","서초구","잠원동","CAFE",37.51379417,127.0072977,1,"공동주택"
13982866,"서울특별시 서초구 동작대로 138",1,"서울특별시","서초구","방배동","BURGER",37.48893551,126.9827451,1,"근린생활시설"
14017211,"서울특별시 서초구 사임당로 158",1,"서울특별시","서초구","서초동","CAFE",37.49185263,127.0271576,1,"NA"
13569994,"서울특별시 서초구 방배동 1429",1,"서울특별시","서초구","방배동","BAEKBAN",37.48726906,126.9843005,1,NA
13577130,"서울특별시 서초구 방배동 909-1",2,"서울특별시","서초구","방배동","SNACK",37.482174,126.996404,1,"일반상점"
13588409,"서울특별시 서초구 서초동 1678-2",-1,"서울특별시","서초구","서초동","WESTERN",37.49521322,127.0196582,1,"아파트"
13609878,"서울특별시 서초구 서초동 1309-1",1,"서울특별시","서초구","서초동","MEAT",37.50204584,127.0239909,1,"업무시설"
13618844,"서울특별시 서초구 서초동 1360-13",1,"서울특별시","서초구","서초동","ZZIM_TANG",37.48693662,127.0317407,1,NA
13624107,"서울특별시 서초구 방배동 910-8",1,"서울특별시","서초구","방배동","SNACK",37.48226987,126.996744,1,"근린생활시설"
13635343,"서울특별시 서초구 반포동 18-4",-1,"서울특별시","서초구","반포동","BAEKBAN",37.50304521,126.9956601,1,NA
13685444,"서울특별시 서초구 사평대로58길 6",-1,"서울특별시","서초구","서초동","CHICKEN",37.50343455,127.0234909,1,NA
13686187,"서울특별시 서초구 서초동 1585-12",1,"서울특별시","서초구","서초동","MEAT",37.48465875,127.0119647,1,"업무시설"
13698138,"서울특별시 서초구 서초중앙로 125",-1,"서울특별시","서초구","서초동","JAPANESE",37.49299114,127.0134088,1,"NA"
13713126,"서울특별시 서초구 사평대로57길 96",1,"서울특별시","서초구","반포동","CAFE",37.50843395,127.0219076,1,"업무시설"
13714942,"서울특별시 서초구 바우뫼로6길 12",1,"서울특별시","서초구","우면동","JOKBAL",37.46968851,127.0257695,1,"공동주택"
13731920,"서울특별시 서초구 사평대로57길 13",1,"서울특별시","서초구","반포동","SNACK",37.50487882,127.023102,1,"공동주택"
13738752,"서울특별시 서초구 방배로 113",1,"서울특별시","서초구","방배동","CAFE",37.48415852,126.9956051,1,"일반상점"
13742958,"서울특별시 서초구 바우뫼로 31",-1,"서울특별시","서초구","우면동","JAPANESE",37.4710217,127.0259638,1,"아파트"
13785948,"서울특별시 서초구 서초중앙로20길 24",1,"서울특별시","서초구","서초동","SNACK",37.49224127,127.0154087,1,"업무시설"
13787232,"서울특별시 서초구 동산로14길 2",1,"서울특별시","서초구","양재동","CAFE",37.47196639,127.0461287,1,NA
13789874,"서울특별시 서초구 바우뫼로 23",1,"서울특별시","서초구","우면동","CAFE",37.47041064,127.0252417,1,NA
13798528,"서울특별시 서초구 사평대로 205",2,"서울특별시","서초구","반포동","CHINESE",37.50448971,127.0078257,1,"자동차관련시설"
13811399,"서울특별시 서초구 방배중앙로25길 16",1,"서울특별시","서초구","방배동","BAEKBAN",37.49404607,126.9852169,1,"교육시설"
13824206,"서울특별시 서초구 서초중앙로24길 7",1,"서울특별시","서초구","서초동","CAFE",37.49479651,127.0144642,1,"업무시설"
13836487,"서울특별시 서초구 강남대로 221",1,"서울특별시","서초구","양재동","CAFE",37.48357594,127.0342127,1,"자동차관련시설"
