지점,지점명,일시,기온(°C),강수량(mm)
108,서울,2023-08-21 00:00,27.1,
108,서울,2023-08-21 01:00,26.8,
108,서울,2023-08-21 02:00,26.6,
108,서울,2023-08-21 03:00,26.4,
108,서울,2023-08-21 04:00,26.3,0
108,서울,2023-08-21 05:00,26.2,0
108,서울,2023-08-21 06:00,26.1,0
108,서울,2023-08-21 07:00,26.3,
108,서울,2023-08-21 08:00,27.4,
108,서울,2023-08-21 09:00,28.8,
108,서울,2023-08-21 10:00,30.2,
108,서울,2023-08-21 11:00,31.1,
108,서울,2023-08-21 12:00,32.3,
108,서울,2023-08-21 13:00,32.7,
108,서울,2023-08-21 14:00,33.5,
108,서울,2023-08-21 15:00,33,
108,서울,2023-08-21 16:00,31.5,0
108,서울,2023-08-21 17:00,31.4,
108,서울,2023-08-21 18:00,31.3,
108,서울,2023-08-21 19:00,30.7,
108,서울,2023-08-21 20:00,29.9,
108,서울,2023-08-21 21:00,29.7,
108,서울,2023-08-21 22:00,29.4,
108,서울,2023-08-21 23:00,29.1,
108,서울,2023-08-22 00:00,28.7,
108,서울,2023-08-22 01:00,28.4,
108,서울,2023-08-22 02:00,28.5,
108,서울,2023-08-22 03:00,28.4,
108,서울,2023-08-22 04:00,28.2,
108,서울,2023-08-22 05:00,27.7,0
108,서울,2023-08-22 06:00,27.4,
108,서울,2023-08-22 07:00,27.6,
108,서울,2023-08-22 08:00,28,
108,서울,2023-08-22 09:00,27.9,.3
108,서울,2023-08-22 10:00,28.2,0
108,서울,2023-08-22 11:00,28,.3
108,서울,2023-08-22 12:00,29.6,0
108,서울,2023-08-22 13:00,31,
108,서울,2023-08-22 14:00,32.1,
108,서울,2023-08-22 15:00,29.1,0
108,서울,2023-08-22 16:00,28.6,.3
108,서울,2023-08-22 17:00,28.7,.4
108,서울,2023-08-22 18:00,26.4,27.6
108,서울,2023-08-22 19:00,26.6,5.6
108,서울,2023-08-22 20:00,26.3,
108,서울,2023-08-22 21:00,26.2,.5
108,서울,2023-08-22 22:00,26.2,5.5
108,서울,2023-08-22 23:00,25.9,2.1
108,서울,2023-08-23 00:00,26,
108,서울,2023-08-23 01:00,25.9,0
108,서울,2023-08-23 02:00,25.8,0
108,서울,2023-08-23 03:00,25.9,0
108,서울,2023-08-23 04:00,25.9,0
108,서울,2023-08-23 05:00,25.7,0
108,서울,2023-08-23 06:00,25.8,0
108,서울,2023-08-23 07:00,25.7,.1
108,서울,2023-08-23 08:00,26.3,0
108,서울,2023-08-23 09:00,26.8,0
108,서울,2023-08-23 10:00,27.2,0
108,서울,2023-08-23 11:00,25.8,1.9
108,서울,2023-08-23 12:00,25.3,5.2
108,서울,2023-08-23 13:00,24.2,13.3
108,서울,2023-08-23 14:00,24.3,5.4
108,서울,2023-08-23 15:00,24.3,9.1
108,서울,2023-08-23 16:00,24.1,3.3
108,서울,2023-08-23 17:00,24.1,1.9
108,서울,2023-08-23 18:00,23.7,.1
108,서울,2023-08-23 19:00,23.7,.2
108,서울,2023-08-23 20:00,23.7,.5
108,서울,2023-08-23 21:00,23.7,.1
108,서울,2023-08-23 22:00,23.5,.7
108,서울,2023-08-23 23:00,23.3,0
108,서울,2023-08-24 00:00,23.2,0
108,서울,2023-08-24 01:00,23.1,
108,서울,2023-08-24 02:00,23.1,
108,서울,2023-08-24 03:00,23,
108,서울,2023-08-24 04:00,22.6,2.3
108,서울,2023-08-24 05:00,22.4,2.2
108,서울,2023-08-24 06:00,22.4,.1
108,서울,2023-08-24 07:00,22.4,.6
108,서울,2023-08-24 08:00,22.9,0
108,서울,2023-08-24 09:00,24.4,
108,서울,2023-08-24 10:00,25.1,
108,서울,2023-08-24 11:00,25.6,
108,서울,2023-08-24 12:00,25.3,
108,서울,2023-08-24 13:00,25.9,
108,서울,2023-08-24 14:00,27.4,
108,서울,2023-08-24 15:00,27.2,0
108,서울,2023-08-24 16:00,27.5,0
108,서울,2023-08-24 17:00,27.3,
108,서울,2023-08-24 18:00,27.1,
108,서울,2023-08-24 19:00,26.7,
108,서울,2023-08-24 20:00,26.3,
108,서울,2023-08-24 21:00,26,
108,서울,2023-08-24 22:00,25.8,
108,서울,2023-08-24 23:00,25.5,
108,서울,2023-08-25 00:00,25.3,
108,서울,2023-08-25 01:00,25.2,
108,서울,2023-08-25 02:00,25.3,
108,서울,2023-08-25 03:00,24.8,
108,서울,2023-08-25 04:00,24.5,0
108,서울,2023-08-25 05:00,24.2,
108,서울,2023-08-25 06:00,24,
108,서울,2023-08-25 07:00,24.2,
108,서울,2023-08-25 08:00,24.9,
108,서울,2023-08-25 09:00,25.8,
108,서울,2023-08-25 10:00,26.8,
108,서울,2023-08-25 11:00,27.6,
108,서울,2023-08-25 12:00,28.3,
108,서울,2023-08-25 13:00,28.9,
108,서울,2023-08-25 14:00,29.5,
